id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e88a582c-8fd1-11eb-924d-9cd76263cbd0,genus,Pilostyles,,,Guill.,Q532500,1834,,"Ann. Sci. Nat., Bot., sér. 2 2(1): 21, pl. 1. 1834.",,,,,,14131-1,wfo-4000029715,3189799,,
78d1f864-8fcc-11eb-924d-9cd76263cbd0,species,aethiopica,Pilostyles,,Welw.,Q78609,1869,,"Trans. Linn. Soc. London 27: 67 1869",,Q55760776,,,,316056-1,wfo-0000471955,3941216,,
c6167816-8fd1-11eb-924d-9cd76263cbd0,species,arthiopica,Pilostyles,,Welw.,Q78609,1869,,"Trans. Linn. Soc. London 27: 67, t. 22 1869",,,,,,,wfo-0001265235,7771212,,
78d25db8-8fcc-11eb-924d-9cd76263cbd0,species,berteroi,Pilostyles,,Guill.,Q532500,1834,,"Ann. Sci. Nat., Bot. II, 2: 21 1834",,,,,,316057-1,wfo-0000471956,3941209,,
d65c1662-8fcd-11eb-924d-9cd76263cbd0,species,blanchetii,Pilostyles,,"(Gardner) R.Br.","Q2404423,Q155764",1845,,"Trans. Linn. Soc. London 19: 247 1845",,,,a1792918-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0001129095,3941204,,
be51c1f8-8fd1-11eb-924d-9cd76263cbd0,species,calliandrae,Pilostyles,,"(Gardner) R.Br.","Q2404423,Q155764",1845,,"Trans. Linn. Soc. London 247 1845",,,,a1796054-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0001250920,3941197,,
78d2a412-8fcc-11eb-924d-9cd76263cbd0,species,caulotreti,Pilostyles,,"(H.Karst.) Hook.f.","Q62413,Q157501",1873,,"Prodr. 17: 116 1873",,,,88861772-8fcc-11eb-924d-9cd76263cbd0,,316060-1,wfo-0000471957,3941191,,
8f4cb0ca-8fcc-11eb-924d-9cd76263cbd0,species,coccoidea,Pilostyles,,K.R.Thiele,Q547084,2008,,"Nuytsia 18: 281 2008",,,,,,77092673-1,wfo-0000510038,3941186,,
78d2ea9e-8fcc-11eb-924d-9cd76263cbd0,species,collina,Pilostyles,,Dell,Q21510184,1983,,"Nuytsia 4: 293 1983",,,,,,902768-1,wfo-0000471959,3941175,,
bb519406-8fd1-11eb-924d-9cd76263cbd0,species,covillei,Pilostyles,,Rose,Q1336049,1909,,"Contr. U.S. Natl. Herb. 12(7): 263, f. 20 1909",,,,,,196773-2,wfo-0001245377,3941162,,
d65c3296-8fcd-11eb-924d-9cd76263cbd0,species,galactiae,Pilostyles,,Ule,Q72701,1915,,"Notizbl. Bot. Gart. Berlin-Dahlem 6: 292 1915",,Q55777147,,,,196774-2,wfo-0001129096,3941151,,
d65c6810-8fcd-11eb-924d-9cd76263cbd0,species,globosa,Pilostyles,,"(S.Watson ex B.L.Rob.) Solms","Q960820,Q817600,Q67692",1901,,"Pflanzenr. IV. 75(Heft 5): 14 1901",,,,a179ea42-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0001129098,8242505,,
be47b208-8fd1-11eb-924d-9cd76263cbd0,species,glomerata,Pilostyles,,Rose,Q1336049,1909,,"Contr. U.S. Natl. Herb. 12(7): 263, f. 21 1909",,,,,,196776-2,wfo-0001250842,3941128,,
c6165d4a-8fd1-11eb-924d-9cd76263cbd0,species,goyazensis,Pilostyles,,Ule,Q72701,1900,,"Organogr. Pfl. (ed. 2) 1: 434, f. 292 1900",,,,,,,wfo-0001265234,3941117,,
c6164288-8fd1-11eb-924d-9cd76263cbd0,species,hamiltonii,Pilostyles,,C.A.Gardner,Q2067524,1848,,"J. Roy. Soc. Western Australia 32: 77 1848",,,,,,,wfo-0001265233,3941106,,
c6173aee-8fd1-11eb-924d-9cd76263cbd0,species,haussknechtii,Pilostyles,,Boiss.,Q34430,1866,,"Arch. Sci. Phys. Nat. 25: 259 1866",,,,,,316062-1,wfo-0001265240,3941097,,
c616930a-8fd1-11eb-924d-9cd76263cbd0,species,holtzii,Pilostyles,,Engl.,Q60718,1912,,"Bot. Jahrb. Syst. 46: 293 1912",,,,,,707077-1,wfo-0001265236,3941241,,
d65c9c2c-8fcd-11eb-924d-9cd76263cbd0,species,ingae,Pilostyles,,"(H.Karst.) Hook.f.","Q62413,Q157501",1873,,"Prodr. 17: 116 1873",,,,bcd51514-8fd1-11eb-924d-9cd76263cbd0,,316063-1,wfo-0001129101,3941235,,
78d306fa-8fcc-11eb-924d-9cd76263cbd0,species,mexicana,Pilostyles,,"(Brandegee) Rose","Q1002345,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 264 1909",,,,,,196778-2,wfo-0000471960,3941226,,
be48055a-8fd1-11eb-924d-9cd76263cbd0,species,palmeri,Pilostyles,,Rose,Q1336049,1909,,"Contr. U.S. Natl. Herb. 12(7): 264, f. 22 1909",,,,,,196779-2,wfo-0001250845,3941215,,
be47ccac-8fd1-11eb-924d-9cd76263cbd0,species,pringlei,Pilostyles,,"(S.Watson ex B.L.Rob.) Rose","Q960820,Q817600,Q1336049",1909,,"Contr. U.S. Natl. Herb. 12(7): 264 1909",,,,a17a656c-8fcc-11eb-924d-9cd76263cbd0,,707080-1,wfo-0001250843,,,
be47e7b4-8fd1-11eb-924d-9cd76263cbd0,species,sessilis,Pilostyles,,Rose,Q1336049,1909,,"Contr. U.S. Natl. Herb. 12(7): 264, f. 23 1909",,,,,,196781-2,wfo-0001250844,3941184,,
78d11610-8fcc-11eb-924d-9cd76263cbd0,species,stawiarskii,Pilostyles,,Vattimo-Gil,Q5908218,1950,,"Revista Brasil. Biol. 10: 196 1950",,,,,,196782-2,wfo-0000471950,3941174,,
d65c4c22-8fcd-11eb-924d-9cd76263cbd0,species,thurberi,Pilostyles,,A.Gray,Q347356,1854,,"Pl. Nov. Thurb. 326–327 1854",,,,,,316065-1,wfo-0001129097,3189800,,
c264153e-8fd1-11eb-924d-9cd76263cbd0,species,ulei,Pilostyles,,Solms,Q67692,1900,,"Organogr. Pfl. (ed. 2) 1: 434, f. 292 1900",,,,,,707083-1,wfo-0001258601,3941161,,
f57537e2-8fcb-11eb-924d-9cd76263cbd0,species,beaurepairianum,Pilothecium,,"(Kiaersk.) Kausel","Q1621321,Q5816811",1962,,"Ark. Bot. a.s., 4: 404 1962",,,,,,196783-2,wfo-0000273358,3178611,,
f57557ea-8fcb-11eb-924d-9cd76263cbd0,species,glaziovianum,Pilothecium,,"(Kiaersk.) Kausel","Q1621321,Q5816811",1962,,"Ark. Bot. a.s., 4: 404 1962",,,,fc629c0c-8fcb-11eb-924d-9cd76263cbd0,,600526-1,wfo-0000273359,3177741,,
f575734c-8fcb-11eb-924d-9cd76263cbd0,species,itajurense,Pilothecium,,"(Cambess.) Kausel","Q2616946,Q5816811",1962,,"Ark. Bot. a.s., 4: 403 1962",,,,,,196784-2,wfo-0000273360,3178631,,
c2e3bf54-8fcd-11eb-924d-9cd76263cbd0,species,itajurensis,Pilothecium,,"(Cambess.) Kausel","Q2616946,Q5816811",1962,,"Ark. Bot. 4(10): 403 1962",,,,86deb75c-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001086452,7596506,,
f5759534-8fcb-11eb-924d-9cd76263cbd0,species,lutescens,Pilothecium,,"(Cambess.) Kausel","Q2616946,Q5816811",1962,,"Ark. Bot. a.s., 4: 404 1962",,,,,,196785-2,wfo-0000273361,3178492,,
f575ea70-8fcb-11eb-924d-9cd76263cbd0,species,ternatifolium,Pilothecium,,"(Cambess.) Kausel","Q2616946,Q5816811",1962,,"Ark. Bot. a.s., 4: 402 1962",,,,fc9b8940-8fcb-11eb-924d-9cd76263cbd0,,196786-2,wfo-0000273362,3178610,,
