id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e88b603c-8fd1-11eb-924d-9cd76263cbd0,genus,Pimelandra,,,A.DC.,1841,"Ann. Sci. Nat., Bot., sér. 2 16: 79, 88. 1841. (Aug 1841)",,,,,,wfo-4000029749,7331033,
7b451270-8fcc-11eb-924d-9cd76263cbd0,species,disticha,Pimelandra,,"Benth. & Hook.f.",1876,"Gen. Pl. 2: 647 1876",,,,,589570-1,wfo-0000476239,7411524,
7b43ad22-8fcc-11eb-924d-9cd76263cbd0,species,disticha,Pimelandra,,Fern.-Vill.,1880,"Fl. Filip., ed. 3 4(13A): 123 1880",,,,,589571-1,wfo-0000476230,3721162,
c8954a54-8fd1-11eb-924d-9cd76263cbd0,species,erecta,Pimelandra,,C.B.Clarke,1882,"Fl. Brit. India 3(9): 531 1882",,,,,,wfo-0001269871,3721157,
c89567f0-8fd1-11eb-924d-9cd76263cbd0,species,eugeniaefolia,Pimelandra,,"(Wall. ex A.DC.) Benth. & Hook.f.",1876,"Gen. Pl. 2(2): 647 1876",,,,,589573-1,wfo-0001269872,8402120,
c895864a-8fd1-11eb-924d-9cd76263cbd0,species,fuliginosa,Pimelandra,,"(Blume) Benth. & Hook.f.",1876,"Gen. Pl. 2(2): 647 1876",,,,a39e24be-8fcc-11eb-924d-9cd76263cbd0,589574-1,wfo-0001269873,,
c895aa9e-8fd1-11eb-924d-9cd76263cbd0,species,griffithii,Pimelandra,,C.B.Clarke,1882,"Fl. Brit. India 3(9): 531 1882",,,,,,wfo-0001269874,3721136,
7b4371fe-8fcc-11eb-924d-9cd76263cbd0,species,macrophylla,Pimelandra,,"Koord. & Valeton",1900,"Meded. Lands Plantentuin 33: 242 1900",,,,,589576-1,wfo-0000476228,3721129,
c895eaa4-8fd1-11eb-924d-9cd76263cbd0,species,myristicaefolia,Pimelandra,,"Koord. & Valeton",1900,"Meded. Lands Plantentuin 33: 241 1900",,,,,589577-1,wfo-0001269875,8097432,
7b58afc4-8fcc-11eb-924d-9cd76263cbd0,species,semidentata,Pimelandra,,"Benth. & Hook.f.",1876,"Gen. Pl. 2: 647 1876",,,,,589578-1,wfo-0000476383,3721115,
7b55e154-8fcc-11eb-924d-9cd76263cbd0,species,teysmanniana,Pimelandra,,"Benth. & Hook.f.",1876,"Gen. Pl. 2: 647 1876",,,,,589579-1,wfo-0000476367,,
7b57ac28-8fcc-11eb-924d-9cd76263cbd0,species,wallichii,Pimelandra,,A.DC.,1841,"Ann. Sci. Nat., Bot. II, 16: 88 1841",,,,,589580-1,wfo-0000476378,3721103,
