id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9b522264-9bad-11eb-a8a2-19ed5c03f8d3,genus,Placodiplodia,,,Bubák,,1916,,"Ber. dt. bot. Ges. 34: 305 (1916)",,,,9b522264-9bad-11eb-a8a2-19ed5c03f8d3,,,,,9418," "
fe91d78a-9bac-11eb-a8a2-19ed5c03f8d3,species,agropyri,Placodiplodia,,"(Speg.) Zambett.",0,1955,,"Bull. trimest. Soc. mycol. Fr. 70: 330 (1955)",,,,20f8cafe-9bad-11eb-a8a2-19ed5c03f8d3,,,,,303740," "
38a903c2-9bac-11eb-a8a2-19ed5c03f8d3,species,canthiifolia,Placodiplodia,,"(Cooke & Massee) P.K. Buchanan",0,1987,,"Mycol. Pap. 156: 66 (1987)",,,,15440e18-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131657," "
fe921d12-9bac-11eb-a8a2-19ed5c03f8d3,species,chamaeropis,Placodiplodia,,"(Delacr.) Zambett.",0,1955,,"Bull. Soc. mycol. Fr. 70(3): 327 (1955)",,,Q51451216,77b80780-9bab-11eb-a8a2-19ed5c03f8d3,,,,,303741," "
e313e58e-9bac-11eb-a8a2-19ed5c03f8d3,species,copelandi,Placodiplodia,,Bubák,,,,,,,,e313e58e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,276910," Placodiplodia copelandii"
30d465ec-9bac-11eb-a8a2-19ed5c03f8d3,species,copelandii,Placodiplodia,,Bubák,,1916,,"Ber. dt. bot. Ges. 35: 305 (1916)",,,,30d465ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,120227," copelandi"
fe927b18-9bac-11eb-a8a2-19ed5c03f8d3,species,ficina,Placodiplodia,,"(Syd. & P. Syd.) Zambett.",,1955,,"Bull. Soc. mycol. Fr. 70(3): 328 (1955)",,,Q51451216,,,,,,303742," "
6abf103a-9bad-11eb-a8a2-19ed5c03f8d3,species,hilata,Placodiplodia,,Bianchin.,,2001,,"Mycotaxon 78: 63 (2001)",,,,6abf103a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,467825," "
fe92f8d6-9bac-11eb-a8a2-19ed5c03f8d3,species,ingae,Placodiplodia,,"(Syd. & P. Syd.) Zambett.",,1955,,"Bull. Soc. mycol. Fr. 70(3): 329 (1955)",,,Q51451216,7299e642-9bab-11eb-a8a2-19ed5c03f8d3,,,,,303743," "
fe934246-9bac-11eb-a8a2-19ed5c03f8d3,species,insitiva,Placodiplodia,,"(Ranoj.) Zambett.",,1955,,"Bull. Soc. mycol. Fr. 70(3): 327 (1955)",,,Q51451216,74c4ae74-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303744," "
fe937900-9bac-11eb-a8a2-19ed5c03f8d3,species,parinarii,Placodiplodia,,Zambett.,,1955,,"Bull. Soc. mycol. Fr. 70(3): 222 (1955)",,,Q51451216,fe937900-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303745," "
fe93c4aa-9bac-11eb-a8a2-19ed5c03f8d3,species,saginata,Placodiplodia,,"(Petr.) Zambett.",0,1955,,"Bull. Soc. mycol. Fr. 70(3): 329 (1955)",,,Q51451216,e348a2ba-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303746," "
fe93f632-9bac-11eb-a8a2-19ed5c03f8d3,species,spiraeae,Placodiplodia,,"(Oudem.) Zambett.",0,,,,,,,824862ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303747," "
fe943a98-9bac-11eb-a8a2-19ed5c03f8d3,species,tanaria,Placodiplodia,,"(Sacc.) Zambett.",0,1955,,"Bull. Soc. mycol. Fr. 70(3): 328 (1955)",,,Q51451216,1debbc3c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303748," "
fe947ad0-9bac-11eb-a8a2-19ed5c03f8d3,species,yuccae,Placodiplodia,,"(Speg.) Zambett.",0,1955,,"Bull. Soc. mycol. Fr. 70(3): 329 (1955)",,,Q51451216,0d9bbfbc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303749," "
