id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8a8f64c-8fd1-11eb-924d-9cd76263cbd0,genus,Platygyrium,,,Schimp.,0,1851,,"Bryol. Eur. 5: 95 (fasc. 46–47. Mon. 1). 1851.",,,,,,,wfo-4000030113,2682513,,
e60a8922-8fcd-11eb-924d-9cd76263cbd0,species,afrum,Platygyrium,,Müll.Hal.,0,1899,,"Hedwigia 38: 133 1899",,,,,,,wfo-0001162930,7769469,,
e60aa3ee-8fcd-11eb-924d-9cd76263cbd0,species,amblyocarpum,Platygyrium,,"(Hampe) A.Jaeger",0,1876,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges. 1876–77: 277 (Gen. Sp. Musc. 2: 343) 1878",,,,,,,wfo-0001162931,7840361,,
fdd28370-8fcd-11eb-924d-9cd76263cbd0,species,australe,Platygyrium,,"(Dixon & Sainsbury) T.Arikawa",0,2004,,"J. Hattori Bot. Lab. 95: 147 2004",,,,,,,wfo-0001212267,7485844,,
e60ac0b8-8fcd-11eb-924d-9cd76263cbd0,species,brachycladon,Platygyrium,,"(Brid.) Kindb.",0,1894,,"Canad. Rec. Sci. 6: 21 1894",,,,e9f0ae54-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001162932,7585753,,
e60adcc4-8fcd-11eb-924d-9cd76263cbd0,species,brevicaudatum,Platygyrium,,E.B.Bartram,0,1954,,"Rev. Bryol. Lichénol. 23: 254 1954",,,,,,,wfo-0001162933,7613683,,
e60afb64-8fcd-11eb-924d-9cd76263cbd0,species,decolor,Platygyrium,,"(Mitt.) Kindb.",0,1888,,"Enum. Bryin. Exot. 29 1888",,,,f37a9890-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001162934,8171000,,
e60b6a36-8fcd-11eb-924d-9cd76263cbd0,species,denticulifolium,Platygyrium,,Müll.Hal.,0,1897,,"Nuovo Giorn. Bot. Ital., n.s., 4: 265 1897",,,,,,,wfo-0001162935,8036581,,
e60be5d8-8fcd-11eb-924d-9cd76263cbd0,species,ferricola,Platygyrium,,"(Müll.Hal.) A.Jaeger",0,1877,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges. 1877–78: 478 (Gen. Sp. Musc. 2: 742) 1879",,,,,,,wfo-0001162936,7915037,,
e60c018a-8fcd-11eb-924d-9cd76263cbd0,species,fuscoluteum,Platygyrium,,Cardot,0,1910,,"Rev. Bryol. 37: 49 1910",,,,,,,wfo-0001162937,2682517,,
e60c1c9c-8fcd-11eb-924d-9cd76263cbd0,species,imbricatum,Platygyrium,,Podp.,0,1929,,"Spisy PYír. Fak. Univ. v Brnĕ 116: 35. 30 1929",,,,,,,wfo-0001162938,7642544,,
e60c39fc-8fcd-11eb-924d-9cd76263cbd0,species,inflexum,Platygyrium,,"(Harv.) A.Jaeger",0,1876,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges. 1876–77: 276 (Gen. Sp. Musc. 2: 342) 1878",,,,e32d21d8-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001162939,7972750,,
e60c573e-8fcd-11eb-924d-9cd76263cbd0,species,intricatum,Platygyrium,,"(Hedw.) M.Fleisch.",0,1922,,"Hedwigia 63: 211 1922",,,,e9f39416-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001162940,8361180,,
e60c73fe-8fcd-11eb-924d-9cd76263cbd0,species,julaceum,Platygyrium,,"(Hook. ex Schwägr.) Bosch & Sande Lac.",0,1864,,"Bryol. Jav. 2: 107. 217 1864",,,,,,,wfo-0001162941,7530299,,
e60c90be-8fcd-11eb-924d-9cd76263cbd0,species,perichaetiale,Platygyrium,,Cardot,0,1911,,"Bull. Soc. Bot. Genève 3: 287 1911",,,,,,,wfo-0001162942,8369522,,
e60cacac-8fcd-11eb-924d-9cd76263cbd0,species,pertenue,Platygyrium,,"Sande Lac.",0,1872,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk. 13: 12 1872",,,,,,,wfo-0001162943,8200237,,
e60cc9b2-8fcd-11eb-924d-9cd76263cbd0,species,repens,Platygyrium,,"(Brid.) Schimp.",0,1851,,"Bryol. Eur. 5: 98. 458 (fasc. 46–47 Mon. 4. l.) 1851",,,,e9f61038-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001162944,2682514,,
e60ce3d4-8fcd-11eb-924d-9cd76263cbd0,species,rupestre,Platygyrium,,Kindb.,0,1890,,"Bull. Torrey Bot. Club 17: 276 1890",,,,,,,wfo-0001162945,7723592,,
e60cfe96-8fcd-11eb-924d-9cd76263cbd0,species,russulum,Platygyrium,,"(Mitt.) A.Jaeger",0,1876,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges. 1876–77: 276 (Gen. Sp. Musc. 2: 342) 1878",,,,,,,wfo-0001162946,2682516,,
e60d8d7a-8fcd-11eb-924d-9cd76263cbd0,species,squarrosulum,Platygyrium,,"(Mont.) A.Jaeger",0,1876,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges. 1876–77: 277 (Gen. Sp. Musc. 2: 343) 1878",,,,ea13e946-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001162951,8313237,,
