id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e8b13122-8fd1-11eb-924d-9cd76263cbd0,genus,Plectrophora,,,H.Focke,1848,"Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1: 212. 1848.",,,,,30376-1,wfo-4000030215,2836097,
f732cedc-8fcb-11eb-924d-9cd76263cbd0,species,alata,Plectrophora,,"(Rolfe) Garay",1967,"Bot. Mus. Leafl. 21: 261 1967",,,,,202021-2,wfo-0000276261,5322629,
f732f9d4-8fcb-11eb-924d-9cd76263cbd0,species,calcarhamata,Plectrophora,,Hoehne,1910,"Relat. Commiss. Linhas Telegr. Estratég. Matto Grosso Amazonas 5(1): 57 1910",,,,,202022-2,wfo-0000276262,5322637,
f7337526-8fcb-11eb-924d-9cd76263cbd0,species,cultrifolia,Plectrophora,,"(Barb.Rodr.) Cogn.",1904,"Fl. Bras. 3(6): 185 1904",,,,cb1a4074-8fca-11eb-924d-9cd76263cbd0,202023-2,wfo-0000276263,5322633,
f733e588-8fcb-11eb-924d-9cd76263cbd0,species,edwallii,Plectrophora,,Cogn.,1906,"Fl. Bras. 3(6): 580 1906",,,,,202024-2,wfo-0000276264,5322628,
f7340b26-8fcb-11eb-924d-9cd76263cbd0,species,iridifolia,Plectrophora,,"(Lodd. ex Lindl.) H.Focke",1848,"Tijdschr. Natuurk. Wetensch. Kunsten 1: 212 1848",,,,,652123-1,wfo-0000276265,5322636,
f7342d22-8fcb-11eb-924d-9cd76263cbd0,species,schmidtii,Plectrophora,,"Jenny & Pupulin",1997,"Orquidário 11: 79 1997",,,,,998526-1,wfo-0000276266,5322632,
f73467ba-8fcb-11eb-924d-9cd76263cbd0,species,suarezii,Plectrophora,,"Dodson & M.W.Chase",1989,"Icon. Pl. Trop. II, 6: t. 570 1989",,,,,313905-2,wfo-0000276267,5322627,
f73493f2-8fcb-11eb-924d-9cd76263cbd0,species,triquetra,Plectrophora,,"(Rolfe) Cogn.",1904,"Fl. Bras. 3(6): 184 1904",,,,910f4c8c-8fcd-11eb-924d-9cd76263cbd0,,wfo-0000276268,5322635,
f734d588-8fcb-11eb-924d-9cd76263cbd0,species,tucanderana,Plectrophora,,"Dodson & R.Vásquez",1989,"Icon. Pl. Trop. II, 3: t. 275 1989",,,,,938774-1,wfo-0000276269,5322631,
f7351822-8fcb-11eb-924d-9cd76263cbd0,species,zarumensis,Plectrophora,,"Dodson & P.M.Dodson",1980,"Icon. Pl. Trop. 1: t. 208 1980",,,,,652124-1,wfo-0000276271,5322630,
