id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8c73616-8fd1-11eb-924d-9cd76263cbd0,genus,Poa,,,L.,0,1753,,"Sp. Pl. : 67 (1753)",,,,,,urn:lsid:ipni.org:names:30001404-2,wfo-4000030438,2704173,,
5daac22c-8fcd-11eb-924d-9cd76263cbd0,species,abbreviata,Poa,,R.Br.,0,1823,,"Chlor. Melvill. : 29 (1823)",,,,,,urn:lsid:ipni.org:names:416409-1,wfo-0000891331,2704323,,
5daadef6-8fcd-11eb-924d-9cd76263cbd0,species,abbreviata,Poa,,"Blytt ex Griseb.",0,1852,,"Fl. Ross. 4: 373 1852",,,,,,,wfo-0000891332,7541388,,
bd0b7b3c-1d4c-11ec-82c2-f14daa6f2d93,subspecies,abbreviata,Poa,abbreviata,,,,,,,,,,,,wfo-0001098205,,,
4162c5d4-1d4d-11ec-82c2-f14daa6f2d93,form,arenaria,Poa,abbreviata,Rosenv.,,1892,,"Meddel. Grønland 3: 734 (1892)",,,,,,urn:lsid:ipni.org:names:204055-2,wfo-0001320850,,,
5daafad0-8fcd-11eb-924d-9cd76263cbd0,subspecies,jordalii,Poa,abbreviata,"(A.E.Porsild) Hultén",0,1973,,"Bot. Not. 126: 468 (1973)",,,Q4948499,,,urn:lsid:ipni.org:names:882758-1,wfo-0000891333,8929183,,
5dab689e-8fcd-11eb-924d-9cd76263cbd0,variety,jordalii,Poa,abbreviata,"(Porsild) B.Boivin",0,1979,,"Phytologia 43: 106 (1979)",,,,,,urn:lsid:ipni.org:names:204057-2,wfo-0000891337,,,
c7e00b7a-8fcd-11eb-924d-9cd76263cbd0,subspecies,jordalii,Poa,abbreviata,"(Pors.) Tzvelev",0,1974,,"Novosti Sist. Vyssh. Rast. 11: 30. 1974",,,,,,urn:lsid:ipni.org:names:882759-1,wfo-0001097535,8343325,,
5dab1740-8fcd-11eb-924d-9cd76263cbd0,subspecies,marshii,Poa,abbreviata,Soreng,0,1992,,"Phytologia 71(5): 390. 1992 [Nov 1991 publ. 7 Jan 1992]",,,,,,urn:lsid:ipni.org:names:965739-1,wfo-0000891334,4109382,,
5dab3374-8fcd-11eb-924d-9cd76263cbd0,subspecies,pattersonii,Poa,abbreviata,"(Vasey) Á.Löve, D.Löve & B.M.Kapoor",0,1971,,"Arctic Alpine Res. 3(2): 143. 1971",,,,5ea02cd0-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:882761-1,wfo-0000891335,4130171,,
5dab8266-8fcd-11eb-924d-9cd76263cbd0,species,abietina,Poa,,Schur,0,1866,,"Enum. Pl. Transsilv. : 771 (1866)",,,,,,urn:lsid:ipni.org:names:416411-1,wfo-0000891338,4146854,,
5dab9e9a-8fcd-11eb-924d-9cd76263cbd0,species,abortiva,Poa,,R.Br.,0,1810,,"Prodr. Fl. Nov. Holland. : 181 (1810)",,Q7247677,Q2712448,,,urn:lsid:ipni.org:names:416412-1,wfo-0000891339,4154726,,
5dabba92-8fcd-11eb-924d-9cd76263cbd0,species,abyssinica,Poa,,Jacq.,0,1781,,"Misc. Austriac. 2: 364 (1781)",,,,,,urn:lsid:ipni.org:names:322592-2,wfo-0000891340,4130154,,
5dabd69e-8fcd-11eb-924d-9cd76263cbd0,species,acicularifolia,Poa,,Buchanan,0,1880,,"Indig. Grass. N. Zeal. : t. 49 (1880)",,,,,,urn:lsid:ipni.org:names:416414-1,wfo-0000891341,4130129,,
07ebf1f4-1d4d-11ec-82c2-f14daa6f2d93,subspecies,acicularifolia,Poa,acicularifolia,,,,,,,,,,,,wfo-0001230482,,,
5dabf0e8-8fcd-11eb-924d-9cd76263cbd0,subspecies,ophitalis,Poa,acicularifolia,Edgar,0,1986,,"New Zealand J. Bot. 24: 444 (1986)",,,,,,urn:lsid:ipni.org:names:949507-1,wfo-0000891342,4130128,,
5dac0c68-8fcd-11eb-924d-9cd76263cbd0,species,acicularis,Poa,,Kunth,0,1833,,"Enum. Pl. 1: 342 (1833)",,,,52401d38-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:416415-1,wfo-0000891343,4130119,,
5dac28b0-8fcd-11eb-924d-9cd76263cbd0,species,acinaciphylla,Poa,,É.Desv.,0,1853,,"Fl. Chil. 6: 412 (1854)",,,Q5862745,,,urn:lsid:ipni.org:names:416416-1,wfo-0000891344,4130109,,
5dac4624-8fcd-11eb-924d-9cd76263cbd0,species,acmocalyx,Poa,,"Keng & L.Liu",0,2002,,"Fl. Reipubl. Popularis Sin. 9(2): 388 (2002)",,,,,,urn:lsid:ipni.org:names:70027705-1,wfo-0000891345,4130099,,
5dac5f74-8fcd-11eb-924d-9cd76263cbd0,species,acrochaeta,Poa,,Hack.,0,1911,,"Repert. Spec. Nov. Regni Veg. 10: 172. 1911",,Q55752636,,,,urn:lsid:ipni.org:names:416417-1,wfo-0000891346,4130091,,
5dac9638-8fcd-11eb-924d-9cd76263cbd0,species,acroleuca,Poa,,Steud.,0,1854,,"Syn. Pl. Glumac. 1: 256 (1854)",,,,,,urn:lsid:ipni.org:names:416418-1,wfo-0000891348,4130070,,
25513286-1d4d-11ec-82c2-f14daa6f2d93,form,acroleuca,Poa,acroleuca,,,,,,,,,,,,wfo-0001269370,,,
2b570d40-1d4d-11ec-82c2-f14daa6f2d93,variety,acroleuca,Poa,acroleuca,,,,,,,,,,,,wfo-0001277665,,,
c856125c-8fcd-11eb-924d-9cd76263cbd0,variety,psilicaulis,Poa,acroleuca,"(Steud.) Munro",0,1866,,"Ann. Mus. Bot. Lugduno-Batavi 2: 280 1866",,,Q5696328,,,,wfo-0001098542,8380633,,
5dace070-8fcd-11eb-924d-9cd76263cbd0,variety,psilocaulis,Poa,acroleuca,"(Steud.) Miq.",0,1866,,"Prolus. Fl. Jap. 168 1866",,,,5ec43cd8-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000891350,5947707,,
5dad07da-8fcd-11eb-924d-9cd76263cbd0,variety,ryukyuensis,Poa,acroleuca,"Koba & T.Tateoka",0,1992,,"J. Jap. Bot. 67: 205 (1992)",,Q104827562,,,,urn:lsid:ipni.org:names:965880-1,wfo-0000891351,4130076,,
5dad2620-8fcd-11eb-924d-9cd76263cbd0,variety,spiciformis,Poa,acroleuca,Honda,0,1927,,"Bot. Mag. (Tokyo) 41: 64 1927",,,Q2269599,,,,wfo-0000891352,5947625,,
5dacb1a4-8fcd-11eb-924d-9cd76263cbd0,form,submoniliformis,Poa,acroleuca,"(Makino) T.Koyama",0,1987,,"Grass. Japan : 523 (1987)",,,,5dad4448-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:954161-1,wfo-0000891349,4130069,,
5dad4448-8fcd-11eb-924d-9cd76263cbd0,variety,submoniliformis,Poa,acroleuca,Makino,0,1913,,"Bot. Mag. (Tokyo) 27: 116 1913",,,Q2269599,,,urn:lsid:ipni.org:names:50957180-1,wfo-0000891353,4130069,,
73974312-8fcd-11eb-924d-9cd76263cbd0,species,actruensis,Poa,,"(Olonova) Olonova",0,2010,,"Bot. Zhurn. (Moscow & Leningrad) 95: 876 (2010)",,,Q2504738,7086416e-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77107419-1,wfo-0000918478,7499355,,
ae7eb208-8fcd-11eb-924d-9cd76263cbd0,species,acturensis,Poa,,"(Olon.) Olon.",,2010,,"Bot. Zhurn. [Moscow & Leningrad] 95(6): 876 2010",,,Q2504738,,,,wfo-0001040306,8335245,,
5dad5ef6-8fcd-11eb-924d-9cd76263cbd0,species,acuminata,Poa,,"Scribn. ex Beal",0,1896,,"Grasses N. Amer. [Beal] ii. 538 (1896).",,,,,,urn:lsid:ipni.org:names:416419-1,wfo-0000891354,4130044,,
5dad9d9e-8fcd-11eb-924d-9cd76263cbd0,species,acuminata,Poa,,Ovcz.,0,1933,,"Izv. Tadzh. Bazy Akad. Nauk. SSSR 1(1): 25 (1933)",,,,,,urn:lsid:ipni.org:names:416420-1,wfo-0000891356,7671019,,
5dadba2c-8fcd-11eb-924d-9cd76263cbd0,species,acuticaulis,Poa,,"Ovcz. & Czukav.",0,1956,,"Izv. Otd. Estestv. Nauk 17: 39 (1956)",,,,,,urn:lsid:ipni.org:names:416421-1,wfo-0000891357,4130032,,
5dadd69c-8fcd-11eb-924d-9cd76263cbd0,species,acutiflora,Poa,,Kunth,0,1816,,"Nov. Gen. Sp. 1: 161 (1816)",,,,,,urn:lsid:ipni.org:names:322577-2,wfo-0000891358,4130019,,
5dadf32a-8fcd-11eb-924d-9cd76263cbd0,species,acutifolia,Poa,,Hauman,0,1917,,"Anales Mus. Nac. Hist. Nat. Buenos Aires 29: 405 (1917)",,,,,,urn:lsid:ipni.org:names:204061-2,wfo-0000891359,4129997,,
5dae7d68-8fcd-11eb-924d-9cd76263cbd0,species,acutiglumis,Poa,,Scribn.,0,1899,,"Circ. Div. Agrostol. U.S.D.A. 9: 4 (1899)",,,,,,urn:lsid:ipni.org:names:204062-2,wfo-0000891364,4129985,,
5daf079c-8fcd-11eb-924d-9cd76263cbd0,species,acutissima,Poa,,Pilg.,0,1913,,"Repert. Spec. Nov. Regni Veg. 12: 306 (1913)",,Q55752851,,,,urn:lsid:ipni.org:names:204063-2,wfo-0000891369,4129967,,
5daf2204-8fcd-11eb-924d-9cd76263cbd0,species,adjarica,Poa,,"(Sommier & Levier) A.P.Khokhr.",0,1993,,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. , n.s., 97(6): 98 (1993)",,,,5e85ba1c-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:971039-1,wfo-0000891370,4129954,,
5daf3c12-8fcd-11eb-924d-9cd76263cbd0,species,adspersa,Poa,,Drejer,0,1838,,"Fl. Excurs. Hafn. : 35 (1838)",,,,,,urn:lsid:ipni.org:names:416426-1,wfo-0000891371,4129945,,
5daf58dc-8fcd-11eb-924d-9cd76263cbd0,species,adusta,Poa,,J.Presl,0,1830,,"Reliq. Haenk. 1: 271 (1830)",,,,,,urn:lsid:ipni.org:names:416427-1,wfo-0000891372,4129937,,
5daf7484-8fcd-11eb-924d-9cd76263cbd0,species,aegyptiaca,Poa,,Willd.,0,1809,,"Enum. Pl. : 107 (1809)",,,,,,urn:lsid:ipni.org:names:416428-1,wfo-0000891373,4129930,,
afd6f1ce-8fcd-11eb-924d-9cd76263cbd0,species,aequalis,Poa,,"(Swallen & Tovar) Refulio",0,2012,,"Syst. Bot. 37: 130 (2012)",,Q55764056,,,,urn:lsid:ipni.org:names:60458332-2,wfo-0001043331,7814087,,
5dafac2e-8fcd-11eb-924d-9cd76263cbd0,species,aequatoriensis,Poa,,Hack.,0,1902,,"Oesterr. Bot. Z. 52: 450 (1902)",,Q101059731,,,,urn:lsid:ipni.org:names:204064-2,wfo-0000891375,4129912,,
5dafcce0-8fcd-11eb-924d-9cd76263cbd0,species,aequigluma,Poa,,Tovar,0,1965,,"Mem. Mus. Hist. Nat. ""Javier Prado"" 15: 13 (1965)",,,,,,urn:lsid:ipni.org:names:204065-2,wfo-0000891376,4129894,,
5dafe96e-8fcd-11eb-924d-9cd76263cbd0,species,aestivalis,Poa,,J.Presl,0,1830,,"Reliq. Haenk. 1: 272 (1830)",,,,,,urn:lsid:ipni.org:names:416432-1,wfo-0000891377,4129886,,
