id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8ccec14-8fd1-11eb-924d-9cd76263cbd0,genus,Podonosma,,,Boiss.,0,1849,,"Diagn. Pl. Orient. 11: 113 (1849)",,,Q5804986,,,urn:lsid:ipni.org:names:4760-1,wfo-4000030502,9519752,,
45c45f66-8fcc-11eb-924d-9cd76263cbd0,species,galalense,Podonosma,,"Schweinf. ex Boiss.",0,1879,,"Fl. Orient. 4: 1199 (1879)",,,,,,urn:lsid:ipni.org:names:120299-1,wfo-0000397629,4061559,,
46b267ec-1d4d-11ec-82c2-f14daa6f2d93,species,galalensis,Podonosma,,"Schweinf. ex Boiss.",,1879,,"Fl. Orient. 4: 1199 (1879)",,,,,,urn:lsid:ipni.org:names:120299-1,wfo-0001327918,,,
cbf5c62e-8fd1-11eb-924d-9cd76263cbd0,species,orientalis,Podonosma,,"(L.) Feinbrun",0,1976,,"Israel J. Bot. 26: 80 (1976)",,,,,,urn:lsid:ipni.org:names:120300-1,wfo-0001276192,4061553,,
45c43414-8fcc-11eb-924d-9cd76263cbd0,species,sintenisii,Podonosma,,Bornm.,0,1898,,"Verh. K. K. Zool.-Bot. Ges. Wien 48: 609 (1898)",,,,,,urn:lsid:ipni.org:names:120301-1,wfo-0000397628,4061547,,
46b28f92-1d4d-11ec-82c2-f14daa6f2d93,species,syriaca,Podonosma,,Boiss.,,1849,,"Diagn. Pl. Orient. 11: 114 (1849)",,,Q5804986,,,urn:lsid:ipni.org:names:120302-1,wfo-0001327919,,,
45c409b2-8fcc-11eb-924d-9cd76263cbd0,species,syriacum,Podonosma,,"(Labill.) Boiss.",0,1849,,"Diagn. Pl. Orient. 11: 114 (1849)",,,Q5804986,,,urn:lsid:ipni.org:names:120302-1,wfo-0000397627,4061538,,
b39d3c78-8fcd-11eb-924d-9cd76263cbd0,species,delavayi,Podoon,,Baill.,0,1887,,"Bull. Mens. Soc. Linn. Paris i. (1887) 682 et (1889) 793; Heimerl, in Engl. &Prantl. Naturl. Pflanzenfam. iii. 1b (1889) 14; Franch. Pl. Delav. (1891) 146 t.32-35.",,,Q5479490,,,urn:lsid:ipni.org:names:676425-1,wfo-0001051941,4087091,,
9954141c-8fba-11eb-924d-9cd76263cbd0,species,hirsuta,Podopappus,,"Hook. & Arn.",0,1836,,"Companion Bot. Mag. 2: 50 (1836)",,,,,,urn:lsid:ipni.org:names:238994-1,wfo-0000127938,,,
e65b1dcc-8fb6-11eb-924d-9cd76263cbd0,species,pubescens,Podopappus,,"Hook. & Arn.",0,1836,,"Companion Bot. Mag. 2: 50 (1836)",,,,,,urn:lsid:ipni.org:names:238995-1,wfo-0000094348,3089296,,
28bfe706-8fb2-11eb-924d-9cd76263cbd0,species,tomentosus,Podopappus,,"Hook. & Arn.",0,1836,,"Companion Bot. Mag. 2: 50 (1836)",,,,,,urn:lsid:ipni.org:names:238996-1,wfo-0000013933,3139037,,
