id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8cdcd46-8fd1-11eb-924d-9cd76263cbd0,genus,Podospermum,,,DC.,0,1805,,"Fl. Franc. 4: 61 (1805)",,,,,,urn:lsid:ipni.org:names:331866-2,wfo-4000030521,3125768,,
18e1de34-8fb7-11eb-924d-9cd76263cbd0,species,alpigenum,Podospermum,,K.Koch,0,1851,,"Linnaea 23: 658 (1851)",,,Q5976761,,,urn:lsid:ipni.org:names:239006-1,wfo-0000096331,5397895,,
58b341d2-8fb3-11eb-924d-9cd76263cbd0,species,angustifolium,Podospermum,,"Ledeb. ex Loudon",0,1850,,"Suppl. Hort. Brit. : 614 (1850)",,,,,,urn:lsid:ipni.org:names:239007-1,wfo-0000046482,5696818,,
9daa3e4a-8fb2-11eb-924d-9cd76263cbd0,species,angustissimum,Podospermum,,Schur,0,1853,,"Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt iv. (1853) 43",,,,,,urn:lsid:ipni.org:names:239008-1,wfo-0000029809,5696816,,
e226c868-8fb2-11eb-924d-9cd76263cbd0,species,armeniacum,Podospermum,,"Boiss. & A.Huet",0,1856,,"Diagn. Pl. Orient. , ser. 2, 3: 92 (1856)",,,Q5804986,,,urn:lsid:ipni.org:names:239009-1,wfo-0000036682,5397904,,
201cfa14-8fba-11eb-924d-9cd76263cbd0,species,asperrimum,Podospermum,,Sweet,0,1826,,"Hort. Brit. : 206 (1826)",,,,,,urn:lsid:ipni.org:names:239010-1,wfo-0000124186,5696811,,
33cf01e2-8fb5-11eb-924d-9cd76263cbd0,species,asperum,Podospermum,,Sweet,0,1826,,"Hort. Brit. : 207 (1826)",,,,,,urn:lsid:ipni.org:names:239011-1,wfo-0000075166,5696809,,
e3ac83e6-8fb5-11eb-924d-9cd76263cbd0,species,bicolor,Podospermum,,"(Freyn & Sint.) Kuth.",0,1978,,"Unknown : 100 (1978)",,,,,,urn:lsid:ipni.org:names:77070529-1,wfo-0000083330,5393268,,
582575aa-8fb3-11eb-924d-9cd76263cbd0,species,buxbaumii,Podospermum,,K.Koch,0,1844,,"Linnaea 17: 274 (1844)",,,Q5976761,,,urn:lsid:ipni.org:names:239012-1,wfo-0000046439,5696807,,
02cbf19e-8fbb-11eb-924d-9cd76263cbd0,species,calcitrapaefolium,Podospermum,,Boiss.,0,1841,,"Voy. Bot. Espagne 2: 381 (1841)",,,,,,urn:lsid:ipni.org:names:239013-1,wfo-0000131105,7386528,,
1a6550a6-8fb2-11eb-924d-9cd76263cbd0,species,calcitrapifolium,Podospermum,,"(Vahl) DC.",0,1815,,"Fl. Franc. 6: 455 (1815)",,,,,,urn:lsid:ipni.org:names:239015-1,wfo-0000011388,5696802,,
ca9a444c-8fb5-11eb-924d-9cd76263cbd0,species,calcitrapifolium,Podospermum,,C.A.Mey.,0,1831,,"Verz. Pfl. Casp. Meer. (C.A. von Meyer). 62. 1831 [Nov-Dec 1831]",,,,,,urn:lsid:ipni.org:names:239014-1,wfo-0000082202,7806010,,
00293dc8-8fb8-11eb-924d-9cd76263cbd0,species,callosum,Podospermum,,DC.,0,1838,,"Prodr. 7(1): 111 (1838)",,,Q2712448,,,urn:lsid:ipni.org:names:239016-1,wfo-0000105230,5696798,,
3fde1cea-8fb3-11eb-924d-9cd76263cbd0,species,canum,Podospermum,,C.A.Mey.,0,1831,,"Verz. Pfl. Casp. Meer. : 62 (1831)",,,,,,urn:lsid:ipni.org:names:239017-1,wfo-0000044701,5397907,,
b21e3fde-1d47-11ec-82c2-f14daa6f2d93,variety,canum,Podospermum,canum,,,,,,,,,,,,wfo-0000048265,,,
