id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8d0fc32-8fd1-11eb-924d-9cd76263cbd0,genus,Pogonanthera,,,Blume,0,1831,,"Flora 14: 520 (1831)",,,,,,urn:lsid:ipni.org:names:26544-1,wfo-4000030565,3231540,,
f9418ae2-8fcb-11eb-924d-9cd76263cbd0,species,caulopteris,Pogonanthera,,"H.W.Li & X.H.Guo",0,1993,,"Acta Phytotax. Sin. 31: 267 (1993)",,,,,,urn:lsid:ipni.org:names:974145-1,wfo-0000279447,5609841,,
b67a518c-8fbf-11eb-924d-9cd76263cbd0,species,corymbosa,Pogonanthera,,"Zipp. ex Blume",0,1850,,"Mus. Bot. 1(15): 240 (Jun 1850 publ. late 1",,,,,,urn:lsid:ipni.org:names:574909-1,wfo-0000161608,5601228,,
b684b74e-8fbf-11eb-924d-9cd76263cbd0,species,hexamera,Pogonanthera,,"Baker f.",0,1917,,"Fl. Arfak Mts. 158 (1917) (1917)",,,,,,urn:lsid:ipni.org:names:574910-1,wfo-0000161609,5601225,,
f941ab08-8fcb-11eb-924d-9cd76263cbd0,species,intermedia,Pogonanthera,,"(C.Y.Wu & H.W.Li) H.W.Li & X.H.Guo",0,1993,,"Acta Phytotax. Sin. 31: 270 (1993)",,,,f0073aa8-8fcb-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:974146-1,wfo-0000279448,5609837,,
b68f69be-8fbf-11eb-924d-9cd76263cbd0,species,latifolia,Pogonanthera,,O.Schwartz,0,1931,,"Mitt. Inst. Allg. Bot. Hamburg 7: 252 (1931)",,,,,,urn:lsid:ipni.org:names:574911-1,wfo-0000161610,5601223,,
b699d50c-8fbf-11eb-924d-9cd76263cbd0,species,pauciflora,Pogonanthera,,Becc.,0,1886,,"Malesia 2: 241 (1886)",,,,,,urn:lsid:ipni.org:names:574912-1,wfo-0000161611,5601221,,
b6a4728c-8fbf-11eb-924d-9cd76263cbd0,species,pulverulenta,Pogonanthera,,Blume,0,1831,,"Flora 14: 521 (1831)",,,,,,urn:lsid:ipni.org:names:574913-1,wfo-0000161612,7702128,,
b6b9ae4a-8fbf-11eb-924d-9cd76263cbd0,species,pulverulenta,Pogonanthera,,Korth.,0,1844,,"Verh. Nat. Gesch. Ned. Bezitt., Bot. 247. t. 65. 1844 [15 Feb 1844]",,,,,,urn:lsid:ipni.org:names:574914-1,wfo-0000161615,5601218,,
b6c42320-8fbf-11eb-924d-9cd76263cbd0,species,reflexa,Pogonanthera,,Blume,0,1831,,"Flora 14: 521 (1831)",,,,,,urn:lsid:ipni.org:names:574915-1,wfo-0000161616,5601216,,
b6cee238-8fbf-11eb-924d-9cd76263cbd0,species,robusta,Pogonanthera,,Becc.,0,1886,,"Malesia 2: 240 (1886)",,,,,,urn:lsid:ipni.org:names:574916-1,wfo-0000161617,5601214,,
b6d97856-8fbf-11eb-924d-9cd76263cbd0,species,squamulata,Pogonanthera,,"Korth. ex Blume",0,1849,,"Mus. Bot. 1(2): 24 (1849)",,,,,,urn:lsid:ipni.org:names:574917-1,wfo-0000161618,5601212,,
f94289b0-8fcb-11eb-924d-9cd76263cbd0,species,candollei,Pogonanthus,,Montrouz.,0,1860,,"Mém. Acad. Imp. Sci. Lyon, Sect. Sci. , sér. 2, 10: 225 (1860)",,,,,,urn:lsid:ipni.org:names:760845-1,wfo-0000279451,2915552,,
