id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8ddf284-8fd1-11eb-924d-9cd76263cbd0,genus,Polygonatum,,,Mill.,Q312678,1754,,"Gard. Dict. Abr. (ed. 4) vol. 3. 1754. (28 Jan 1754)",,,,,,24672-1,wfo-4000030741,2769995,,
0b5bbe9a-8fcd-11eb-924d-9cd76263cbd0,species,acuminatifolium,Polygonatum,,Kom.,Q1319463,1916,,"Izv. Glavn. Bot. Sada R.S.F.S.R. 16: 157 1916",,,,,,,wfo-0000718282,2769997,,
0fd340c4-8fcd-11eb-924d-9cd76263cbd0,species,adnatum,Polygonatum,,"S.Yun Liang",Q6135575,1987,,"Acta Phytotax. Sin. 25: 65 1987",,,,,,931771-1,wfo-0000726433,2770116,,
25eca508-8fcd-11eb-924d-9cd76263cbd0,species,aflatunense,Polygonatum,,B.Fedtsch.,Q2910947,1915,,"Rastit. Turkest. 255 1915",,,,,,540076-1,wfo-0000771608,2770199,,
0b5cbbba-8fcd-11eb-924d-9cd76263cbd0,species,agglutinatum,Polygonatum,,Hua,Q5894426,1892,,"J. Bot. (Morot) 6: 448 1892",,,,,,540077-1,wfo-0000718291,2770130,,
bcc8c09c-8fcd-11eb-924d-9cd76263cbd0,species,alcatum,Polygonatum,,A.Gray,Q347356,,,,,,,,,,wfo-0001072886,8280205,,
0b59e6d8-8fcd-11eb-924d-9cd76263cbd0,species,altelobatum,Polygonatum,,Hayata,Q702874,1915,,"Icon. Pl. Formosan. 5: 229 1915",,,,,,540078-1,wfo-0000718270,,,
0b5db150-8fcd-11eb-924d-9cd76263cbd0,species,alternicirrhosum,Polygonatum,,Hand.-Mazz.,Q134118,,,"Symb. Sin. 7: 1209 1936",,,,,,540079-1,wfo-0000718296,2770170,,
2617c256-8fcd-11eb-924d-9cd76263cbd0,variety,piliferum,Polygonatum,alternicirrhosum,P.Y.Li,Q33681213,1966,,"Acta Phytotax. Sin. 11: 252 1966",,,,,,,wfo-0000771983,2770283,,
0b5dd310-8fcd-11eb-924d-9cd76263cbd0,species,amabile,Polygonatum,,Yatabe,Q1515363,1892,,"Bot. Mag. (Tokyo) 6: 279 1892",,,,,,,wfo-0000718297,2770147,,
0b5e4aac-8fcd-11eb-924d-9cd76263cbd0,species,ambiguum,Polygonatum,,"Link ex Schult. & Schult.f.","Q215466,Q78881,Q78745",1829,,"Syst. Veg. 7: 299 1829",,,,,,540081-1,wfo-0000718301,7770253,,
26806ca2-8fcd-11eb-924d-9cd76263cbd0,species,ambiguum,Polygonatum,,"(Des Moul.) B.D.Jacks.","Q2960744,Q817450",1913,,"Index Kew. Suppl. 4: 187 1913",,,,,,,wfo-0000772872,2770032,,
0b5ea07e-8fcd-11eb-924d-9cd76263cbd0,species,anceps,Polygonatum,,Moench,Q60948,1794,,"Methodus 637 1794",,,,,,540083-1,wfo-0000718304,2770259,,
0a7cfd2c-8fcd-11eb-924d-9cd76263cbd0,species,angulosum,Polygonatum,,Bubani,Q684026,1902,,"Fl. Pyren. 4: 117 1902",,,,,,540085-1,wfo-0000716865,2770268,,
0b5ed9ae-8fcd-11eb-924d-9cd76263cbd0,species,angulosum,Polygonatum,,Montandon,Q21390171,1868,,"Syn. Fl. Jura ed. 2: 311 1868",,,,,,,wfo-0000718306,8287727,,
09f1e656-8fcd-11eb-924d-9cd76263cbd0,species,angustifolium,Polygonatum,,Pursh,Q67353,1813,,"Fl. Amer. Sept. 1: 234 1813",,,,,,540086-1,wfo-0000715799,8024495,,
0aa9b984-8fcd-11eb-924d-9cd76263cbd0,species,angustifolium,Polygonatum,,Bubani,Q684026,1902,,"Fl. Pyren. 4: 117 1902",,,,,,540087-1,wfo-0000717185,2770018,,
0eba25d6-8fcd-11eb-924d-9cd76263cbd0,species,anhuiense,Polygonatum,,"D.C.Zhang & J.Z.Shao","Q13415811,Q13415813",1992,,"Guihaia 12: 99 1992",,,,,,961264-1,wfo-0000724434,2770299,,
0a2a117a-8fcd-11eb-924d-9cd76263cbd0,species,anomalum,Polygonatum,,Hua.,,1892,,"J. Bot. (Morot) 6: 420 1892",,,,,,540088-1,wfo-0000716275,2770140,,
0a2cbd80-8fcd-11eb-924d-9cd76263cbd0,species,arisanense,Polygonatum,,Hayata,Q702874,1920,,"Icon. Pl. Formosan. 9: 140 1920",,,,,,540089-1,wfo-0000716286,2770117,,
43f6bf02-8fcd-11eb-924d-9cd76263cbd0,species,azegamii,Polygonatum,,"(Ohwi) M.N.Tamura","Q4332375,Q6017751",2008,,"Acta Phytotax. Geobot. 59: 28 2008",,Q101140417,,43f6a224-8fcd-11eb-924d-9cd76263cbd0,,77090985-1,wfo-0000836460,2770275,,
0a2e0000-8fcd-11eb-924d-9cd76263cbd0,species,beyrodtianum,Polygonatum,,"Engl. & Graebn.","Q60718,Q67753",1920,,"Notizbl. Bot. Gart. Berlin-Dahlem 7: 398 1920",,,,,,540090-1,wfo-0000716297,3685135,,
0a2f79d0-8fcd-11eb-924d-9cd76263cbd0,species,biflorum,Polygonatum,,"(Walter) Elliott","Q1366734,Q2982922",1817,,"Sketch Bot. S. Carolina 1: 393 1817",,,,,,540091-1,wfo-0000716308,2770039,,
1ce4c90e-8fcd-11eb-924d-9cd76263cbd0,variety,commutatum,Polygonatum,biflorum,"(Schult. & Schult.f.) Morong","Q78881,Q78745,Q3525431",1893,,"Bull. Torrey Bot. Club 20: 480 1893",,Q55766477,,d2025762-8fcc-11eb-924d-9cd76263cbd0,,205951-2,wfo-0000753000,2770047,,
