id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8f415a0-8fd1-11eb-924d-9cd76263cbd0,genus,Porterandia,,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 593. 1940.",,Q55785941,,,,35172-1,wfo-4000030983,2901619,,
fa63a662-8fcb-11eb-924d-9cd76263cbd0,species,anisophylla,Porterandia,,"(Jack ex Roxb.) Ridl.","Q15482,Q748967,Q733709",1939,,"Bull. Misc. Inform. Kew 1939: 594 1940",,Q55785941,,8d30fe6c-8fcd-11eb-924d-9cd76263cbd0,,760943-1,wfo-0000281087,2901637,,
710ffd00-8fcd-11eb-924d-9cd76263cbd0,variety,macroptera,Porterandia,anisophylla,"(Miq.) Masam.","Q76742,Q2445064",1942,,"Enum. Phan. Born. 702 1942",,,,,,,wfo-0000914815,5937583,,
710f8da2-8fcd-11eb-924d-9cd76263cbd0,variety,polyneura,Porterandia,anisophylla,"(Valeton) Masam.","Q2335410,Q2445064",1942,,"Enum. Phan. Born. 702 1942",,,,,,,wfo-0000914812,5937581,,
fa63c340-8fcb-11eb-924d-9cd76263cbd0,species,annulata,Porterandia,,"(K.Schum.) Keay","Q63545,Q5804349",1958,,"Bull. Jard. Bot. État 28: 24 1958",,Q55775862,,02bcd748-8fcc-11eb-924d-9cd76263cbd0,,760944-1,wfo-0000281088,2912313,,
1cb24afc-8fcc-11eb-924d-9cd76263cbd0,species,beamanii,Porterandia,,Zahid,Q21613368,2003,,"Gard. Bull. Singapore 55: 229 2003",,,,,,60435662-2,wfo-0000336347,2901627,,
326bd81c-8fcd-11eb-924d-9cd76263cbd0,species,bruneiensis,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 55 2004",,Q104587133,,,,77063591-1,wfo-0000799089,2901636,,
fa64c7a4-8fcb-11eb-924d-9cd76263cbd0,species,castaneofulva,Porterandia,,"(S.Moore) Keay","Q2975984,Q5804349",1958,,"Bull. Jard. Bot. État 28: 24 1958",,Q55775862,,02c577e0-8fcc-11eb-924d-9cd76263cbd0,,760945-1,wfo-0000281091,2912309,,
fa6528e8-8fcb-11eb-924d-9cd76263cbd0,species,catappifolia,Porterandia,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 596 1940",,Q55785941,,,,760946-1,wfo-0000281092,2901643,,
326bf450-8fcd-11eb-924d-9cd76263cbd0,species,celebica,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 58 2004",,Q104587133,,,,77063592-1,wfo-0000799090,2901622,,
1cb26820-8fcc-11eb-924d-9cd76263cbd0,species,chanii,Porterandia,,Zahid,Q21613368,2003,,"Gard. Bull. Singapore 55: 232 2003",,,,,,60435663-2,wfo-0000336348,2901651,,
fa6552f0-8fcb-11eb-924d-9cd76263cbd0,species,cladantha,Porterandia,,"(K.Schum.) Keay","Q63545,Q5804349",1958,,"Bull. Jard. Bot. État 28: 24 1958",,Q55775862,,02c74f8e-8fcc-11eb-924d-9cd76263cbd0,,760947-1,wfo-0000281093,2912303,,
326c10c0-8fcd-11eb-924d-9cd76263cbd0,species,congestiflora,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 60 2004",,Q104587133,,,,77063595-1,wfo-0000799091,2901628,,
fa656fec-8fcb-11eb-924d-9cd76263cbd0,species,crosbyi,Porterandia,,"(Burkill) A.C.Sm. & S.P.Darwin","Q4084920,Q1922675,Q6134290",1988,,"in Fl. Vitiensis Nova 4: 190 1988",,,,,,945370-1,wfo-0000281094,2898549,,
73b2b6d8-8fcd-11eb-924d-9cd76263cbd0,species,dinghoui,Porterandia,,"Zahid & K.M.Wong","Q21613368,Q5959428",2010,,"Edinburgh J. Bot. 67: 301 2010",,Q55756023,,,,77105534-1,wfo-0000918645,6288308,,
fa658b94-8fcb-11eb-924d-9cd76263cbd0,species,glabrifolia,Porterandia,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 596 1940",,Q55785941,,,,760948-1,wfo-0000281095,2901644,,
fa65a688-8fcb-11eb-924d-9cd76263cbd0,species,grandifolia,Porterandia,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 595 1940",,Q55785941,,,,760949-1,wfo-0000281096,2901623,,
326c2d08-8fcd-11eb-924d-9cd76263cbd0,species,hosei,Porterandia,,"(Merr.) Zahid","Q729926,Q21613368",2004,,"Sandakania 15: 63 2004",,Q104587133,,,,77063596-1,wfo-0000799092,2901649,,
326c46bc-8fcd-11eb-924d-9cd76263cbd0,species,kalimantanensis,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 66 2004",,Q104587133,,,,77063597-1,wfo-0000799093,2901626,,
1cb2854e-8fcc-11eb-924d-9cd76263cbd0,species,kelantansis,Porterandia,,Tirveng.,Q5804720,2003,,"Biogeographica (The Hague) 79: 38 2003",,,,,,20012649-1,wfo-0000336349,2901624,,
326c9784-8fcd-11eb-924d-9cd76263cbd0,species,lambirensis,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 67 2004",,Q104587133,,,,77063598-1,wfo-0000799096,2901645,,
326cb0e8-8fcd-11eb-924d-9cd76263cbd0,species,laxiflora,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 69 2004",,Q104587133,,,,77063599-1,wfo-0000799097,2901630,,
1cb2fb1e-8fcc-11eb-924d-9cd76263cbd0,species,macroptera,Porterandia,,"(Miq.) Tirveng.","Q76742,Q5804720",2003,,"Biogeographica (The Hague) 79: 36 2003",,,,,,20012647-1,wfo-0000336351,2901652,,
fa65c456-8fcb-11eb-924d-9cd76263cbd0,species,minor,Porterandia,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 594 1940",,Q55785941,,,,760950-1,wfo-0000281097,2901629,,
1cb38a5c-8fcc-11eb-924d-9cd76263cbd0,species,mussaendoides,Porterandia,,"(Craib) Tirveng.","Q4243070,Q5804720",2003,,"Biogeographica (The Hague) 79: 37 2003",,,,02ec42d0-8fcc-11eb-924d-9cd76263cbd0,,20012648-1,wfo-0000336352,2901631,,
fa65de78-8fcb-11eb-924d-9cd76263cbd0,species,nalaensis,Porterandia,,"(De Wild.) Keay","Q2628388,Q5804349",1958,,"Bull. Jard. Bot. État 28: 24 1958",,Q55775862,,,,760951-1,wfo-0000281098,2912301,,
fa65fa0c-8fcb-11eb-924d-9cd76263cbd0,species,pauciflora,Porterandia,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 597 1940",,Q55785941,,,,760952-1,wfo-0000281099,2901621,,
fa66171c-8fcb-11eb-924d-9cd76263cbd0,species,penduliflora,Porterandia,,"(K.Schum.) Keay","Q63545,Q5804349",1958,,"Bull. Jard. Bot. État 28: 24 1958",,Q55775862,,,,760953-1,wfo-0000281100,2912295,,
326ccd30-8fcd-11eb-924d-9cd76263cbd0,species,postarii,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 71 2004",,Q104587133,,,,77063600-1,wfo-0000799098,2901646,,
1cb3d106-8fcc-11eb-924d-9cd76263cbd0,species,puffii,Porterandia,,Zahid,Q21613368,2003,,"Gard. Bull. Singapore 55: 235 2003",,,,,,60435664-2,wfo-0000336353,2901620,,
326ce6e4-8fcd-11eb-924d-9cd76263cbd0,species,rarissima,Porterandia,,Zahid,Q21613368,2004,,"Sandakania 15: 74 2004",,Q104587133,,,,77063601-1,wfo-0000799099,2901625,,
fa665038-8fcb-11eb-924d-9cd76263cbd0,species,scortechinii,Porterandia,,"(King & Gamble) Ridl.","Q2566984,Q1461150,Q733709",1939,,"Bull. Misc. Inform. Kew 1939: 595 1940",,Q55785941,,,,760954-1,wfo-0000281102,2901640,,
fa6672f2-8fcb-11eb-924d-9cd76263cbd0,species,sericantha,Porterandia,,"(W.C.Chen) W.C.Chen",Q18983669,,,"in Fl. Reipubl. Popul. Sin. 71(1): 3884 1999",,,,0304256c-8fcc-11eb-924d-9cd76263cbd0,,1016085-1,wfo-0000281103,2901647,,
fa6694a8-8fcb-11eb-924d-9cd76263cbd0,species,sessiliflora,Porterandia,,Ridl.,Q733709,1939,,"Bull. Misc. Inform. Kew 1939: 597 1940",,Q55785941,,,,760955-1,wfo-0000281104,2899599,,
fa676ec8-8fcb-11eb-924d-9cd76263cbd0,species,subsessilis,Porterandia,,"(Valeton) Ridl.","Q2335410,Q733709",1939,,"Bull. Misc. Inform. Kew 1939: 595 1940",,Q55785941,,,,760956-1,wfo-0000281105,2901634,,
fa67963c-8fcb-11eb-924d-9cd76263cbd0,species,tenuiflora,Porterandia,,"(A.C.Sm.) A.C.Sm. & S.P.Darwin","Q1922675,Q6134290",1988,,"in Fl. Vitiensis Nova 4: 192 1988",,,,,,945362-1,wfo-0000281106,2898559,,
