id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a4c38eb4-9bad-11eb-a8a2-19ed5c03f8d3,genus,Prathoda,,,Subram.,,1956,,"J. Indian bot. Soc. 35: 73 (1956)",,,,a4c38eb4-9bad-11eb-a8a2-19ed5c03f8d3,,,,,9526," "
0b4efb70-9bac-11eb-a8a2-19ed5c03f8d3,species,longissima,Prathoda,,"(Deighton & MacGarvie) E.G. Simmons",,2007,,"Alternaria: an identification manual 672 (2007)",,,,181b86f6-9bad-11eb-a8a2-19ed5c03f8d3,,,,,505052," "
ff06ac5e-9bac-11eb-a8a2-19ed5c03f8d3,species,saparva,Prathoda,,Subram.,,1956,,"J. Indian bot. Soc. 35: 73 (1956)",,,,ff06ac5e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,304188," "
3b3260d8-8fcd-11eb-924d-9cd76263cbd0,species,acuminata,Pratia,,"(Sw.) McVaugh",,1943,,"N. Amer. Fl. 32A: 111 1943",,,,,,209964-2,wfo-0000817618,3160005,,
3c5e012e-8fcd-11eb-924d-9cd76263cbd0,variety,innominata,Pratia,acuminata,"(Rendle) E.Wimm.",,1953,,"Pflanzenr. IV, 276b: 767 1953",,,,3a280e72-8fcd-11eb-924d-9cd76263cbd0,,209965-2,wfo-0000820105,3160415,,
3b35fcca-8fcd-11eb-924d-9cd76263cbd0,species,angulata,Pratia,,"(G.Forst.) Hook.f.",,1844,,"Fl. Antarct. 1: 43 1844",,,,397a548a-8fcd-11eb-924d-9cd76263cbd0,,144584-1,wfo-0000817650,3160245,,
3cde6b0c-8fcd-11eb-924d-9cd76263cbd0,variety,arenaria,Pratia,angulata,"(Hook.f.) Hook.f.",,1852,,"Fl. Nov.-Zel. 1: 157 1852",,,,,,,wfo-0000821106,,,
3cde8a92-8fcd-11eb-924d-9cd76263cbd0,variety,minor,Pratia,angulata,Carse,,1929,,"Trans. & Proc. New Zealand Inst. 60: 307 1929",,,,,,,wfo-0000821107,3160246,,
3cdea5cc-8fcd-11eb-924d-9cd76263cbd0,variety,obovata,Pratia,angulata,E.Wimm.,,1943,,"Pflanzenr. IV, 276b: 111 1943",,,,,,,wfo-0000821108,3160247,,
3b346586-8fcd-11eb-924d-9cd76263cbd0,species,archboldiana,Pratia,,"Merr. & L.M.Perry",,1949,,"J. Arnold Arbor. 30: 59 1949",,Q100550452,,,,144585-1,wfo-0000817636,3160950,,
3b318460-8fcd-11eb-924d-9cd76263cbd0,species,arenaria,Pratia,,Hook.f.,,1844,,"Fl. Antarct. 1: 41 1844",,,,,,144586-1,wfo-0000817610,3160257,,
3b349fc4-8fcd-11eb-924d-9cd76263cbd0,species,arenosa,Pratia,,Hook.f.,,1844,,"Fl. Antarct. 1: t. 29 1844",,,,,,144587-1,wfo-0000817638,3160260,,
3b34b9c8-8fcd-11eb-924d-9cd76263cbd0,species,atacamensis,Pratia,,Phil.,,1860,,"Fl. Atacam. 34 1860",,,,,,144588-1,wfo-0000817639,3160464,,
3b34d476-8fcd-11eb-924d-9cd76263cbd0,species,begonifolia,Pratia,,"(Wall.) Lindl.",,,,"Edwards's Bot. Reg. 16: t. 1373 1831",,,,,,144590-1,wfo-0000817640,3160901,,
3b34fa96-8fcd-11eb-924d-9cd76263cbd0,species,boliviensis,Pratia,,A.DC.,,1839,,"Prodr. 7: 340 1839",,,,,,144591-1,wfo-0000817641,3160054,,
3b351b52-8fcd-11eb-924d-9cd76263cbd0,species,borneensis,Pratia,,Hemsl.,,,,"Hooker's Icon. Pl. 16: t. 1532 1886",,,,,,144592-1,wfo-0000817642,3160221,,
3cdfe464-8fcd-11eb-924d-9cd76263cbd0,variety,grandiflora,Pratia,borneensis,Stapf,,1894,,"Trans. Linn. Soc. London, Bot. 4: 188 1894",,Q55760363,,,,77113906-1,wfo-0000821118,3160222,,
3ae66d72-8fcd-11eb-924d-9cd76263cbd0,species,brachyantha,Pratia,,"(Merr. & L.M.Perry) E.Wimm.",,1968,,"Pflanzenr. IV, 276c: 833 1968",,,,39d7e168-8fcd-11eb-924d-9cd76263cbd0,,144593-1,wfo-0000816948,3160152,,
3b3ebb6c-8fcd-11eb-924d-9cd76263cbd0,species,brevisepala,Pratia,,Y.S.Lian,,1983,,"in Fl. Reipubl. Popul. Sin. 73(2): 189 1983",,,,,,902842-1,wfo-0000817730,3160346,,
3b358c4a-8fcd-11eb-924d-9cd76263cbd0,species,calochlamys,Pratia,,"(Donn.Sm.) E.Wimm.",,1931,,"Repert. Spec. Nov. Regni Veg. 29: 50 1931",,Q55753764,,,,209966-2,wfo-0000817646,3160064,,
3b35a950-8fcd-11eb-924d-9cd76263cbd0,species,concolor,Pratia,,"(R.Br.) Druce",,1916,,"Rep. Bot. Soc. Exch. Club Brit. Isles 4: 631 1916 publ. 1917",,,,,,,wfo-0000817647,3159852,,
3c77a91c-8fcd-11eb-924d-9cd76263cbd0,variety,longipes,Pratia,concolor,"(Hook.f.) E.Wimm.",,1943,,"Pflanzenr. IV, 276a: 109 1943",,,,,,,wfo-0000820323,,,
3b35c61a-8fcd-11eb-924d-9cd76263cbd0,species,conferta,Pratia,,"(Merr. & L.M.Perry) E.Wimm.",,1953,,"Pflanzenr. IV, 276b: 764 1953",,,,,,,wfo-0000817648,3159906,,
3b35dfec-8fcd-11eb-924d-9cd76263cbd0,species,corymbosa,Pratia,,G.Don,,1834,,"Gen. Hist. 3: 699 1834",,,,,,144597-1,wfo-0000817649,3160943,,
3ae850d8-8fcd-11eb-924d-9cd76263cbd0,species,cunninghamii,Pratia,,"(A.DC.) Hook.f.",,1844,,"Fl. Antarct. 1: 42 1844",,,,42afca08-8fcd-11eb-924d-9cd76263cbd0,,144598-1,wfo-0000816965,3159857,,
3c778cde-8fcd-11eb-924d-9cd76263cbd0,variety,longipes,Pratia,cunninghamii,Hook.f.,,1844,,"Fl. Antarct. 42 1844",,,,,,150096-3,wfo-0000820322,,,
3b373aae-8fcd-11eb-924d-9cd76263cbd0,species,darlingensis,Pratia,,E.Wimm.,,1943,,"Pflanzenr. IV, 276a: 108 1943",,,,,,,wfo-0000817661,3161007,,
3ad4cb3a-8fcd-11eb-924d-9cd76263cbd0,species,elliptica,Pratia,,"(Hook. & Arn.) Hook.f.",,1844,,"Fl. Antarct. 1: 43 1844",,,,,,144600-1,wfo-0000816793,3159399,,
3aea825e-8fcd-11eb-924d-9cd76263cbd0,species,erecta,Pratia,,Gaudich.,,1829,,"Voy. Uranie 456 1829",,,,,,144601-1,wfo-0000816985,3159856,,
3aea9ec4-8fcd-11eb-924d-9cd76263cbd0,species,fangiana,Pratia,,E.Wimm.,,1935,,"Repert. Spec. Nov. Regni Veg. 38: 3 1935",,Q55754393,,,,144602-1,wfo-0000816986,3160080,,
3aeaba26-8fcd-11eb-924d-9cd76263cbd0,species,fawcettii,Pratia,,"(Urb.) McVaugh",,1943,,"N. Amer. Fl. 32A: 112 1943",,,,,,209967-2,wfo-0000816987,3160242,,
3aead5b0-8fcd-11eb-924d-9cd76263cbd0,species,gelida,Pratia,,"(F.Muell.) Benth.",,1868,,"Fl. Austral. 4: 132 1868",,,,,,144604-1,wfo-0000816988,3159576,,
3aeaf1d0-8fcd-11eb-924d-9cd76263cbd0,species,gilletii,Pratia,,"(De Wild.) E.Wimm.",,1943,,"Pflanzenr. IV, 276a: 115 1943",,,,,,,wfo-0000816989,3160160,,
3aeb0e18-8fcd-11eb-924d-9cd76263cbd0,species,glandulifera,Pratia,,Wedd.,,1857,,"Chlor. Andina 2: 11 1857",,,,,,,wfo-0000816990,3166042,,
3aeb2be6-8fcd-11eb-924d-9cd76263cbd0,species,grandifolia,Pratia,,"(Britton) McVaugh",,1943,,"N. Amer. Fl. 32A: 112 1943",,,,3a1d9df2-8fcd-11eb-924d-9cd76263cbd0,,144607-1,wfo-0000816991,3160136,,
