id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9098962-8fd1-11eb-924d-9cd76263cbd0,genus,Pronephrium,,,C.Presl,,"Abh. Königl. Böhm. Ges. Wiss., ser. 5, 6: 618–619. 1851.",,,,,,wfo-4000031222,7160054,
d18f0c98-8fcd-11eb-924d-9cd76263cbd0,species,acanthocarpum,Pronephrium,,"(Copel.) Holttum",,"Blumea 20(1): 107 1972",,,,,17451480-1,wfo-0001118351,4080183,
40953172-8fbe-11eb-924d-9cd76263cbd0,species,acrostichoides,Pronephrium,,C.Presl,,"Epimel. Bot. 259 1851 [Oct 1851]",,,,,17209180-1,wfo-0000152860,4080162,
f4a2d2b8-8fbf-11eb-924d-9cd76263cbd0,species,acrostichoides,Pronephrium,,Pr.,,1849,,,,,17278470-1,wfo-0000163139,4080162,
d1986e1e-8fcd-11eb-924d-9cd76263cbd0,species,affine,Pronephrium,,"(Blume) C.Presl",,"Abh. Königl. Böhm. Ges. Wiss., ser. 5 6: 619 1851",,,,,,wfo-0001118434,4083540,
d197b0a0-8fcd-11eb-924d-9cd76263cbd0,species,amboinense,Pronephrium,,"(Willd.) Holttum",,"Blumea 20(1): 120 1972",,,,,17451490-1,wfo-0001118427,4083535,
409fe1d0-8fbe-11eb-924d-9cd76263cbd0,species,amphitrichum,Pronephrium,,Holttum,,"Fl. Males., Ser. 2, Pterid. 1(5): 521 1982",,,,,17503930-1,wfo-0000152861,4083525,
d1907894-8fcd-11eb-924d-9cd76263cbd0,species,aquatiloides,Pronephrium,,"(Copel.) Holttum",,"Blumea 20(1): 108 1972",,,,,17451500-1,wfo-0001118362,4083514,
d194b90e-8fcd-11eb-924d-9cd76263cbd0,species,articulatum,Pronephrium,,"(Houlston & T.Moore) Holttum",,"Blumea 20(1): 116 1972",,,,,1052545-2,wfo-0001118400,4083497,
d19270ae-8fcd-11eb-924d-9cd76263cbd0,species,asperum,Pronephrium,,"(C.Presl) Holttum",,"Blumea 20(1): 112 1972",,,,,17451520-1,wfo-0001118379,4083470,
40aaf2fa-8fbe-11eb-924d-9cd76263cbd0,species,bakeri,Pronephrium,,Holttum,,"Fl. Males., Ser. 2, Pterid. 1(5): 516 1982",,,,,17513180-1,wfo-0000152862,4083460,
40b58580-8fbe-11eb-924d-9cd76263cbd0,species,balabacensis,Pronephrium,,"P.M.Zamora & Co",,"Nat. Appl. Sci. Bull. 32(1-4): 45 (1980) 1980",,,,,17501340-1,wfo-0000152863,4083453,
d18f4546-8fcd-11eb-924d-9cd76263cbd0,species,beccarianum,Pronephrium,,"(Ces.) Holttum",,"Blumea 22(1): 107 1972",,,,,,wfo-0001118353,4083444,
40c09d30-8fbe-11eb-924d-9cd76263cbd0,species,birii,Pronephrium,,"R.D.Dixit & Bal Krishna",,"Indian Fern J. 7(1-2): 20 (1990) 1990",,,,,17541030-1,wfo-0000152864,4083434,
40cb9c12-8fbe-11eb-924d-9cd76263cbd0,species,borneense,Pronephrium,,Holttum,,"Fl. Males., Ser. 2, Pterid. 1(5): 528 1982",,,,,17513190-1,wfo-0000152865,4083424,
d18f6170-8fcd-11eb-924d-9cd76263cbd0,species,brauseanum,Pronephrium,,Holttum,,"Blumea 22(1): 107 1972",,,,,,wfo-0001118354,4083415,
40d61a0c-8fbe-11eb-924d-9cd76263cbd0,species,bulusanicum,Pronephrium,,Holttum,,"Fl. Males., Ser. 2, Pterid. 1(5): 515 1982",,,,,17513200-1,wfo-0000152866,4083407,
d19338b8-8fcd-11eb-924d-9cd76263cbd0,species,buwaldae,Pronephrium,,Holttum,,"Blumea 20(1): 115 1972",,,,,17451550-1,wfo-0001118386,4083396,
d196d0ae-8fcd-11eb-924d-9cd76263cbd0,species,celebicum,Pronephrium,,"(Baker) Holttum",,"Blumea 20(1): 119 1972",,,,,17451560-1,wfo-0001118419,7321337,
40e178ac-8fbe-11eb-924d-9cd76263cbd0,species,clarkei,Pronephrium,,"Sarn.Singh & Panigrahi",,"Ferns Fern-Allies Arunachal Pradesh 2: 726 (-728; fig. 272, photos 251-252) 2005",,,,,77066607-1,wfo-0000152867,4083364,
d1957fec-8fcd-11eb-924d-9cd76263cbd0,species,clemensiae,Pronephrium,,"(Copel.) Holttum",,"Blumea 20(1): 118 1972",,,,,17451570-1,wfo-0001118407,7321333,
