id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e90ba666-8fd1-11eb-924d-9cd76263cbd0,genus,Protasparagus,,,Obermeyer,,"S. African J. Bot. 2: 243. 1983.",,,,,,wfo-4000031248,7311253,
0eb3b9a8-8fcd-11eb-924d-9cd76263cbd0,species,acerosus,Protasparagus,,"(Kunth) Kamble",,"J. Econ. Taxon. Bot. 15: 707 1991 publ. 1992",,,,,963706-1,wfo-0000724386,4262168,
0eddd896-8fcd-11eb-924d-9cd76263cbd0,species,acocksii,Protasparagus,,"(Jessop) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913181-1,wfo-0000724688,2768365,
0eb4165a-8fcd-11eb-924d-9cd76263cbd0,species,adscendens,Protasparagus,,"(Roxb.) Kamble",,"J. Econ. Taxon. Bot. 15: 707 1991 publ. 1992",,,,,963707-1,wfo-0000724388,2768802,
0edea136-8fcd-11eb-924d-9cd76263cbd0,species,aethiopicus,Protasparagus,,"(L.) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913182-1,wfo-0000724695,2768771,
0ee8c850-8fcd-11eb-924d-9cd76263cbd0,species,africanus,Protasparagus,,"(Lam.) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913183-1,wfo-0000724772,2768580,
0ece60b4-8fcd-11eb-924d-9cd76263cbd0,species,aggregatus,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 55 1992",,,,,968788-1,wfo-0000724582,2768386,
0ee09b80-8fcd-11eb-924d-9cd76263cbd0,species,angusticladus,Protasparagus,,"(Jessop) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913184-1,wfo-0000724709,2768725,
0eb46c68-8fcd-11eb-924d-9cd76263cbd0,species,asiaticus,Protasparagus,,"(L.) Kamble",,"J. Econ. Taxon. Bot. 15: 708 1991 publ. 1992",,,,,963708-1,wfo-0000724389,2768531,
0ed45500-8fcd-11eb-924d-9cd76263cbd0,species,aspergillus,Protasparagus,,"(Jessop) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913185-1,wfo-0000724626,2768360,
0eb512f8-8fcd-11eb-924d-9cd76263cbd0,species,bayeri,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 21 1992",,,,,968772-1,wfo-0000724393,2768972,
0eb5d062-8fcd-11eb-924d-9cd76263cbd0,species,bechuanicus,Protasparagus,,"(Baker) Oberm.",,"in Fl. S. Afr. 5(3): 33 1992",,,,,969632-1,wfo-0000724400,2768849,
0ec0f8ac-8fcd-11eb-924d-9cd76263cbd0,species,biflorus,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 63 1992",,,,,968792-1,wfo-0000724493,2768847,
0e794f34-8fcd-11eb-924d-9cd76263cbd0,species,biradarii,Protasparagus,,Kamble,,"J. Econ. Taxon. Bot. 17: 197 1993",,,,,975462-1,wfo-0000723950,4262139,
0ee2941c-8fcd-11eb-924d-9cd76263cbd0,species,buchananii,Protasparagus,,"(Baker) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913186-1,wfo-0000724723,2768623,
0eba9a16-8fcd-11eb-924d-9cd76263cbd0,species,burchellii,Protasparagus,,"(Baker) Oberm.",,"in Fl. S. Afr. 5(3): 27 1992",,,,,,wfo-0000724438,2768470,
0eb72d72-8fcd-11eb-924d-9cd76263cbd0,species,capensis,Protasparagus,,"(L.) Oberm.",,"in Fl. S. Afr. 5(3): 23 1992",,,,,969640-1,wfo-0000724409,2768985,
0eb957b4-8fcd-11eb-924d-9cd76263cbd0,variety,litoralis,Protasparagus,capensis,"(Suess. & Karling) Oberm.",,"in Fl. S. Afr. 5(3): 24 1992",,,,,970407-1,wfo-0000724430,2768980,
0eb49e90-8fcd-11eb-924d-9cd76263cbd0,species,capitatus,Protasparagus,,"(Baker) Kamble",,"J. Econ. Taxon. Bot. 15: 708 1991 publ. 1992",,,,,963709-1,wfo-0000724390,2768924,
0ecc251a-8fcd-11eb-924d-9cd76263cbd0,species,clareae,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 54 1992",,,,,968787-1,wfo-0000724570,2768804,
0ec91f46-8fcd-11eb-924d-9cd76263cbd0,species,coddii,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 53 1992",,,,,968786-1,wfo-0000724559,2768716,
0ee3508c-8fcd-11eb-924d-9cd76263cbd0,species,compactus,Protasparagus,,"(T.M.Salter) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913188-1,wfo-0000724729,2768965,
0eb6c486-8fcd-11eb-924d-9cd76263cbd0,species,concinnus,Protasparagus,,"(Baker) Oberm. & Immelman",,"in Fl. S. Afr. 5(3): 61 1992",,,,,969638-1,wfo-0000724407,2768479,
0eb63dcc-8fcd-11eb-924d-9cd76263cbd0,species,confertus,Protasparagus,,"(K.Krause) Oberm.",,"in Fl. S. Afr. 5(3): 51 1992",,,,,969636-1,wfo-0000724404,2768455,
0ee3f19a-8fcd-11eb-924d-9cd76263cbd0,species,cooperi,Protasparagus,,"(Baker) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913189-1,wfo-0000724735,2768563,
0ee53c62-8fcd-11eb-924d-9cd76263cbd0,species,crassicladus,Protasparagus,,"(Jessop) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913190-1,wfo-0000724743,2768860,
0eb4c1a4-8fcd-11eb-924d-9cd76263cbd0,species,curillus,Protasparagus,,"(Buch.-Ham. ex Roxb.) Kamble",,"J. Econ. Taxon. Bot. 15: 708 1991 publ. 1992",,,,,963710-1,wfo-0000724391,2768825,
0ee621fe-8fcd-11eb-924d-9cd76263cbd0,species,densiflorus,Protasparagus,,"(Kunth) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913191-1,wfo-0000724751,2768508,
0ee752ea-8fcd-11eb-924d-9cd76263cbd0,species,denudatus,Protasparagus,,"(Kunth) Oberm.",,"S. African J. Bot. 2: 243 1983",,,,,913192-1,wfo-0000724762,2768447,
0ec281a4-8fcd-11eb-924d-9cd76263cbd0,species,devenishii,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 41 1992",,,,,968781-1,wfo-0000724504,2768362,
0eb580b2-8fcd-11eb-924d-9cd76263cbd0,species,divaricatus,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 67 1992",,,,,968794-1,wfo-0000724397,2768946,
0eb4f3f4-8fcd-11eb-924d-9cd76263cbd0,species,dumosus,Protasparagus,,"(Baker) Kamble",,"J. Econ. Taxon. Bot. 15: 708 1991 publ. 1992",,,,,963711-1,wfo-0000724392,2768722,
0ed288ba-8fcd-11eb-924d-9cd76263cbd0,species,edulis,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 41 1992",,,,,968780-1,wfo-0000724615,2768680,
0ebc4fc8-8fcd-11eb-924d-9cd76263cbd0,species,exsertus,Protasparagus,,Oberm.,,"in Fl. S. Afr. 5(3): 29 1992",,,,,968774-1,wfo-0000724452,2768352,
0f0a7b76-8fcd-11eb-924d-9cd76263cbd0,species,exuvialis,Protasparagus,,"(Burch.) Oberm.",,"S. African J. Bot. 2: 244 1983",,,,,913193-1,wfo-0000725008,2769014,
0eb917d6-8fcd-11eb-924d-9cd76263cbd0,form,ecklonii,Protasparagus,exuvialis,"(Baker) Oberm.",,"in Fl. S. Afr. 5(3): 43 1992",,,,,970406-1,wfo-0000724426,2769017,
0f1658b0-8fcd-11eb-924d-9cd76263cbd0,species,falcatus,Protasparagus,,"(L.) Oberm.",,"S. African J. Bot. 2: 244 1983",,,,,913194-1,wfo-0000725090,2768942,
