id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a4c69e4c-9bad-11eb-a8a2-19ed5c03f8d3,genus,Prunulus,,,Gray,0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 630 (1821)",,,,a4c69e4c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,18371," "
1e789472-9bac-11eb-a8a2-19ed5c03f8d3,species,abramsii,Prunulus,,Murrill,0,1916,,"N. Amer. Fl. (New York) 9(5): 338 (1916)",,,,1e789472-9bac-11eb-a8a2-19ed5c03f8d3,,,,,175450," "
685e60ca-9bad-11eb-a8a2-19ed5c03f8d3,species,acutoconicus,Prunulus,,"(Clem.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 330 (1916)",,,,9d6188c0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503466," "
802543fa-9bac-11eb-a8a2-19ed5c03f8d3,species,adirondackensis,Prunulus,,Murrill,0,,,,,,,802543fa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,174800," "
ed944c9c-9bac-11eb-a8a2-19ed5c03f8d3,species,alachuanus,Prunulus,,Murrill,0,1945,,"Proc. Fla Acad. Sci. 7(2/3): 113 (1945)",,,,ed944c9c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,289991," "
685e9400-9bad-11eb-a8a2-19ed5c03f8d3,species,albogriseus,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 327 (1916)",,,,7983dee0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,503467," "
17865870-9bac-11eb-a8a2-19ed5c03f8d3,species,alcaliniformis,Prunulus,,Murrill,0,,,,,,,17865870-9bac-11eb-a8a2-19ed5c03f8d3,,,,,175147," "
21dd2b0a-9bac-11eb-a8a2-19ed5c03f8d3,species,alphitophorus,Prunulus,,"(Berk.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 339 (1916)",,,,7b6ca582-9bad-11eb-a8a2-19ed5c03f8d3,,,,,503468," "
803bc68e-9bac-11eb-a8a2-19ed5c03f8d3,species,argillaceus,Prunulus,,Murrill,0,,,,,,,803bc68e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,174938," "
80202640-9bac-11eb-a8a2-19ed5c03f8d3,species,atridiscus,Prunulus,,Murrill,0,,,,,,,80202640-9bac-11eb-a8a2-19ed5c03f8d3,,,,,174763," "
80902fd0-9bac-11eb-a8a2-19ed5c03f8d3,species,atrobrunneus,Prunulus,,Murrill,0,,,,,,,80902fd0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,175543," "
21dd59fe-9bac-11eb-a8a2-19ed5c03f8d3,species,atroumbonatus,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 335 (1916)",,,,04dbd024-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503469," "
b3ad023e-9bad-11eb-a8a2-19ed5c03f8d3,species,aurantiacus,Prunulus,,Murrill,0,,,,,,,b3ad023e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,175291," "
53ddae04-9bac-11eb-a8a2-19ed5c03f8d3,species,aurantiidiscus,Prunulus,,Murrill,0,,,,,,,53ddae04-9bac-11eb-a8a2-19ed5c03f8d3,,,,,175042," "
445abad0-9bac-11eb-a8a2-19ed5c03f8d3,species,avellaneogriseus,Prunulus,,Murrill,0,1916,,"N. Amer. Fl. (New York) 9(5): 340 (1916)",,,,445abad0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,175391," "
78c6ac2e-9bad-11eb-a8a2-19ed5c03f8d3,species,avellaneus,Prunulus,,Murrill,0,,,,,,,78c6ac2e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,156138," "
73ddc576-9bad-11eb-a8a2-19ed5c03f8d3,species,boltonii,Prunulus,,"(Pers.) Gray",0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 632 (1821)",,,,,,,,,486525," "
72f5c5ca-9bab-11eb-a8a2-19ed5c03f8d3,species,brevipes,Prunulus,,Murrill,0,,,,,,,72f5c5ca-9bab-11eb-a8a2-19ed5c03f8d3,,,,,156689," "
456fced8-9bac-11eb-a8a2-19ed5c03f8d3,species,caesiialbus,Prunulus,,Murrill,0,,,,,,,456fced8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156442," "
0842b34e-9bad-11eb-a8a2-19ed5c03f8d3,species,caesius,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 327 (1916)",,,,15e85fb8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503470," "
21dd8208-9bac-11eb-a8a2-19ed5c03f8d3,species,capillaripes,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 328 (1916)",,,,cec509b4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503471," "
45233d98-9bac-11eb-a8a2-19ed5c03f8d3,species,carbonicola,Prunulus,,Murrill,0,1916,,"N. Amer. Fl. (New York) 9(5): 341 (1916)",,,,45233d98-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156765," "
6e5ace38-9bac-11eb-a8a2-19ed5c03f8d3,species,cervinialbus,Prunulus,,Murrill,0,,,,,,,6e5ace38-9bac-11eb-a8a2-19ed5c03f8d3,,,,,375236," "
68cc915e-9bac-11eb-a8a2-19ed5c03f8d3,species,cervinoalbus,Prunulus,,Murrill,0,,,,,,,68cc915e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156217," "
68ee08ca-9bac-11eb-a8a2-19ed5c03f8d3,species,cinchonensis,Prunulus,,Murrill,0,1916,,"N. Amer. Fl. (New York) 9(5): 341 (1916)",,,,68ee08ca-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156526," "
1ddfe34e-9bac-11eb-a8a2-19ed5c03f8d3,species,cinereoavellaneus,Prunulus,,Murrill,0,,,,,,,1ddfe34e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156369," "
21dda738-9bac-11eb-a8a2-19ed5c03f8d3,species,clavicularis,Prunulus,,"(Fr.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 330 (1916)",,,,b3d40e7a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503472," "
690ed474-9bac-11eb-a8a2-19ed5c03f8d3,species,collybiiformis,Prunulus,,Murrill,0,,,,,,,690ed474-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156841," "
73dd2d50-9bad-11eb-a8a2-19ed5c03f8d3,species,confertus,Prunulus,,"(Bolton) Gray",0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 631 (1821)",,,,5caca6ec-9bad-11eb-a8a2-19ed5c03f8d3,,,,,486522," "
21ddd816-9bac-11eb-a8a2-19ed5c03f8d3,species,corrugatus,Prunulus,,"(Pat.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 342 (1916)",,,,9281d7ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503473," "
21ddfec2-9bac-11eb-a8a2-19ed5c03f8d3,species,corticalis,Prunulus,,"(Bull.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 328 (1916)",,,,76710bce-9bab-11eb-a8a2-19ed5c03f8d3,,,,,503474," "
21de235c-9bac-11eb-a8a2-19ed5c03f8d3,species,crystallinus,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 322 (1916)",,,,6e26aa2c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503475," "
f8a14708-9bab-11eb-a8a2-19ed5c03f8d3,species,curvipes,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 329 (1916)",,,,5ecd85d2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503476," "
21de49ea-9bac-11eb-a8a2-19ed5c03f8d3,species,cymbaliferus,Prunulus,,"(Mont.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 331 (1916)",,,,ba65d16a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503477," "
21de70a0-9bac-11eb-a8a2-19ed5c03f8d3,species,delectabilis,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 323 (1916)",,,,08d9e710-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503478," "
330656f8-9bad-11eb-a8a2-19ed5c03f8d3,species,denticulatus,Prunulus,,"(Bolton) Gray",0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 630 (1821)",,,,,,,,,463360," "
21de965c-9bac-11eb-a8a2-19ed5c03f8d3,species,elegantulus,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 337 (1916)",,,,757f324e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503479," "
21ded66c-9bac-11eb-a8a2-19ed5c03f8d3,species,epipterygius,Prunulus,,"(Scop.) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 335 (1916)",,,,,,,,,503480," "
73dd6afe-9bad-11eb-a8a2-19ed5c03f8d3,species,ericaeus,Prunulus,,"(Pers.) Gray",0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 631 (1821)",,,,6af6197c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,486523," "
f335289c-9bac-11eb-a8a2-19ed5c03f8d3,species,extinctorius,Prunulus,,"(Bull.) Gray",0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 632 (1821)",,,,74ec7db0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,298338," "
45724442-9bac-11eb-a8a2-19ed5c03f8d3,species,farinaceus,Prunulus,,Murrill,0,,,,,,,45724442-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156162," "
d1c945ee-9bac-11eb-a8a2-19ed5c03f8d3,species,filopes,Prunulus,,"(Bull.) House",0,,,,,,,55376c26-9bad-11eb-a8a2-19ed5c03f8d3,,,,,252159," "
21df3daa-9bac-11eb-a8a2-19ed5c03f8d3,species,flavifolius,Prunulus,,"(Peck) Murrill",0,1916,,"N. Amer. Fl. (New York) 9(5): 324 (1916)",,,,1c4eb50a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503481," "
592cfefa-9bac-11eb-a8a2-19ed5c03f8d3,species,flavocitrinus,Prunulus,,Murrill,0,,,,,,,592cfefa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,143735," "
73dcf970-9bad-11eb-a8a2-19ed5c03f8d3,species,foenisecii,Prunulus,,"(Pers.) Gray",0,1821,,"Nat. Arr. Brit. Pl. (London) 1: 631 (1821)",,,,90562992-9bac-11eb-a8a2-19ed5c03f8d3,,,,,486521," "
173f917e-9bac-11eb-a8a2-19ed5c03f8d3,species,fuliginosus,Prunulus,,Murrill,0,,,,,,,173f917e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,156638," "
