id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9dca0732-9bad-11eb-a8a2-19ed5c03f8d3,genus,Pseudomycena,,,Cejp,,1929,,"Publ. Fac. Sci. Univ. Charles 98: 25, 63, 80, 85 (1929)",,,,9dca0732-9bad-11eb-a8a2-19ed5c03f8d3,,,,,18405," "
d41ffba8-9bac-11eb-a8a2-19ed5c03f8d3,species,acicularum,Pseudomycena,,Velen.,0,1939,,"Novitates Mycologicae 90 (1939)",,,,d41ffba8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255713," "
eda45d4e-9bac-11eb-a8a2-19ed5c03f8d3,species,atripes,Pseudomycena,,Velen.,0,1947,,"Novitates Mycologicae Novissimae 33 (1947)",,,,eda45d4e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,290077," "
d13957b8-9bac-11eb-a8a2-19ed5c03f8d3,species,bulbosa,Pseudomycena,,Cejp,,1930,,"Publ. Fac. Sci. Univ. Charles 104: 149 (1930)",,,,d13957b8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,251138," "
d14ca99e-9bac-11eb-a8a2-19ed5c03f8d3,species,capillaris,Pseudomycena,,"(Schumach.) Cejp",0,1930,,"Publ. Fac. Sci. Univ. Charles 104: 141 (1930)",,,,,,,,,251254," "
eda48936-9bac-11eb-a8a2-19ed5c03f8d3,species,caricina,Pseudomycena,,Velen.,0,1947,,"Novitates Mycologicae Novissimae 31 (1947)",,,,eda48936-9bac-11eb-a8a2-19ed5c03f8d3,,,,,290078," "
eda4b1b8-9bac-11eb-a8a2-19ed5c03f8d3,species,cejpi,Pseudomycena,,Velen.,0,1947,,"Novitates Mycologicae Novissimae 32 (1947)",,,,eda4b1b8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,290079," "
a241279c-9bac-11eb-a8a2-19ed5c03f8d3,species,codoniceps,Pseudomycena,,"(Cooke) Cejp",0,1930,,"Spisy Prirod. Karlovy Univ. 104: 146 (1930)",,,,5cc40a6c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,251498," "
67a3b9d8-9bac-11eb-a8a2-19ed5c03f8d3,species,corticola,Pseudomycena,,"(Schumach.) Cejp",0,1930,,"Spisy Prirod. Karlovy Univ. 104: 142 (1930)",,,,,,,,,251615," "
eda4da94-9bac-11eb-a8a2-19ed5c03f8d3,species,cyanescens,Pseudomycena,,Velen.,0,1947,,"Novitates Mycologicae Novissimae 31 (1947)",,,,eda4da94-9bac-11eb-a8a2-19ed5c03f8d3,,,,,290080," "
d17f66c2-9bac-11eb-a8a2-19ed5c03f8d3,species,cyanorrhiza,Pseudomycena,,"(Quél.) Cejp",,1930,,"Publ. Fac. Sci. Univ. Charles 104: 145 (1930)",,,,791f25e0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,251718," "
