id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e95ce2ba-8fd1-11eb-924d-9cd76263cbd0,genus,Purpurella,,,Naudin,0,1850,,"Ann. Sci. Nat., Bot. , sér. 3, 13: 301 (1850)",,,Q17621119,,,urn:lsid:ipni.org:names:26564-1,wfo-4000032196,7273050,,
b9fddf22-8fbf-11eb-924d-9cd76263cbd0,species,albiflora,Purpurella,,Triana,0,1871,,"Trans. Linn. Soc. London 28: 35 (1871 publ. 1872)",,Q55760785,,,,urn:lsid:ipni.org:names:575077-1,wfo-0000161706,5600630,,
bffcbb6a-8fcd-11eb-924d-9cd76263cbd0,species,cleistoflora,Purpurella,,Ule,,1895,,"Ber. Deutsch. Bot. Ges. 13: 418, pl. 32 (1895)",,,,,,urn:lsid:ipni.org:names:214499-2,wfo-0001080108,5600626,,
ba084bba-8fbf-11eb-924d-9cd76263cbd0,species,cleistopetala,Purpurella,,Ule,0,,,"Ber. Deutsch. Bot. Ges. xiv. 163.",,Q102247457,,,,urn:lsid:ipni.org:names:575079-1,wfo-0000161707,5600621,,
cee9cf88-8fd1-11eb-924d-9cd76263cbd0,species,grossa,Purpurella,,Triana,0,1871,,"Trans. Linn. Soc. London 28: 35 (1871 publ. 1872)",,,,,,urn:lsid:ipni.org:names:575080-1,wfo-0001280811,5600619,,
2660cefa-8fbf-11eb-924d-9cd76263cbd0,species,hospita,Purpurella,,Krasser,0,1893,,"Nat. Pflanzenfam. 3, Abt. 7: 148 (1893)",,,,,,urn:lsid:ipni.org:names:214501-2,wfo-0000158263,5600614,,
266b5fbe-8fbf-11eb-924d-9cd76263cbd0,species,hygrophila,Purpurella,,Krasser,0,1893,,"Nat. Pflanzenfam. 3, Abt. 7: 148 (1893)",,,,,,urn:lsid:ipni.org:names:214502-2,wfo-0000158264,5600609,,
ba12fe16-8fbf-11eb-924d-9cd76263cbd0,species,itatiaiae,Purpurella,,Wawra,0,1882,,"Oesterr. Bot. Z. 32: 38 (1882)",,Q101100382,,,,urn:lsid:ipni.org:names:575083-1,wfo-0000161708,5600606,,
267607d4-8fbf-11eb-924d-9cd76263cbd0,species,minutiflora,Purpurella,,Krasser,0,1893,,"Nat. Pflanzenfam. 3, Abt. 7: 148 (1893)",,,,,,urn:lsid:ipni.org:names:214503-2,wfo-0000158265,5600603,,
ba1db748-8fbf-11eb-924d-9cd76263cbd0,species,muricata,Purpurella,,Naudin,0,1850,,"Ann. Sci. Nat., Bot. , sér. 3, 13: 301 (1850)",,,Q17621119,,,urn:lsid:ipni.org:names:575085-1,wfo-0000161709,5600601,,
ba28a36a-8fbf-11eb-924d-9cd76263cbd0,species,reticulata,Purpurella,,Naudin,0,1850,,"Ann. Sci. Nat., Bot. , sér. 3, 13: 302 (1850)",,,Q17621119,,,urn:lsid:ipni.org:names:575086-1,wfo-0000161710,5600599,,
