id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e96bc1a4-8fd1-11eb-924d-9cd76263cbd0,genus,Queltia,,,"Salisb. ex Haw.",0,1812,,"Syn. Pl. Succ. 1: 328 (1812)",,,,,,urn:lsid:ipni.org:names:60468941-2,wfo-4000032374,7970631,,
12e58a74-8fcd-11eb-924d-9cd76263cbd0,species,alba,Queltia,,Haw.,0,1819,,"Suppl. Pl. Succ. : 127 (1819)",,,,,,urn:lsid:ipni.org:names:66662-1,wfo-0000732095,2859279,,
12e4f348-8fcd-11eb-924d-9cd76263cbd0,species,ampla,Queltia,,Salisb.,0,1812,,"Trans. Hort. Soc. London 1: 351 (1812)",,,,,,urn:lsid:ipni.org:names:66663-1,wfo-0000732090,2859259,,
12e4d480-8fcd-11eb-924d-9cd76263cbd0,species,apodantha,Queltia,,Kunth,0,1850,,"Enum. Pl. 5: 856 (1850)",,,,,,urn:lsid:ipni.org:names:66664-1,wfo-0000732089,2858929,,
12e4b068-8fcd-11eb-924d-9cd76263cbd0,species,assoana,Queltia,,Kunth,0,1850,,"Enum. Pl. 5: 730 (1850)",,,,,,urn:lsid:ipni.org:names:66665-1,wfo-0000732088,2859234,,
12e47cb0-8fcd-11eb-924d-9cd76263cbd0,species,aurantia,Queltia,,Haw.,0,1819,,"Suppl. Pl. Succ. : 123 (1819)",,,,,,urn:lsid:ipni.org:names:66666-1,wfo-0000732086,2859268,,
12e5a612-8fcd-11eb-924d-9cd76263cbd0,species,bernardi,Queltia,,Fourr.,0,1869,,"Ann. Soc. Linn. Lyon , n.s., 17: 164 (1869)",,,,,,urn:lsid:ipni.org:names:66668-1,wfo-0000732096,2858381,,
12e61516-8fcd-11eb-924d-9cd76263cbd0,species,biternaceus,Queltia,,Salisb.,0,1866,,"Gen. Pl. : 100 (1866)",,,,,,urn:lsid:ipni.org:names:66669-1,wfo-0000732100,2859261,,
12e67d58-8fcd-11eb-924d-9cd76263cbd0,species,capax,Queltia,,Salisb.,0,1812,,"Trans. Hort. Soc. London 1: 353. 1812",,,,,,urn:lsid:ipni.org:names:66670-1,wfo-0000732103,2858534,,
12e699d2-8fcd-11eb-924d-9cd76263cbd0,species,cernua,Queltia,,M.Roem.,0,1847,,"Fam. Nat. Syn. Monogr. 4: 203 (1847)",,,,,,urn:lsid:ipni.org:names:66671-1,wfo-0000732104,2858546,,
12e72834-8fcd-11eb-924d-9cd76263cbd0,species,concolor,Queltia,,Haw.,0,1819,,"Suppl. Pl. Succ. : 126 (1819)",,,,,,urn:lsid:ipni.org:names:66672-1,wfo-0000732109,2859283,,
12e804c0-8fcd-11eb-924d-9cd76263cbd0,species,coornei,Queltia,,M.Roem.,0,1847,,"Fam. Nat. Syn. Monogr. 4: 204 (1847)",,,,028a27de-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:66673-1,wfo-0000732116,2858863,,
12e8e408-8fcd-11eb-924d-9cd76263cbd0,species,coronata,Queltia,,M.Roem.,0,1847,,"Fam. Nat. Syn. Monogr. 4: 203 (1847)",,,,0bdace62-8fb2-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:66674-1,wfo-0000732123,2858387,,
12e97314-8fcd-11eb-924d-9cd76263cbd0,species,foetida,Queltia,,Herb.,0,1837,,"Amaryllidaceae : 311 (1837)",,,,,,urn:lsid:ipni.org:names:66675-1,wfo-0000732128,2859263,,
12edd850-8fcd-11eb-924d-9cd76263cbd0,species,galanthifolia,Queltia,,Haw.,0,1819,,"Suppl. Pl. Succ. 128. 1819 [May 1819]",,,,,,urn:lsid:ipni.org:names:66676-1,wfo-0000732165,2858240,,
12eebd4c-8fcd-11eb-924d-9cd76263cbd0,species,gouanii,Queltia,,"(Roth) Haw.",0,1831,,"Monogr. Narciss. : 5 (1831)",,,,0276b690-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:66677-1,wfo-0000732173,2859269,,
12e44416-8fcd-11eb-924d-9cd76263cbd0,species,incomparabilis,Queltia,,"(Mill.) Haw.",0,1819,,"Suppl. Pl. Succ. : 125 (1819)",,,,02ffbd5a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:66678-1,wfo-0000732084,2859276,,
12f215d2-8fcd-11eb-924d-9cd76263cbd0,species,jonquilla,Queltia,,Herb.,0,1837,,"Amaryllidaceae : 315 (1837)",,,,fea094e6-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:66679-1,wfo-0000732201,2858914,,
12f121c2-8fcd-11eb-924d-9cd76263cbd0,species,juncifolia,Queltia,,Herb.,0,1837,,"Amaryllidaceae : 314 (1837)",,,,,,urn:lsid:ipni.org:names:66680-1,wfo-0000732193,2858936,,
12f06bba-8fcd-11eb-924d-9cd76263cbd0,species,maclayi,Queltia,,M.Roem.,0,1847,,"Fam. Nat. Syn. Monogr. 4: 204 (1847)",,,,,,urn:lsid:ipni.org:names:66681-1,wfo-0000732187,2858395,,
12ef57e8-8fcd-11eb-924d-9cd76263cbd0,species,macleana,Queltia,,Herb.,0,1837,,"Amaryllidaceae : 310 (1837)",,,,,,urn:lsid:ipni.org:names:66682-1,wfo-0000732178,2858388,,
