id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9dcddb3c-9bad-11eb-a8a2-19ed5c03f8d3,genus,Ramariopsis,,,"(Donk) Corner",0,1950,,"Ann. Bot. Mem. 1: 636, 700 (1950)",,,,,,,,,18447," "
64c1c1ec-9bac-11eb-a8a2-19ed5c03f8d3,species,agglutinata,Ramariopsis,,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 122 (1988)",,,,64c1c1ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133985," "
64c1f356-9bac-11eb-a8a2-19ed5c03f8d3,species,alutacea,Ramariopsis,,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 122 (1988)",,,,64c1f356-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133986," "
64c222f4-9bac-11eb-a8a2-19ed5c03f8d3,species,antillarum,Ramariopsis,,"(Pat.) R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 123 (1988)",,,,2482dd28-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133987," "
ffc17912-9bac-11eb-a8a2-19ed5c03f8d3,species,asperulospora,Ramariopsis,,"(G.F. Atk.) Corner",0,1950,,"Ann. Bot. Mem. 1: 638 (1950)",,,,b4ae6f24-9bad-11eb-a8a2-19ed5c03f8d3,,,,,305017," "
ffc1a9fa-9bac-11eb-a8a2-19ed5c03f8d3,species,asterella,Ramariopsis,,"(G.F. Atk.) Corner",0,1950,,"Ann. Bot. Mem. 1: 638 (1950)",,,,f88fabb4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305018," "
0e2398ec-9bac-11eb-a8a2-19ed5c03f8d3,species,aurantio-olivacea,Ramariopsis,,"R.H. Petersen",,1988,,"DSIR Bulletin 236: 123 (1988)",,,,0e2398ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133988," "
0e23c3ee-9bac-11eb-a8a2-19ed5c03f8d3,species,avellanea,Ramariopsis,,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 133 (1988)",,,,0e23c3ee-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133989," "
64c284ec-9bac-11eb-a8a2-19ed5c03f8d3,species,avellaneo-inversa,Ramariopsis,,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 135 (1988)",,,,64c284ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133990," "
64c2b3a4-9bac-11eb-a8a2-19ed5c03f8d3,species,bicolor,Ramariopsis,,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 124 (1988)",,,,64c2b3a4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133991," "
23a9e814-9bad-11eb-a8a2-19ed5c03f8d3,species,biformis,Ramariopsis,,"(G.F. Atk.) R.H. Petersen",,1964,,"Bull. Torrey bot. Club 91(4): 276 (1964)",,,Q13548538,509e5176-9bac-11eb-a8a2-19ed5c03f8d3,,,,,338191," "
14d57d26-9bad-11eb-a8a2-19ed5c03f8d3,species,bizzozeriana,Ramariopsis,,"(Sacc.) Schild",0,1972,,"Z. Pilzk. 38: 26 (1972)",,,,f657e42e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322294," "
23aa1ca8-9bad-11eb-a8a2-19ed5c03f8d3,species,californica,Ramariopsis,,"R.H. Petersen",,1969,,"Mycologia 61: 553 (1969)",,,Q1962302,23aa1ca8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,338192," "
14d5b21e-9bad-11eb-a8a2-19ed5c03f8d3,species,cinnamomea,Ramariopsis,,"(S.G.M. Fawc.) R.H. Petersen",,1978,,"Aust. J. Bot. 26: 426 (1978)",,,,f4c5043a-9bab-11eb-a8a2-19ed5c03f8d3,,,,,322295," "
14d5fdc8-9bad-11eb-a8a2-19ed5c03f8d3,species,cinnamomipes,Ramariopsis,,"R.H. Petersen",,1978,,"Aust. J. Bot. 26: 427 (1978)",,,,14d5fdc8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,322296," "
14d63266-9bad-11eb-a8a2-19ed5c03f8d3,species,citrina,Ramariopsis,,Schild,,1971,,"Fungorum Rariorum Icones Coloratae 5: 25 (1971)",,,,14d63266-9bad-11eb-a8a2-19ed5c03f8d3,,,,,322297," "
ffc1eb36-9bac-11eb-a8a2-19ed5c03f8d3,species,clavuligera,Ramariopsis,,"(R. Heim) Corner",0,1950,,"Ann. Bot. Mem. 1: 638 (1950)",,,,d703ebea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305019," "
14d665ec-9bad-11eb-a8a2-19ed5c03f8d3,species,corniculata,Ramariopsis,,"(Schaeff.) R.H. Petersen",0,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,5be4353c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322298," "
16dcd6ec-9bac-11eb-a8a2-19ed5c03f8d3,variety,corniculata,Ramariopsis,corniculata,"(Schaeff.) R.H. Petersen",0,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,16dcd6ec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,417821," "
2f7b622c-9bac-11eb-a8a2-19ed5c03f8d3,variety,simplex,Ramariopsis,corniculata,"(Donk) R.H. Petersen",0,1980,,"Sydowia 32(1-6): 217 (1980)",,,Q15816855,0d47ce6a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,117831," "
14d6b916-9bad-11eb-a8a2-19ed5c03f8d3,species,costaricensis,Ramariopsis,,"L.D. Gómez",,1972,,"Darwiniana 17: 396 (1972)",,,,14d6b916-9bad-11eb-a8a2-19ed5c03f8d3,,,,,322299," "
6c163c7a-9bac-11eb-a8a2-19ed5c03f8d3,species,cremicolor,Ramariopsis,,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 125 (1988)",,,,6c163c7a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,133992," "
ffc294aa-9bac-11eb-a8a2-19ed5c03f8d3,species,crocea,Ramariopsis,,"(Pers.) Corner",0,1950,,"Monograph of Clavaria and allied Genera (Annals of Botany Memoirs No. 1) 638 (1950)",,,,cd2f0dc0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305020," "
307e9436-9bad-11eb-a8a2-19ed5c03f8d3,form,conspicua,Ramariopsis,crocea,"R.H. Petersen",,1969,,"Mycologia 61: 555 (1969)",,,Q1962302,307e9436-9bad-11eb-a8a2-19ed5c03f8d3,,,,,353800," "
62061790-9bad-11eb-a8a2-19ed5c03f8d3,form,crocea,Ramariopsis,crocea,"(Pers.) Corner",0,1950,,"Monograph of Clavaria and allied Genera (Annals of Botany Memoirs No. 1) 638 (1950)",,,,62061790-9bad-11eb-a8a2-19ed5c03f8d3,,,,,430014," "
ffc3935a-9bac-11eb-a8a2-19ed5c03f8d3,species,curta,Ramariopsis,,"(Fr.) Corner",0,1950,,"Monograph of Clavaria and allied Genera (Annals of Botany Memoirs No. 1) 639 (1950)",,,,cd16a474-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305021," "
279bf04e-9bac-11eb-a8a2-19ed5c03f8d3,species,dealbata,Ramariopsis,,"(Berk.) R.H. Petersen",0,1984,,"Persoonia 12(3): 230 (1984)",,,,7d3f4efc-9bab-11eb-a8a2-19ed5c03f8d3,,,,,106437," "
14d70628-9bad-11eb-a8a2-19ed5c03f8d3,species,depokensis,Ramariopsis,,"(Overeem) R.H. Petersen",,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,d88e3740-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322300," "
7e8d2e44-9bad-11eb-a8a2-19ed5c03f8d3,form,depokensis,Ramariopsis,depokensis,"(Overeem) R.H. Petersen",,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,7e8d2e44-9bad-11eb-a8a2-19ed5c03f8d3,,,,,419162," "
3b0b69c0-9bac-11eb-a8a2-19ed5c03f8d3,form,persicina,Ramariopsis,depokensis,"R.H. Petersen",,1988,,"Bull. N.Z. Dept. Sci. Industr. Res., Pl. Dis. Div. 236: 127 (1988)",,,,3b0b69c0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,134009," "
14d768b6-9bad-11eb-a8a2-19ed5c03f8d3,species,dichotoma,Ramariopsis,,"(Corner) R.H. Petersen",0,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,f0e63e14-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322301," "
23aa6cee-9bad-11eb-a8a2-19ed5c03f8d3,species,flavescens,Ramariopsis,,"R.H. Petersen",,1969,,"Mycologia 61: 554 (1969)",,,Q1962302,23aa6cee-9bad-11eb-a8a2-19ed5c03f8d3,,,,,338193," "
14d7b94c-9bad-11eb-a8a2-19ed5c03f8d3,species,fusiformis,Ramariopsis,,"(Sowerby) R.H. Petersen",0,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,8812a0e4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322302," "
14d7f9b6-9bad-11eb-a8a2-19ed5c03f8d3,species,helvola,Ramariopsis,,"(Pers.) R.H. Petersen",0,1978,,"Mycologia 70(3): 668 (1978)",,,Q1962302,c87c5846-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322303," "
6a3165b0-9bac-11eb-a8a2-19ed5c03f8d3,species,hibernica,Ramariopsis,,Corner,0,1971,,"Bull. natn. Sci. Mus., Tokyo, N.S. 14: 427 (1971)",,,,6a3165b0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,374401," "
14d82b5c-9bad-11eb-a8a2-19ed5c03f8d3,species,holmskioldii,Ramariopsis,,"(Oudem.) R.H. Petersen",0,,,,,,,3050707a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,322304," Ramariopsis holmskjoldii"
