id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e987d15a-8fd1-11eb-924d-9cd76263cbd0,genus,Reicheella,,,Pax,,1900,,"Nat. Pflanzenfam. Nachtr. [Engler & Prantl] 2: 21 (1900).",,,,,,295540-2,wfo-4000032699,3701795,,
d80d9806-8fd1-11eb-924d-9cd76263cbd0,species,andicola,Reicheella,,"(Phil.) Pax",,1900,,"Nat. Pflanzenfam. Nachtr. 2: 21 1900",,,,,,218433-2,wfo-0001291755,3701796,,
4c69d6f2-8fcc-11eb-924d-9cd76263cbd0,species,guianensis,Reichelia,,Spreng.,,1824,,"Syst. Veg. 1: 940 1824",,,,,,432820-1,wfo-0000406126,3612219,,
4c67b87c-8fcc-11eb-924d-9cd76263cbd0,species,montevidensis,Reichelia,,Spreng.,,1824,,"Syst. Veg. 1: 940 1824",,,,,,432821-1,wfo-0000406113,3612213,,
ba3e82b2-8fcd-11eb-924d-9cd76263cbd0,species,palustris,Reichelia,,Blanco,,1837,,"Fl. Filip. 220 1837",,,,,,432823-1,wfo-0001066986,7576640,,
4c6801c4-8fcc-11eb-924d-9cd76263cbd0,species,palustris,Reichelia,,"Billb. ex Beurl.",,1854,,"Kongl. Vetensk. Acad. Handl. 1854: 141 1856",,,,,,432824-1,wfo-0000406115,3612193,,
03508a10-8fcc-11eb-924d-9cd76263cbd0,species,cuniculatus,Reichenbachanthus,,"(Schltr.) Pabst",,1955,,"Rodriguésia 16-17: 138 1955",,Q92437496,,8b5601e6-8fcd-11eb-924d-9cd76263cbd0,,218435-2,wfo-0000295277,2847214,,
0350a7c0-8fcc-11eb-924d-9cd76263cbd0,species,emarginatus,Reichenbachanthus,,Garay,,1967,,"Bot. Mus. Leafl. 21: 255 1967",,Q100425788,,,,218436-2,wfo-0000295278,2847175,,
0350c5a2-8fcc-11eb-924d-9cd76263cbd0,species,lankesteri,Reichenbachanthus,,"(Ames) Mora-Ret. & García Castro",,1992,,"Brenesia 37: 81 1992",,,,,,976623-1,wfo-0000295279,2846996,,
0350e2f8-8fcc-11eb-924d-9cd76263cbd0,species,modestus,Reichenbachanthus,,Barb.Rodr.,,1882,,"Gen. Spec. Orchid. 2: 165 1882",,,,,,655467-1,wfo-0000295280,2847202,,
03511d54-8fcc-11eb-924d-9cd76263cbd0,species,reflexus,Reichenbachanthus,,"(Lindl.) Porto & Brade",,1935,,"Rodriguésia 1(2): 55 1935",,Q92437347,,24a3930a-8fcd-11eb-924d-9cd76263cbd0,,218437-2,wfo-0000295282,2847160,,
03513a14-8fcc-11eb-924d-9cd76263cbd0,species,subulatus,Reichenbachanthus,,"(Schltr.) Dressler",,1997,,"Novon 7: 124 1997",,Q55774663,,,,996185-1,wfo-0000295283,2846997,,
