id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9a5415e-8fd1-11eb-924d-9cd76263cbd0,genus,Rhodolaena,,,Thouars,,"Hist. Vég. Isles Austral. Afriq. 47, pl. 13. 1806.",,,,,7037-1,wfo-4000033033,7264601,
d7399b82-8fcc-11eb-924d-9cd76263cbd0,species,acutifolia,Rhodolaena,,Baker,,"J. Linn. Soc., Bot. 21: 322 1884",,,,,167677-1,wfo-0000627654,3783235,
d72828a2-8fcc-11eb-924d-9cd76263cbd0,species,altivola,Rhodolaena,,Thouars,,"Hist. Vég. Îsles Austral. Afriq. 48 1807",,,,,,wfo-0000627528,3783228,
d72cbe6c-8fcc-11eb-924d-9cd76263cbd0,species,bakeriana,Rhodolaena,,Baill.,,"Bull. Mens. Soc. Linn. Paris 1: 566 1886",,,,,167679-1,wfo-0000627560,3783222,
d7236240-8fcc-11eb-924d-9cd76263cbd0,species,coriacea,Rhodolaena,,"G.E.Schatz & al.",,"Adansonia III, 22: 244 2000",,,,,,wfo-0000627494,3783214,
d72dde1e-8fcc-11eb-924d-9cd76263cbd0,species,echinata,Rhodolaena,,H.Perrier,,"Bull. Soc. Bot. France 78: 61 1931",,,,,167680-1,wfo-0000627570,3783204,
d72f7364-8fcc-11eb-924d-9cd76263cbd0,species,humblotii,Rhodolaena,,Baill.,,"Bull. Mens. Soc. Linn. Paris 1: 566 1886",,,,,167681-1,wfo-0000627581,3783197,
d729d954-8fcc-11eb-924d-9cd76263cbd0,species,leroyana,Rhodolaena,,"G.E.Schatz & al.",,"Adansonia III, 22: 247 2000",,,,,,wfo-0000627539,3783188,
d726d254-8fcc-11eb-924d-9cd76263cbd0,species,macrocarpa,Rhodolaena,,"G.E.Schatz & al.",,"Adansonia III, 22: 248 2000",,,,,,wfo-0000627516,3783180,
d79a7556-8fcc-11eb-924d-9cd76263cbd0,species,parviflora,Rhodolaena,,F.Gérard,,"Ann. Mus. Colon. Marseille III, 7: 83 1919",,,,,,wfo-0000628331,3783165,
d7c8a4f8-8fcc-11eb-924d-9cd76263cbd0,species,rotundifolia,Rhodolaena,,F.Gérard,,"Compt. Rend. Hebd. Séances Acad. Sci. 58: 1704 1914",,,,,,wfo-0000628645,3783150,
