id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e9acc2b2-8fd1-11eb-924d-9cd76263cbd0,genus,Rhynchoglossum,,,Blume,0,1826,,"Bijdr. Fl. Ned. Ind. : 741 (1826)",,,,,,urn:lsid:ipni.org:names:331907-2,wfo-4000033127,6365546,,
4ba2b3ec-8fcc-11eb-924d-9cd76263cbd0,species,ampliatum,Rhynchoglossum,,"(C.B.Clarke) B.L.Burtt",0,1962,,"Notes Roy. Bot. Gard. Edinburgh 24: 168 (1962)",,Q102419000,Q6045581,,,urn:lsid:ipni.org:names:382476-1,wfo-0000405080,3822708,,
4ba314ea-8fcc-11eb-924d-9cd76263cbd0,species,azureum,Rhynchoglossum,,"(Schltdl.) B.L.Burtt",0,1962,,"Notes Roy. Bot. Gard. Edinburgh 24: 168 (1962)",,Q102419000,Q6045581,,,urn:lsid:ipni.org:names:382477-1,wfo-0000405081,3822700,,
4ba36eea-8fcc-11eb-924d-9cd76263cbd0,species,blumei,Rhynchoglossum,,DC.,0,1845,,"Prodr. [A. P. de Candolle] 9: 274. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:382478-1,wfo-0000405082,3822690,,
4ba4b46c-8fcc-11eb-924d-9cd76263cbd0,species,borneense,Rhynchoglossum,,Merr.,0,1929,,"Univ. Calif. Publ. Bot. 15: 269 (1929)",,,,,,urn:lsid:ipni.org:names:382479-1,wfo-0000405091,3822682,,
4ab9bb92-1d4d-11ec-82c2-f14daa6f2d93,species,capsulare,Rhynchoglossum,,"Ohwi ex Karton.",,2012,,"Edinburgh J. Bot. 69: 358 (2012)",,,,,,urn:lsid:ipni.org:names:77120473-1,wfo-0001333415,,,
4ba3d984-8fcc-11eb-924d-9cd76263cbd0,species,gardneri,Rhynchoglossum,,"W.L.Theob. & Grupe",0,1972,,"Ceylon J. Sci., Biol. Sci. 10: 70 (1972)",,,,,,urn:lsid:ipni.org:names:382480-1,wfo-0000405085,3822673,,
b9535dd2-8fcd-11eb-924d-9cd76263cbd0,species,grandiflorum,Rhynchoglossum,,"(Fritsch) B.L.Burtt",0,1962,,"Notes Roy. Bot. Gard. Edinburgh 24: 169 (1962)",,Q102419000,Q6045581,,,urn:lsid:ipni.org:names:382481-1,wfo-0001064866,3822664,,
b96d7faa-8fcd-11eb-924d-9cd76263cbd0,species,hologlossum,Rhynchoglossum,,Hayata,0,1915,,"Icon. Pl. Formosan. 5: 131 (1915)",,,,,,urn:lsid:ipni.org:names:382482-1,wfo-0001065110,3822653,,
4ba3fe32-8fcc-11eb-924d-9cd76263cbd0,species,klugioides,Rhynchoglossum,,C.B.Clarke,0,1883,,"Monogr. Phan. 5: 162 (1883)",,,,,,urn:lsid:ipni.org:names:382483-1,wfo-0000405086,3822644,,
4ba4227c-8fcc-11eb-924d-9cd76263cbd0,species,lazulinum,Rhynchoglossum,,"A.S.Rao & Joseph",0,1968,,"Bull. Bot. Surv. India 9: 280 (1968)",,Q101075700,https://www.wikidata.org/wiki/Q5735536,,,urn:lsid:ipni.org:names:382484-1,wfo-0000405087,3822633,,
4ba44518-8fcc-11eb-924d-9cd76263cbd0,species,medusothrix,Rhynchoglossum,,B.L.Burtt,0,1962,,"Notes Roy. Bot. Gard. Edinburgh 24: 169 (1962)",,Q102419000,Q6045581,,,urn:lsid:ipni.org:names:382485-1,wfo-0000405088,3822627,,
4ba46b88-8fcc-11eb-924d-9cd76263cbd0,species,merrilliae,Rhynchoglossum,,Kraenzl.,0,1913,,"Philipp. J. Sci., C 8: 168 (1913)",,,Q6074313,,,urn:lsid:ipni.org:names:382486-1,wfo-0000405089,3822614,,
514a7cc6-1d4d-11ec-82c2-f14daa6f2d93,species,mirabilis,Rhynchoglossum,,Patthar.,,2014,,"Thai Forest Bull., Bot. 42: 25 (2014)",,,,,,urn:lsid:ipni.org:names:77146257-1,wfo-0001342102,,,
ae13fd6e-8fcd-11eb-924d-9cd76263cbd0,species,notonianum,Rhynchoglossum,,"(Wall.) B.L.Burtt",0,1962,,"Notes Roy. Bot. Gard. Edinburgh 24: 170 (1962)",,,Q6045581,ac4f88c6-8fb5-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:382487-1,wfo-0001039332,3822605,,
4ba3b8c8-8fcc-11eb-924d-9cd76263cbd0,species,obliquum,Rhynchoglossum,,Blume,0,1826,,"Bijdr. Fl. Ned. Ind. : 741 (1826)",,,,,,urn:lsid:ipni.org:names:382489-1,wfo-0000405084,6365559,,
b6e5c31a-8fd1-11eb-924d-9cd76263cbd0,form,albiflorum,Rhynchoglossum,obliquum,Kuntze,0,,,,,,,,,,wfo-0001237217,6070513,,
b6e5e30e-8fd1-11eb-924d-9cd76263cbd0,form,coeruleum,Rhynchoglossum,obliquum,Kuntze,0,,,,,,,,,,wfo-0001237218,6070510,,
b30b582c-8fd1-11eb-924d-9cd76263cbd0,variety,hologlossum,Rhynchoglossum,obliquum,"(Hayata) W.T.Wang",0,1984,,"Bull. Bot. Res., Harbin 4(1): 31 (1984)",,Q96108275,Q55758940,b96d7faa-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:923792-1,wfo-0001230093,3822577,,
07af5be0-1d4d-11ec-82c2-f14daa6f2d93,variety,obliquum,Rhynchoglossum,obliquum,,,,,,,,,,,,wfo-0001230092,,,
b30b1ac4-8fd1-11eb-924d-9cd76263cbd0,variety,parviflorum,Rhynchoglossum,obliquum,C.B.Clarke,0,1883,,"Monogr. Phan. 5: 162 1883",,,,,,,wfo-0001230091,6070511,,
b30a97d4-8fd1-11eb-924d-9cd76263cbd0,species,omeiense,Rhynchoglossum,,W.T.Wang,0,1982,,"Bull. Bot. Res., Harbin 2(2): 148 (1982)",,Q96108334,Q55758940,,,urn:lsid:ipni.org:names:900807-1,wfo-0001230088,3822569,,
4ba0da7c-8fcc-11eb-924d-9cd76263cbd0,species,papuae,Rhynchoglossum,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 299 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:382490-1,wfo-0000405068,3822558,,
4ba0fef8-8fcc-11eb-924d-9cd76263cbd0,species,rheedii,Rhynchoglossum,,A.DC.,0,1845,,"Prodr. 9: 274 (1845)",,,Q2712448,,,urn:lsid:ipni.org:names:382491-1,wfo-0000405069,,,
514aa21e-1d4d-11ec-82c2-f14daa6f2d93,species,saccatum,Rhynchoglossum,,Patthar.,,2014,,"Thai Forest Bull., Bot. 42: 28 (2014)",,,,,,urn:lsid:ipni.org:names:77146258-1,wfo-0001342103,,,
ad98bca4-8fd1-11eb-924d-9cd76263cbd0,species,sasakii,Rhynchoglossum,,Hayata,0,1916,,"Icon. Pl. Formosan. 6: 34 (1916)",,,,,,urn:lsid:ipni.org:names:382492-1,wfo-0001220196,3822541,,
4ba20a96-8fcc-11eb-924d-9cd76263cbd0,species,scabrum,Rhynchoglossum,,Dalzell,0,1850,,"Hooker's J. Bot. Kew Gard. Misc. 2: 140 (1850)",,,,,,urn:lsid:ipni.org:names:382493-1,wfo-0000405076,3822532,,
4ba153e4-8fcc-11eb-924d-9cd76263cbd0,species,spumosum,Rhynchoglossum,,Elmer,0,1908,,"Leafl. Philipp. Bot. 2: 564 (1908)",,,,,,urn:lsid:ipni.org:names:382494-1,wfo-0000405071,3822522,,
b9537aec-8fcd-11eb-924d-9cd76263cbd0,species,violaceum,Rhynchoglossum,,"(Fritsch) B.L.Burtt",0,1962,,"Notes Roy. Bot. Gard. Edinburgh 24: 171 (1962)",,,Q6045581,,,urn:lsid:ipni.org:names:382495-1,wfo-0001064867,3822514,,
b30aea40-8fd1-11eb-924d-9cd76263cbd0,species,zeylanicum,Rhynchoglossum,,Hook.,0,1845,,"Bot. Mag. 71: t. 4198 (1845)",,,Q2269599,,,urn:lsid:ipni.org:names:382496-1,wfo-0001230090,7665212,,
