id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9b4a928-8fd1-11eb-924d-9cd76263cbd0,genus,Richeria,,,Vahl,1797,"Eclog. Amer. 1: 30. 1797.",,,,,15851-1,wfo-4000033238,3075271,
04422fbe-8fcc-11eb-924d-9cd76263cbd0,species,australis,Richeria,,Müll.Arg.,1873,"Fl. Bras. 11(2): 17 1873",,,,,355198-1,wfo-0000296738,3079139,
b2774028-8fcd-11eb-924d-9cd76263cbd0,species,densiflora,Richeria,,A.H.Gentry,,,,,,,,wfo-0001049327,7631327,
04424c2e-8fcc-11eb-924d-9cd76263cbd0,species,dressleri,Richeria,,G.L.Webster,,"Ann. Missouri Bot. Gard. 75: 1094 1988",,,,,284312-2,wfo-0000296739,3079140,
04426844-8fcc-11eb-924d-9cd76263cbd0,species,gardneriana,Richeria,,"(Baill.) Baill. ex Müll.Arg.",1866,"Prodr. 15(2): 468 1866",,,,,355199-1,wfo-0000296740,3079147,
044282ca-8fcc-11eb-924d-9cd76263cbd0,species,grandis,Richeria,,Vahl,1797,"Eclog. Amer. 1: 30 1797",,,,,355200-1,wfo-0000296741,3079144,
04429db4-8fcc-11eb-924d-9cd76263cbd0,variety,divaricata,Richeria,grandis,"(Poepp.) Müll.Arg.",1866,"Prodr. 15(2): 467 1866",,,,,221181-2,wfo-0000296742,3079156,
0442be0c-8fcc-11eb-924d-9cd76263cbd0,variety,gardneriana,Richeria,grandis,"(Baill.) Müll.Arg.",1866,"Prodr. 15(2): 468 1866",,,,,221182-2,wfo-0000296743,3079145,
0442fdea-8fcc-11eb-924d-9cd76263cbd0,variety,latifolia,Richeria,grandis,"Pax & K.Hoffm.",1922,"Pflanzenr. IV, 147, XV: 28 1922",,,,,221184-2,wfo-0000296745,3079146,
04431a50-8fcc-11eb-924d-9cd76263cbd0,variety,laurifolia,Richeria,grandis,"(Baill.) Müll.Arg.",1866,"Prodr. 15(2): 468 1866",,,,,221185-2,wfo-0000296746,3079168,
0443b6a4-8fcc-11eb-924d-9cd76263cbd0,variety,longifolia,Richeria,grandis,"(Baill.) Müll.Arg.",1866,"Prodr. 15(2): 467 1866",,,,,221186-2,wfo-0000296747,3079150,
0443e07a-8fcc-11eb-924d-9cd76263cbd0,variety,obovata,Richeria,grandis,Müll.Arg.,1866,"Prodr. 15(2): 468 1866",,,,,221187-2,wfo-0000296748,3079142,
0443fcae-8fcc-11eb-924d-9cd76263cbd0,variety,pohliana,Richeria,grandis,Müll.Arg.,1873,"Fl. Bras. 11(2): 17 1873",,,,,221188-2,wfo-0000296749,3079149,
04441932-8fcc-11eb-924d-9cd76263cbd0,variety,racemosa,Richeria,grandis,"(Poepp.) Müll.Arg.",1866,"Prodr. 15(2): 467 1866",,,,870b7f80-8fcd-11eb-924d-9cd76263cbd0,221189-2,wfo-0000296750,3079161,
044435fc-8fcc-11eb-924d-9cd76263cbd0,species,laurifolia,Richeria,,"(Baill.) Baill. ex Müll.Arg.",1866,"Prodr. 15(2): 468 1866",,,,,355201-1,wfo-0000296751,3079169,
04445406-8fcc-11eb-924d-9cd76263cbd0,species,longifolia,Richeria,,"(Baill.) Baill. ex Müll.Arg.",1866,"Prodr. 15(2): 467 1866",,,,,355202-1,wfo-0000296752,3079148,
04447468-8fcc-11eb-924d-9cd76263cbd0,species,loranthoides,Richeria,,"(Klotzsch) Müll.Arg.",1866,"Prodr. 15(2): 469 1866",,,,f919ed70-8fcb-11eb-924d-9cd76263cbd0,355203-1,wfo-0000296753,3075161,
044496f0-8fcc-11eb-924d-9cd76263cbd0,species,obovata,Richeria,,"(Müll.Arg.) Pax & K.Hoffm.",1922,"Pflanzenr. IV, 147, XV: 29 1922",,,,f90f9992-8fcb-11eb-924d-9cd76263cbd0,221190-2,wfo-0000296754,3079141,
0444b45a-8fcc-11eb-924d-9cd76263cbd0,species,olivieri,Richeria,,Philcox,1977,"Kew Bull. 32: 224 1977",,,,,221191-2,wfo-0000296755,3079157,
0444f29e-8fcc-11eb-924d-9cd76263cbd0,species,purpurascens,Richeria,,"(Wedd. ex Baill.) Baill. ex Müll.Arg.",1866,"Prodr. 15(2): 467 1866",,,,8fb18f80-8fcd-11eb-924d-9cd76263cbd0,355206-1,wfo-0000296757,3079166,
0445113e-8fcc-11eb-924d-9cd76263cbd0,species,racemosa,Richeria,,"(Poepp.) Pax & K.Hoffm.",1922,"Pflanzenr. IV, 147, XV: 28 1922",,,,870b7f80-8fcd-11eb-924d-9cd76263cbd0,221192-2,wfo-0000296758,3079162,
04452be2-8fcc-11eb-924d-9cd76263cbd0,species,spruceana,Richeria,,"(Baill.) Baill. ex Müll.Arg.",1866,"Prodr. 15(2): 468 1866",,,,,355208-1,wfo-0000296759,3079171,
04454582-8fcc-11eb-924d-9cd76263cbd0,species,submembranacea,Richeria,,Steyerm.,1938,"Publ. Field Mus. Nat. Hist., Bot. Ser. 17: 419 1938",,,,,221193-2,wfo-0000296760,3079158,
04456792-8fcc-11eb-924d-9cd76263cbd0,species,tomentosa,Richeria,,Huft,,"Ann. Missouri Bot. Gard. 76: 1078 1989",,,,,284313-2,wfo-0000296761,3079143,
04458966-8fcc-11eb-924d-9cd76263cbd0,species,gracilis,Richeriella,,"(Merr.) Pax & K.Hoffm.",1922,"Pflanzenr. IV, 147, XV: 30 1922",,,,08ffa16c-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000296762,3079373,
0445aaa4-8fcc-11eb-924d-9cd76263cbd0,species,malayana,Richeriella,,Hend.,1933,"Gard. Bull. Straits Settlem. 7: 122 1933",,,,,,wfo-0000296763,3079372,
04466070-8fcc-11eb-924d-9cd76263cbd0,variety,macrocarpa,Richeriella,malayana,"Airy Shaw",1971,"Kew Bull. 25: 490 1971",,,,,880716-1,wfo-0000296764,3079375,
