id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9ba27ea-8fd1-11eb-924d-9cd76263cbd0,genus,Riocreuxia,,,Decne.,,"Prodr. 8: 640. 1844.",,,,,3659-1,wfo-4000033302,7150486,
cab7d2b0-8fcd-11eb-924d-9cd76263cbd0,species,aberrans,Riocreuxia,,R.A.Dyer,,"Bothalia 8: 274 1937",,,,,,wfo-0001103601,3572590,
cb30a1d6-8fcd-11eb-924d-9cd76263cbd0,species,alexandrina,Riocreuxia,,"(Huber) R.A.Dyer",,"Bothalia 13(3–4): 436 1981",,,,,909649-1,wfo-0001104682,3572582,
cab7ef02-8fcd-11eb-924d-9cd76263cbd0,species,bolusii,Riocreuxia,,N.E.Br.,,"Fl. Cap. 4(1): 802 1908",,,,,100851-1,wfo-0001103602,3572576,
4971ebba-8fcc-11eb-924d-9cd76263cbd0,species,bubalina,Riocreuxia,,Elliot,,"Fl. Andhirica 59 1859",,,,,928080-1,wfo-0000402209,3572558,
ca6691de-8fcd-11eb-924d-9cd76263cbd0,species,burchellii,Riocreuxia,,K.Schum.,,"Nat. Pflanzenfam. 4(2): 273 1895",,,,,100852-1,wfo-0001102886,3572553,
cb277534-8fcd-11eb-924d-9cd76263cbd0,species,chrysochroma,Riocreuxia,,"(H.Huber) Radcl.-Sm.",,"Kew Bull. 21: 298 1967",,,,,100853-1,wfo-0001104598,3572547,
49769afc-8fcc-11eb-924d-9cd76263cbd0,species,flanaganii,Riocreuxia,,Schltr.,,"Bot. Jahrb. Syst. 18(45): 13 1894",,,,,100854-1,wfo-0000402217,7311829,
cab80bea-8fcd-11eb-924d-9cd76263cbd0,subspecies,alexandrina,Riocreuxia,flanaganii,"(Huber) R.A.Dyer",,"Bothalia 12(4): 632 1979",,,,,874600-1,wfo-0001103603,3572532,
497307c0-8fcc-11eb-924d-9cd76263cbd0,subspecies,woodii,Riocreuxia,flanaganii,"(N.E.Br.) R.A.Dyer",,"Bothalia 12: 632 1979",,,,,874602-1,wfo-0000402211,3572518,
49749b08-8fcc-11eb-924d-9cd76263cbd0,species,longiflora,Riocreuxia,,K.Schum.,,"Bot. Jahrb. Syst. 28: 459 1900",,,,,100855-1,wfo-0000402212,3572509,
49759418-8fcc-11eb-924d-9cd76263cbd0,species,nepalensis,Riocreuxia,,Radcl.-Sm.,,"Kew Bull. 21: 296 1967",,,,,100856-1,wfo-0000402213,3572502,
ca66af7a-8fcd-11eb-924d-9cd76263cbd0,species,picta,Riocreuxia,,Schltr.,,"Bot. Jahrb. Syst. 18(Beibl. 45): 24 1894",,,,,100857-1,wfo-0001102887,3572492,
4975e1f2-8fcc-11eb-924d-9cd76263cbd0,species,polyantha,Riocreuxia,,Schltr.,,"J. Bot. 33: 273 1895",,,,,100858-1,wfo-0000402214,3572483,
497ba72c-8fcc-11eb-924d-9cd76263cbd0,species,profusa,Riocreuxia,,N.E.Br.,,"Bull. Misc. Inform. Kew 1895: 260 1895",,,,,100859-1,wfo-0000402236,3572474,
ca914e1a-8fcd-11eb-924d-9cd76263cbd0,species,splendida,Riocreuxia,,K.Schum.,,"Bot. Jahrb. Syst. 28: 460 1901",,,,,,wfo-0001103258,3572466,
ca2fc6f4-8fcd-11eb-924d-9cd76263cbd0,species,torulosa,Riocreuxia,,Decne.,,"Prodr. 8: 640 1844",,,,,100861-1,wfo-0001102412,7150487,
cab89bd2-8fcd-11eb-924d-9cd76263cbd0,variety,longidens,Riocreuxia,torulosa,N.E.Br.,,,,,,,,wfo-0001103609,7583577,
cab8bd60-8fcd-11eb-924d-9cd76263cbd0,variety,obsoleta,Riocreuxia,torulosa,N.E.Br.,,,,,,,,wfo-0001103610,7917324,
cab8dbf6-8fcd-11eb-924d-9cd76263cbd0,variety,tomentosa,Riocreuxia,torulosa,N.E.Br.,,,,,,,,wfo-0001103611,8418619,
497d2548-8fcc-11eb-924d-9cd76263cbd0,species,woodii,Riocreuxia,,N.E.Br.,,"Fl .Cap. 4(1): 803 1908",,,,,100862-1,wfo-0000402246,3572442,
