id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e9c4fe72-8fd1-11eb-924d-9cd76263cbd0,genus,Rondeletia,,,L.,0,1753,,"Sp. Pl. : 172 (1753)",,,,,,urn:lsid:ipni.org:names:329798-2,wfo-4000033454,2897144,,
73c75b10-8fcd-11eb-924d-9cd76263cbd0,species,aculeolata,Rondeletia,,"(Alain) Borhidi",0,2010,,"Acta Bot. Hung. 52: 248 (2010)",,Q55763073,,10eca3d4-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77107648-1,wfo-0000918778,6288824,,
04be8d34-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Rondeletia,,"(Derst. ex Standl.) Lorence & Cast.-Campos",0,1988,,"Biótica 13: 147 (1988)",,,,0da6c768-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:946411-1,wfo-0000297576,5335985,,
04beace2-8fcc-11eb-924d-9cd76263cbd0,species,acunae,Rondeletia,,"Borhidi & M.Fernández",0,1985,,"Acta Bot. Hung. 31: 147 (1985)",,,,,,urn:lsid:ipni.org:names:284358-2,wfo-0000297577,5335993,,
04beff8a-8fcc-11eb-924d-9cd76263cbd0,species,adamsii,Rondeletia,,Proctor,0,1967,,"Bull. Inst. Jamaica, Sci. Ser. 16: 53 (1967)",,,,,,urn:lsid:ipni.org:names:221852-2,wfo-0000297580,5335957,,
04bf1a4c-8fcc-11eb-924d-9cd76263cbd0,species,aetheocalymna,Rondeletia,,Donn.Sm.,0,1906,,"Bot. Gaz. 42: 298 (1906)",,Q55808807,Q894627,,,urn:lsid:ipni.org:names:221853-2,wfo-0000297581,5335941,,
04bf36c6-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Rondeletia,,Hemsl.,0,1879,,"Diagn. Pl. Nov. Mexic. : 28 (1879)",,,,,,urn:lsid:ipni.org:names:764739-1,wfo-0000297582,5336121,,
04bf5138-8fcc-11eb-924d-9cd76263cbd0,species,africana,Rondeletia,,T.Winterb.,,1803,,"Account Sierra Leone 2: 46 (1803)",,,,,,urn:lsid:ipni.org:names:764740-1,wfo-0000297583,5336332,,
73c7ec4c-8fcd-11eb-924d-9cd76263cbd0,species,alainii,Rondeletia,,Borhidi,0,2010,,"Acta Bot. Hung. 52: 248 (2010)",,Q55763073,,,,urn:lsid:ipni.org:names:77107649-1,wfo-0000918783,6288822,,
04bf6da8-8fcc-11eb-924d-9cd76263cbd0,species,alaternoides,Rondeletia,,A.Rich.,0,1850,,"Hist. Fis. Cuba, Bot. 11: 13 (1850)",,,,,,urn:lsid:ipni.org:names:306298-2,wfo-0000297584,5335885,,
7d37d892-1d48-11ec-82c2-f14daa6f2d93,subspecies,alaternoides,Rondeletia,alaternoides,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77169877-1,wfo-0000297585,,,
04bfa390-8fcc-11eb-924d-9cd76263cbd0,subspecies,myrtacea,Rondeletia,alaternoides,"(Standl.) Fernandez & Borhidi",0,1992,,"Acta Bot. Hung. 37: 85 (1992)",,,,04e5d272-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:977156-1,wfo-0000297586,5335887,,
04bfc726-8fcc-11eb-924d-9cd76263cbd0,species,albida,Rondeletia,,Lundell,0,1976,,"Wrightia 5(8): 323. 1976",,,,,,urn:lsid:ipni.org:names:221854-2,wfo-0000297587,5335975,,
bbcaf792-8fd1-11eb-924d-9cd76263cbd0,species,alophylla,Rondeletia,,Standl.,0,1923,,"Bull. Torrey Bot. Club 50: 48 1923",,,Q13548538,,,,wfo-0001246220,8233496,,
04c06a78-8fcc-11eb-924d-9cd76263cbd0,species,americana,Rondeletia,,L.,0,1753,,"Sp. Pl. : 172 (1753)",,,,,,urn:lsid:ipni.org:names:764743-1,wfo-0000297588,5335807,,
04c0aede-8fcc-11eb-924d-9cd76263cbd0,species,amoena,Rondeletia,,Hemsl.,0,1879,,"Diagn. Pl. Nov. Mexic. : 26 (1879)",,,,,,urn:lsid:ipni.org:names:764744-1,wfo-0000297590,5336130,,
04c0cf90-8fcc-11eb-924d-9cd76263cbd0,species,amplexicaulis,Rondeletia,,Urb.,0,1908,,"Symb. Antill. 5: 502 (1908)",,,,,,urn:lsid:ipni.org:names:221856-2,wfo-0000297591,5336113,,
d7b104d2-8fcd-11eb-924d-9cd76263cbd0,species,andrieuxii,Rondeletia,,Baill.,0,,,,,,,,,,wfo-0001132177,7487170,,
04c0ed04-8fcc-11eb-924d-9cd76263cbd0,species,anguillensis,Rondeletia,,"R.A.Howard & E.A.Kellogg",0,1987,,"J. Arnold Arbor. 68: 127 (1987)",,,,,,urn:lsid:ipni.org:names:284359-2,wfo-0000297592,5336101,,
04c10a1e-8fcc-11eb-924d-9cd76263cbd0,species,angustata,Rondeletia,,"(C.Wright ex Griseb.) C.Wright",0,1869,,"Anales Acad. Ci. Méd. Habana 6: 122 (1869)",,,,,,urn:lsid:ipni.org:names:764746-1,wfo-0000297593,8656720,,
bba1ebe0-8fd1-11eb-924d-9cd76263cbd0,species,angustata,Rondeletia,,C.Wright,0,1869,,"Anales Acad. Ci. Méd. Habana 6: 122 (1869)",,,,,,urn:lsid:ipni.org:names:764746-1,wfo-0001245939,8427558,,
04c12404-8fcc-11eb-924d-9cd76263cbd0,species,anomala,Rondeletia,,Veitch,0,1856,,"Cat. New Beautiful Pl. : 10 (1856)",,,,,,urn:lsid:ipni.org:names:764747-1,wfo-0000297594,5336079,,
04c14146-8fcc-11eb-924d-9cd76263cbd0,species,apiculata,Rondeletia,,Urb.,0,1923,,"Symb. Antill. 9: 154 (1923)",,,,,,urn:lsid:ipni.org:names:221857-2,wfo-0000297595,5336064,,
70ab5d0a-8fcd-11eb-924d-9cd76263cbd0,variety,norlindii,Rondeletia,apiculata,"(Urb.) Borhidi",0,2009,,"Acta Bot. Hung. 51: 279 (2009)",,Q55763068,,,,urn:lsid:ipni.org:names:77102009-1,wfo-0000914393,5938101,,
04c1607c-8fcc-11eb-924d-9cd76263cbd0,species,appendiculata,Rondeletia,,"Wall. ex Cowan",0,1932,,"Notes Roy. Bot. Gard. Edinburgh 16: 255 (1932)",,Q102419259,,,,urn:lsid:ipni.org:names:764749-1,wfo-0000297596,5338738,,
04c17ae4-8fcc-11eb-924d-9cd76263cbd0,species,aprica,Rondeletia,,Lundell,0,1942,,"Contr. Univ. Michigan Herb. 7: 54 (1942)",,,,,,urn:lsid:ipni.org:names:284360-2,wfo-0000297597,5335914,,
04c195f6-8fcc-11eb-924d-9cd76263cbd0,species,arborescens,Rondeletia,,Griseb.,0,1861,,"Fl. Brit. W. I. : 327 (1861)",,,,,,urn:lsid:ipni.org:names:764751-1,wfo-0000297598,5335930,,
04c1b298-8fcc-11eb-924d-9cd76263cbd0,species,areolata,Rondeletia,,Urb.,0,1926,,"Ark. Bot. 20A(5): 53 (1926)",,,,,,urn:lsid:ipni.org:names:221859-2,wfo-0000297599,5335999,,
04c1e8a8-8fcc-11eb-924d-9cd76263cbd0,species,arida,Rondeletia,,"Borhidi & M.Fernández",0,1987,,"Acta Bot. Hung. 33: 105 (1987)",,,,,,urn:lsid:ipni.org:names:284361-2,wfo-0000297601,5335979,,
04c20662-8fcc-11eb-924d-9cd76263cbd0,species,aristeguietae,Rondeletia,,Steyerm.,0,1967,,"Mem. New York Bot. Gard. 17: 246 (1967)",,,,,,urn:lsid:ipni.org:names:221860-2,wfo-0000297602,5335964,,
bbcad046-8fd1-11eb-924d-9cd76263cbd0,species,arkla,Rondeletia,,"Borhidi & M.Fernández Zeq.",0,1987,,"Acta Bot. Hung. 33: 105 1987",,,,,,,wfo-0001246219,7991464,,
04c227a0-8fcc-11eb-924d-9cd76263cbd0,species,asiatica,Rondeletia,,L.,0,1753,,"Sp. Pl. : 172 (1753)",,,,,,urn:lsid:ipni.org:names:764754-1,wfo-0000297603,5335585,,
04c2444c-8fcc-11eb-924d-9cd76263cbd0,species,aspera,Rondeletia,,Standl.,0,1918,,"N. Amer. Fl. 32: 54 (1918)",,,,,,urn:lsid:ipni.org:names:221861-2,wfo-0000297604,5335936,,
04c2e06e-8fcc-11eb-924d-9cd76263cbd0,species,atravesadensis,Rondeletia,,Lorence,0,1991,,"Novon 1: 137 (1991)",,Q55773487,,,,urn:lsid:ipni.org:names:305465-2,wfo-0000297605,5335910,,
04c31688-8fcc-11eb-924d-9cd76263cbd0,species,aurantiaca,Rondeletia,,"Urb. & Ekman",0,1931,,"Ark. Bot. 24A(4): 38 (1932)",,,,,,urn:lsid:ipni.org:names:221862-2,wfo-0000297606,5335881,,
04c3374e-8fcc-11eb-924d-9cd76263cbd0,species,avenia,Rondeletia,,C.Wright,0,1869,,"Anales Acad. Ci. Méd. Habana 6: 121 (1869)",,,,,,urn:lsid:ipni.org:names:764759-1,wfo-0000297607,5335823,,
04c3535a-8fcc-11eb-924d-9cd76263cbd0,species,azulensis,Rondeletia,,Urb.,0,1923,,"Symb. Antill. 9: 155 (1923)",,,,,,urn:lsid:ipni.org:names:221864-2,wfo-0000297608,5335844,,
04c36e80-8fcc-11eb-924d-9cd76263cbd0,species,backhousii,Rondeletia,,Hook.f.,0,1877,,"Bot. Mag. 103: t. 6290 (1877)",,,Q2269599,,,urn:lsid:ipni.org:names:1068424-2,wfo-0000297609,5335827,,
04c3c7fe-8fcc-11eb-924d-9cd76263cbd0,species,baracoensis,Rondeletia,,Britton,0,1917,,"Bull. Torrey Bot. Club 44: 27 (1917)",,Q55767033,Q13548538,,,urn:lsid:ipni.org:names:221865-2,wfo-0000297611,5336159,,
04c3e84c-8fcc-11eb-924d-9cd76263cbd0,species,barahonensis,Rondeletia,,Urb.,0,1924,,"Repert. Spec. Nov. Regni Veg. 20: 350 (1924)",,Q55753372,,,,urn:lsid:ipni.org:names:221866-2,wfo-0000297612,5336145,,
04c40598-8fcc-11eb-924d-9cd76263cbd0,species,belizensis,Rondeletia,,Standl.,0,1935,,"Publ. Carnegie Inst. Wash. 461: 91 (1935)",,,,,,urn:lsid:ipni.org:names:221867-2,wfo-0000297613,5336125,,
04c42168-8fcc-11eb-924d-9cd76263cbd0,variety,longiloba,Rondeletia,belizensis,Lundell,0,1976,,"Wrightia 5(8): 323. 1976",,,,,,urn:lsid:ipni.org:names:221868-2,wfo-0000297614,5336126,,
04c43c98-8fcc-11eb-924d-9cd76263cbd0,species,berteroana,Rondeletia,,DC.,0,1830,,"Prodr. 4: 409 (1830)",,,Q2712448,,,urn:lsid:ipni.org:names:764766-1,wfo-0000297615,5336075,,
04c45a20-8fcc-11eb-924d-9cd76263cbd0,species,bertieroides,Rondeletia,,Standl.,0,1929,,"Publ. Field Columb. Mus., Bot. Ser. 4: 267 (1929)",,,,,,urn:lsid:ipni.org:names:221869-2,wfo-0000297616,5336055,,
04c4747e-8fcc-11eb-924d-9cd76263cbd0,species,bicolor,Rondeletia,,Britton,0,1917,,"Bull. Torrey Bot. Club 44: 30 (1917)",,Q55767033,Q13548538,,,urn:lsid:ipni.org:names:221870-2,wfo-0000297617,2897499,,
04c4915c-8fcc-11eb-924d-9cd76263cbd0,species,biflora,Rondeletia,,Rottb.,0,1798,,"Descr. Rar. Pl. Surin. : 7 (1776)",,,,1ab05a00-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:221855-2,wfo-0000297618,5336684,,
04c4adcc-8fcc-11eb-924d-9cd76263cbd0,species,bissei,Rondeletia,,"Borhidi & M.Fernández",0,1987,,"Acta Bot. Hung. 33(1–2): 107. 1987",,,,,,urn:lsid:ipni.org:names:933186-1,wfo-0000297619,5336018,,
04c4e9d6-8fcc-11eb-924d-9cd76263cbd0,species,bourgaei,Rondeletia,,Standl.,0,1918,,"N. Amer. Fl. 32: 56 (1918)",,,,,,urn:lsid:ipni.org:names:221871-2,wfo-0000297621,5335995,,
04c58c60-8fcc-11eb-924d-9cd76263cbd0,species,brachistantha,Rondeletia,,"Standl. & Steyerm.",0,1943,,"Publ. Field Columb. Mus., Bot. Ser. 23: 25 (1943)",,,,,,urn:lsid:ipni.org:names:284363-2,wfo-0000297622,5335913,,
04c5adbc-8fcc-11eb-924d-9cd76263cbd0,species,brachyantha,Rondeletia,,Urb.,0,1926,,"Ark. Bot. 20A(5): 52 (1926)",,,,,,urn:lsid:ipni.org:names:221873-2,wfo-0000297623,5335976,,
04c5c9aa-8fcc-11eb-924d-9cd76263cbd0,species,brachycarpa,Rondeletia,,C.Wright,0,1869,,"Anales Acad. Ci. Méd. Habana 6: 122 (1869)",,,,8b0e3686-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:764774-1,wfo-0000297624,5335188,,
04c5e6e2-8fcc-11eb-924d-9cd76263cbd0,species,brachyphylla,Rondeletia,,"Proctor ex C.D.Adams",0,1971,,"Phytologia 21: 70 (1971)",,,,,,urn:lsid:ipni.org:names:221874-2,wfo-0000297625,5335934,,
04c6041a-8fcc-11eb-924d-9cd76263cbd0,species,bracteosa,Rondeletia,,"Borhidi & M.Fernández",0,1987,,"Acta Bot. Hung. 33: 109 (1987)",,,,,,urn:lsid:ipni.org:names:284364-2,wfo-0000297626,5335907,,
04c6212a-8fcc-11eb-924d-9cd76263cbd0,species,brandegeeana,Rondeletia,,Lorence,0,1991,,"Novon 1: 138 (1991)",,Q55773487,,,,urn:lsid:ipni.org:names:961707-1,wfo-0000297627,5335603,,
04c6463c-8fcc-11eb-924d-9cd76263cbd0,species,brauseana,Rondeletia,,Urb.,0,1912,,"Symb. Antill. 7: 395 (1912)",,,,,,urn:lsid:ipni.org:names:221875-2,wfo-0000297628,5335871,,
04c66540-8fcc-11eb-924d-9cd76263cbd0,species,breedlovei,Rondeletia,,Lorence,0,1994,,"Novon 4: 129 (1994)",,Q55773782,,,,urn:lsid:ipni.org:names:300506-2,wfo-0000297629,5335863,,
04c6832c-8fcc-11eb-924d-9cd76263cbd0,species,brenesii,Rondeletia,,Standl.,0,1938,,"Publ. Field Columb. Mus., Bot. Ser. 18: 1370 (1938)",,,,,,urn:lsid:ipni.org:names:284365-2,wfo-0000297630,5335855,,
04c6b86a-8fcc-11eb-924d-9cd76263cbd0,species,brevipes,Rondeletia,,Benth.,0,1845,,"Pl. Hartw. : 191 (1845)",,,,,,urn:lsid:ipni.org:names:764778-1,wfo-0000297632,5335849,,
04c6d4f8-8fcc-11eb-924d-9cd76263cbd0,species,brigandina,Rondeletia,,"Urb. & Ekman",0,1927,,"Ark. Bot. 21A(5): 68 (1927)",,,,,,urn:lsid:ipni.org:names:221877-2,wfo-0000297633,5335814,,
73c24d5a-8fcd-11eb-924d-9cd76263cbd0,species,brilliantissima,Rondeletia,,Hend.,0,1871,,"Nursery Cat. (Henderson) 146: 65 (1871)",,,,,,urn:lsid:ipni.org:names:77108189-1,wfo-0000918744,6288994,,
04c6efb0-8fcc-11eb-924d-9cd76263cbd0,species,budda,Rondeletia,,"Buch.-Ham. ex D.Don",0,1825,,"Prodr. Fl. Nepal. : 138 (1825)",,,Q2712448,,,urn:lsid:ipni.org:names:764780-1,wfo-0000297634,5338611,,
04c70c0c-8fcc-11eb-924d-9cd76263cbd0,species,buddleioides,Rondeletia,,Benth.,0,1840,,"Pl. Hartw. : 69 (1840)",,,,,,urn:lsid:ipni.org:names:764781-1,wfo-0000297635,5336119,,
04c728d6-8fcc-11eb-924d-9cd76263cbd0,variety,aspera,Rondeletia,buddleioides,J.H.Kirkbr.,0,1929,,"Ann. Missouri Bot. Gard. 55: 379 (1929)",,Q55808965,Q2530335,,,urn:lsid:ipni.org:names:284366-2,wfo-0000297636,5336123,,
04c746f4-8fcc-11eb-924d-9cd76263cbd0,species,buxifolia,Rondeletia,,Vahl,0,1798,,"Eclog. Amer. 2: 11 (1798)",,,,,,urn:lsid:ipni.org:names:764782-1,wfo-0000297637,5336097,,
04c76436-8fcc-11eb-924d-9cd76263cbd0,species,byrsophylla,Rondeletia,,Spreng.,0,1827,,"Syst. Veg. 4(2): 74 (1827)",,,,,,urn:lsid:ipni.org:names:764783-1,wfo-0000297638,5338612,,
04c78740-8fcc-11eb-924d-9cd76263cbd0,species,cacuminis,Rondeletia,,"Urb. & Ekman",0,1927,,"Ark. Bot. 21A(5): 67 (1927)",,,,,,urn:lsid:ipni.org:names:221879-2,wfo-0000297639,5336070,,
04c82a7e-8fcc-11eb-924d-9cd76263cbd0,species,calcicola,Rondeletia,,Britton,0,1916,,"Bull. Torrey Bot. Club 43: 467 (1916)",,Q55767038,Q13548538,,,urn:lsid:ipni.org:names:221880-2,wfo-0000297640,5335182,,
04c84bb2-8fcc-11eb-924d-9cd76263cbd0,species,calophylla,Rondeletia,,Standl.,0,1923,,"Bull. Torrey Bot. Club 50: 48 (1923)",,Q55767155,Q13548538,,,urn:lsid:ipni.org:names:221881-2,wfo-0000297641,5336043,,
04c88528-8fcc-11eb-924d-9cd76263cbd0,species,calycosa,Rondeletia,,Donn.Sm.,0,1913,,"Bot. Gaz. 56: 59 (1913)",,Q55758649,Q894627,,,urn:lsid:ipni.org:names:221882-2,wfo-0000297643,5336006,,
04c8a24c-8fcc-11eb-924d-9cd76263cbd0,species,camagueyensis,Rondeletia,,Britton,0,1917,,"Bull. Torrey Bot. Club 44: 30 (1917)",,Q55767033,Q13548538,,,urn:lsid:ipni.org:names:221883-2,wfo-0000297644,5335185,,
04c8bea8-8fcc-11eb-924d-9cd76263cbd0,species,camarioca,Rondeletia,,C.Wright,0,1869,,"Anales Acad. Ci. Med. Habana 6: 102. 1869 [15 Sep 1869]",,,,,,urn:lsid:ipni.org:names:764795-1,wfo-0000297645,5335970,,
70ab8212-8fcd-11eb-924d-9cd76263cbd0,subspecies,gamboana,Rondeletia,camarioca,"(Urb.) Borhidi",0,2009,,"Acta Bot. Hung. 51: 280 (2009)",,Q55763068,,,,urn:lsid:ipni.org:names:77102010-1,wfo-0000914394,5938098,,
04c8e27a-8fcc-11eb-924d-9cd76263cbd0,species,canellifolia,Rondeletia,,Britton,0,1917,,"Bull. Torrey Bot. Club 44: 24 (1917)",,Q55767033,Q13548538,,,urn:lsid:ipni.org:names:221884-2,wfo-0000297646,5335172,,
