id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e9c99dec-8fd1-11eb-924d-9cd76263cbd0,genus,Rosularia,,,Stapf,0,1923,,"Bot. Mag. 149: t. 8985 (1923)",,,Q2269599,,,urn:lsid:ipni.org:names:12234-1,wfo-4000033514,7334100,,
dc7c87bc-8fd1-11eb-924d-9cd76263cbd0,species,adenotricha,Rosularia,,"(Wall. ex Edgew.) C.-A.Jansson",0,1970,,"Fl. Iranica 72: 29 (1970)",,,,,,urn:lsid:ipni.org:names:274928-1,wfo-0001299850,7334173,,
3b9d99f8-1d4d-11ec-82c2-f14daa6f2d93,subspecies,adenotricha,Rosularia,adenotricha,,,,,,,,,,,,wfo-0001299863,,,
5e046f80-1d4d-11ec-82c2-f14daa6f2d93,subspecies,chitralica,Rosularia,adenotricha,G.R.Sarwar,,2002,,"Fl. Pakistan 209: 58 (2002)",,,,,,urn:lsid:ipni.org:names:20010559-1,wfo-0001359596,,,
dcdf037e-8fd1-11eb-924d-9cd76263cbd0,subspecies,linearifolia,Rosularia,adenotricha,C.-A.Jansson,0,1970,,"Fl. Iranica 72: 30, t. 8 1970",,,,,,urn:lsid:ipni.org:names:50958139-1,wfo-0001300512,7857156,,
dc7ca8aa-8fd1-11eb-924d-9cd76263cbd0,subspecies,viguieri,Rosularia,adenotricha,"(Raym.-Hamet) C.-A.Jansson",0,1970,,"Fl. Iranica 72: 30 1970",,,,dcd325ae-8fd1-11eb-924d-9cd76263cbd0,,,wfo-0001299851,8301111,,
dc7bdff6-8fd1-11eb-924d-9cd76263cbd0,species,aizoon,Rosularia,,A.Berger,0,1930,,"Nat. Pflanzenfam. ed. 2 , 18a: 466 (1930)",,,,dc8b536e-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:274929-1,wfo-0001299845,4198808,,
472ce684-8fcc-11eb-924d-9cd76263cbd0,species,alpestris,Rosularia,,"(Kar. & Kir.) Boriss.",0,1939,,"Fl. URSS 9: 129 (1939)",,,,,,urn:lsid:ipni.org:names:274930-1,wfo-0000399365,7334169,,
3b9d7112-1d4d-11ec-82c2-f14daa6f2d93,subspecies,alpestris,Rosularia,alpestris,"(Kar. & Kir.)",,,,,,,,,,,wfo-0001299862,,,
dcd69fa4-8fd1-11eb-924d-9cd76263cbd0,subspecies,marnieri,Rosularia,alpestris,"(Raym.-Hamet ex H.Ohba) Eggli",0,1988,,"Bradleya 6(Suppl.): 47 (1988)",,,,dcd605d0-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:954826-1,wfo-0001300450,4198794,,
6fb9581c-1d4d-11ec-82c2-f14daa6f2d93,variety,vvedenskyi,Rosularia,alpestris,"(U.P.Pratov) Lazkov",,2010,,"Bot. Zhurn. (Moscow & Leningrad) 95: 886 (2010)",,,Q2504738,,,urn:lsid:ipni.org:names:77107420-1,wfo-0001383761,,,
dc7cf38c-8fd1-11eb-924d-9cd76263cbd0,species,blepharophylla,Rosularia,,Eggli,0,1987,,"Kakteen And. Sukk. 38: 134 (1987)",,,,,,urn:lsid:ipni.org:names:931514-1,wfo-0001299853,4198787,,
524f91a6-1d4d-11ec-82c2-f14daa6f2d93,species,bonorum-hominum,Rosularia,,Niederle,,2015,,"Skalnickáruv rok 72: 43 (2015)",,,,,,urn:lsid:ipni.org:names:77149713-1,wfo-0001343521,,,
472d0830-8fcc-11eb-924d-9cd76263cbd0,species,borissovae,Rosularia,,Pratov,0,1974,,"Opred. Rast. Sred. Azii 4: 246 (1974)",,,,,,urn:lsid:ipni.org:names:274931-1,wfo-0000399366,4198780,,
dc7bfebe-8fd1-11eb-924d-9cd76263cbd0,species,chrysantha,Rosularia,,"(Boiss. & Heldr.) Takht.",0,1953,,"Izv. Akad. Nauk Armyansk. S.S.R., Biol. Nauki 6(5): 67 (1953)",,,,,,urn:lsid:ipni.org:names:274932-1,wfo-0001299846,4198770,,
dcdcb970-8fd1-11eb-924d-9cd76263cbd0,species,cypria,Rosularia,,"(Holmboe) Meikle",0,1977,,"Fl. Cyprus 1: 807 (1977)",,,,,,urn:lsid:ipni.org:names:274933-1,wfo-0001300497,4198761,,
dcd6e13a-8fd1-11eb-924d-9cd76263cbd0,species,davisii,Rosularia,,Muirhead,0,1972,,"Notes Roy. Bot. Gard. Edinburgh 31: 393 (1972)",,Q102418723,Q6045581,,,urn:lsid:ipni.org:names:274934-1,wfo-0001300452,4198754,,
dc7e2d6a-8fd1-11eb-924d-9cd76263cbd0,species,elymaitica,Rosularia,,A.Berger,0,1930,,"Nat. Pflanzenfam. ed. 2 , 18a: 465 (1930)",,,,97702114-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:274935-1,wfo-0001299860,4198745,,
524f41c4-1d4d-11ec-82c2-f14daa6f2d93,species,gigantea,Rosularia,,"(Eggli) Niederle",,2015,,"Skalnickáruv rok 72: 39 (2015)",,,,,,urn:lsid:ipni.org:names:77149711-1,wfo-0001343519,,,
472d4fb6-8fcc-11eb-924d-9cd76263cbd0,species,glabra,Rosularia,,A.Berger,0,1930,,"Nat. Pflanzenfam. ed. 2 , 18a: 466 (1930)",,,,,,urn:lsid:ipni.org:names:274936-1,wfo-0000399368,4198738,,
dc7d4e5e-8fd1-11eb-924d-9cd76263cbd0,species,globulariifolia,Rosularia,,A.Berger,0,1930,,"Nat. Pflanzenfam. ed. 2 , 18a: 465 (1930)",,,,,,urn:lsid:ipni.org:names:274937-1,wfo-0001299854,4198731,,
64a61da2-1d4d-11ec-82c2-f14daa6f2d93,subspecies,pallidiflora,Rosularia,globulariifolia,"(Holmboe) Yıld.",,2015,,"Ot Sist. Bot. Dergisi 21(1): 34. 2015 [2014 publ. 30 Apr 2015]",,,,,,urn:lsid:ipni.org:names:77148902-1,wfo-0001368401,,,
7c876778-1d4d-11ec-82c2-f14daa6f2d93,variety,pallidiflora,Rosularia,globulariifolia,"(Holmboe) Minareci & K.Yıldız",,2012,,"Nordic J. Bot. 30(5): 532. 2012 [3 Jul 2012] [epublished]",,,,,,urn:lsid:ipni.org:names:77123071-1,wfo-0001400339,,,
dc7e4f3e-8fd1-11eb-924d-9cd76263cbd0,species,haussknechtii,Rosularia,,A.Berger,0,1930,,"Nat. Pflanzenfam. ed. 2 , 18a: 466 (1930)",,,,dcdcd766-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:274938-1,wfo-0001299861,7942992,,
472d74d2-8fcc-11eb-924d-9cd76263cbd0,species,hirsuta,Rosularia,,"(All.) Eggli",0,1988,,"Bradleya 6(Suppl.): 65 (1988)",,,,,,urn:lsid:ipni.org:names:945825-1,wfo-0000399369,4198716,,
dc888d32-8fd1-11eb-924d-9cd76263cbd0,species,hissarica,Rosularia,,Boriss.,0,1939,,"Fl. URSS 9: 483 (1939)",,,,,,urn:lsid:ipni.org:names:274939-1,wfo-0001299920,4198709,,
dcde312e-8fd1-11eb-924d-9cd76263cbd0,species,jaccardiana,Rosularia,,"(Maire & Wilczek) H.Ohba",0,1978,,"J. Fac. Sci. Univ. Tokyo, Sect. 3, Bot. 12: 171 (1978)",,,,dcdda20e-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:274940-1,wfo-0001300506,4198700,,
dcda57a2-8fd1-11eb-924d-9cd76263cbd0,species,kesouansensis,Rosularia,,Mouterde,0,1970,,"Nouv. Fl. Liban & Syrie 2(Texte): 182 1970",,,,,,,wfo-0001300479,8414367,,
472faed2-8fcc-11eb-924d-9cd76263cbd0,species,kesrouanensis,Rosularia,,Mouterde,0,1970,,"Nouv. Fl. Liban Syrie 2: 182 (1970)",,,,,,urn:lsid:ipni.org:names:274941-1,wfo-0000399381,4198695,,
4733452e-8fcc-11eb-924d-9cd76263cbd0,species,kokanica,Rosularia,,"(Regel & Schmalh.) Boriss.",0,1939,,"Fl. URSS 9: 128 (1939)",,,,,,urn:lsid:ipni.org:names:274942-1,wfo-0000399392,4198688,,
4733ba5e-8fcc-11eb-924d-9cd76263cbd0,species,libanotica,Rosularia,,"(L.) Sam.",0,1960,,"Ark. Bot. ser. 2, 5: 186. 1960",,,,,,urn:lsid:ipni.org:names:274943-1,wfo-0000399393,8182899,,
dcd9e358-8fd1-11eb-924d-9cd76263cbd0,species,libanotica,Rosularia,,"(Labill.) Muirhead",0,1972,,"Fl. Turkey 4: 216 (1972)",,,,0cc40446-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:274944-1,wfo-0001300475,,,
dcda1c92-8fd1-11eb-924d-9cd76263cbd0,variety,pubescens,Rosularia,libanotica,"Froderstrom ex Samuelsson",,1960,,"Ark. Bot. 5(1): 186 1960",,,,,,,wfo-0001300477,,,
4733e056-8fcc-11eb-924d-9cd76263cbd0,species,lineata,Rosularia,,A.Berger,0,1930,,"Nat. Pflanzenfam. ed. 2 , 18a: 466 (1930)",,,,8d186aec-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:274945-1,wfo-0000399394,4198664,,
47341288-8fcc-11eb-924d-9cd76263cbd0,species,lipskyi,Rosularia,,Boriss.,0,1939,,"Fl. URSS 9: 483 (1939)",,,,,,urn:lsid:ipni.org:names:274946-1,wfo-0000399395,4198656,,
47343808-8fcc-11eb-924d-9cd76263cbd0,species,lutea,Rosularia,,Boriss.,0,1939,,"Fl. URSS 9: 484 (1939)",,,,,,urn:lsid:ipni.org:names:274947-1,wfo-0000399396,4198644,,
dc88a786-8fd1-11eb-924d-9cd76263cbd0,species,lutea,Rosularia,,Boriss.,0,1939,,"Fl. URSS 9: 484 (1939)",,,,,,urn:lsid:ipni.org:names:274947-1,wfo-0001299921,4198644,,
