id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e9ce3a96-8fd1-11eb-924d-9cd76263cbd0,genus,Rubentia,,,"Comm. ex Juss.",0,1789,,"Gen. Pl. : 378 (1789)",,,,,,urn:lsid:ipni.org:names:39514-1,wfo-4000033572,7265676,,
73d6887a-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Rubentia,,"Bojer ex Steud.",0,1841,,"Nomencl. Bot.  [Steudel], ed. 2. ii. 475 (1841).",,,,,,urn:lsid:ipni.org:names:775054-1,wfo-0000463818,8342254,,
7439194a-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Rubentia,,Colla,0,1826,,"Hortus Ripul. , App. 2: 356 (1826)",,,,,,urn:lsid:ipni.org:names:835071-1,wfo-0000464433,3793399,,
7438dff2-8fcc-11eb-924d-9cd76263cbd0,species,longifolia,Rubentia,,Desf.,0,1804,,"Tabl. École Bot. 201. 1804",,,,,,urn:lsid:ipni.org:names:835072-1,wfo-0000464431,3793995,,
7438c594-8fcc-11eb-924d-9cd76263cbd0,species,mauritiana,Rubentia,,Desf.,0,1804,,"Tabl. École Bot. 201. 1804",,,,,,urn:lsid:ipni.org:names:835073-1,wfo-0000464430,3793391,,
d886fd40-8fd1-11eb-924d-9cd76263cbd0,species,olivina,Rubentia,,J.F.Gmel.,0,1791,,"Syst. Nat. ed. 13[bis] : 408 (1791)",,,,,,urn:lsid:ipni.org:names:835074-1,wfo-0001292605,3793385,,
15a6485c-8fcd-11eb-924d-9cd76263cbd0,species,orientalis,Rubentia,,"(Jacq.) Dum.Cours.",0,1802,,"Bot. Cult. 3: 597 1802",,,,8553c482-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000737759,8265610,,
0531b034-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Rubeola,,Fourr.,0,1868,,"Ann. Soc. Linn. Lyon , n.s., 16: 398 (1868)",,,Q5696332,,,urn:lsid:ipni.org:names:765166-1,wfo-0000298359,8024741,,
0531cda8-8fcc-11eb-924d-9cd76263cbd0,species,heterophylla,Rubeola,,Moench,0,1794,,"Methodus : 526 (1794)",,,,,,urn:lsid:ipni.org:names:765167-1,wfo-0000298360,8135813,,
0531f062-8fcc-11eb-924d-9cd76263cbd0,species,latifolia,Rubeola,,Fourr.,0,1868,,"Ann. Soc. Linn. Lyon , n.s., 16: 398 (1868)",,,Q5696332,,,urn:lsid:ipni.org:names:765168-1,wfo-0000298361,7874775,,
0532639e-8fcc-11eb-924d-9cd76263cbd0,species,linearifolia,Rubeola,,Moench,0,1794,,"Methodus : 525 (1794)",,,,,,urn:lsid:ipni.org:names:765169-1,wfo-0000298363,8100394,,
053311c2-8fcc-11eb-924d-9cd76263cbd0,species,maritima,Rubeola,,Moench,0,1794,,"Methodus : 526 (1794)",,,,,,urn:lsid:ipni.org:names:765170-1,wfo-0000298364,7839575,,
