id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9d94972-8fd1-11eb-924d-9cd76263cbd0,genus,Saba,,,"(Pichon) Pichon",,"Mém. Inst. Franç. Afrique Noire 35: 302. 1953.",,,,,2560-1,wfo-4000033702,3169620,
05b8e55e-8fcc-11eb-924d-9cd76263cbd0,species,comorensis,Saba,,"(Bojer ex A.DC.) Pichon",,"Mém. Inst. Franç. Afrique Noire 35: 303 1953",,,,,81757-1,wfo-0000299250,3614900,
6c5bfe26-8fcd-11eb-924d-9cd76263cbd0,variety,florida,Saba,comorensis,"(Benth.) Pichon",,"Mém. Inst. Franç. Afrique Noire 35: 309 1953",,,,,,wfo-0000908894,8051732,
05b90430-8fcc-11eb-924d-9cd76263cbd0,species,florida,Saba,,"(Benth.) Bullock",,"Kew Bull. 13: 391 1958 publ. 1959",,,,,81758-1,wfo-0000299251,3614889,
05b92230-8fcc-11eb-924d-9cd76263cbd0,species,senegalensis,Saba,,"(A.DC.) Pichon",,"Mém. Inst. Franç. Afrique Noire 35: 316 1953",,,,,81759-1,wfo-0000299252,3169621,
05b93e32-8fcc-11eb-924d-9cd76263cbd0,variety,glabriflora,Saba,senegalensis,"(Hua) Pichon",,"Mém. Inst. Franç. Afrique Noire 35: 322 1953",,,,,,wfo-0000299253,7472841,
05b9d5cc-8fcc-11eb-924d-9cd76263cbd0,species,thompsonii,Saba,,"(A.Chev.) Pichon",,"Mém. Inst. Franç. Afrique Noire 35: 322 1953",,,,,81760-1,wfo-0000299254,3614867,
25ce04fe-8fcd-11eb-924d-9cd76263cbd0,species,caricifolia,Sabadilla,,"(Schltdl.) Schltdl.",,"Linnaea 18: 444 1844",,,,,,wfo-0000771331,2742028,
1498b058-8fcd-11eb-924d-9cd76263cbd0,species,coulteri,Sabadilla,,"(Baker) Kuntze",,"Revis. Gen. Pl. 2: 713 1891",,,,,224794-2,wfo-0000735582,2742030,
1496c0b8-8fcd-11eb-924d-9cd76263cbd0,species,drummondii,Sabadilla,,"(A.Gray ex Hook. & Arn.) Kuntze",,"Revis. Gen. Pl. 2: 713 1891",,,,,224795-2,wfo-0000735571,2741987,
14957c3a-8fcd-11eb-924d-9cd76263cbd0,species,dubia,Sabadilla,,"(Michx.) Kuntze",,"Revis. Gen. Pl. 2: 713 1891",,,,,224796-2,wfo-0000735560,2742002,
14938c22-8fcd-11eb-924d-9cd76263cbd0,species,intermedia,Sabadilla,,"(Baker) Kuntze",,"Revis. Gen. Pl. 2: 713 1891",,,,,224797-2,wfo-0000735549,2742025,
1491ef7a-8fcd-11eb-924d-9cd76263cbd0,species,officinalis,Sabadilla,,"(Schltdl. & Cham.) Standl.",,"Lista Pl. Salvador 49 1925",,,,,224798-2,wfo-0000735540,2742019,
14808460-8fcd-11eb-924d-9cd76263cbd0,species,officinarum,Sabadilla,,"Brandt & Ratzeb.",,"Getreue Darstell Gew. 13: t. 27 1837",,,,,540477-1,wfo-0000735440,2742012,
