id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a409d000-9bad-11eb-a8a2-19ed5c03f8d3,genus,Salilagenidium,,,"M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 314 (2001)",,,,a409d000-9bad-11eb-a8a2-19ed5c03f8d3,,,,,27334," "
718503fc-9bad-11eb-a8a2-19ed5c03f8d3,species,callinectes,Salilagenidium,,"(Couch) M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 314 (2001)",,,,eb5c2e4a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,483163," "
718548d0-9bad-11eb-a8a2-19ed5c03f8d3,species,chthamalophilum,Salilagenidium,,"(T.W. Johnson) M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 315 (2001)",,,,f41379bc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,483164," "
7185cad0-9bad-11eb-a8a2-19ed5c03f8d3,species,marinum,Salilagenidium,,"(D. Atkins) M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 315 (2001)",,,,49daeea8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,483167," "
71857792-9bad-11eb-a8a2-19ed5c03f8d3,species,myophilum,Salilagenidium,,"(Hatai & Lawhav.) M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 315 (2001)",,,,4255ed54-9bac-11eb-a8a2-19ed5c03f8d3,,,,,483165," "
1516147c-9bac-11eb-a8a2-19ed5c03f8d3,species,scyllae,Salilagenidium,,"(Bian, Hatai, Po & Egusa) M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 315 (2001)",,,,0ff2ff0e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,483166," "
7185f67c-9bad-11eb-a8a2-19ed5c03f8d3,species,thermophilum,Salilagenidium,,"(K. Nakam., Miho Nakam., Hatai & Zafran) M.W. Dick",,2001,,"Straminipilous Fungi (Dordrecht) 315 (2001)",,,,5352e390-9bad-11eb-a8a2-19ed5c03f8d3,,,,,483168," "
32b87550-8fcd-11eb-924d-9cd76263cbd0,species,adiantifolia,Salisburia,,Sm.,Q458004,1797,,"Trans. Linn. Soc. 3: 330 1797",,Q55760676,,,,263723-1,wfo-0000799713,2687899,,
382f8a1e-8fcd-11eb-924d-9cd76263cbd0,variety,laciniata,Salisburia,adiantifolia,Carrière,Q274614,1854,,"Rev. Hort. IV, 3: 412 1854",,,,,,,wfo-0000811143,2687902,,
32b891e8-8fcd-11eb-924d-9cd76263cbd0,variety,pendula,Salisburia,adiantifolia,"Van Geert",Q5711538,1862,,"Cat. 1862: 62 1862",,,,,,,wfo-0000799714,2687893,,
382fa6c0-8fcd-11eb-924d-9cd76263cbd0,variety,variegata,Salisburia,adiantifolia,Carrière,Q274614,1854,,"Rev. Hort. IV, 3: 412 1854",,,,,,,wfo-0000811144,2687889,,
32b8ac32-8fcd-11eb-924d-9cd76263cbd0,species,biloba,Salisburia,,"(L.) Hoffmanns.","Q1043,Q76697",1824,,"Verz. Pfl.-Kult. 109 1824",,,,30c7bb02-8fcd-11eb-924d-9cd76263cbd0,,263725-1,wfo-0000799715,2687898,,
32b8d216-8fcd-11eb-924d-9cd76263cbd0,species,ginkgo,Salisburia,,Rich.,Q714754,1826,,"Comm. Bot. Conif. Cycad. 133 1826",,,,,,,wfo-0000799716,2687887,,
32b8f822-8fcd-11eb-924d-9cd76263cbd0,species,macrophylla,Salisburia,,Reyn.,Q5928771,1854,,"Cat. Sénécl. 40 1854",,,,,,263727-1,wfo-0000799717,2687894,,
37b5913c-8fcd-11eb-924d-9cd76263cbd0,species,australis,Salisburyodendron,,"(D.Don) A.V.Bobrov & Melikyan","Q1174244,Q586232,Q5665769",2006,,"Komarovia 4: 63 2006",,,,7de95864-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000810064,2685033,,
37b5ad70-8fcd-11eb-924d-9cd76263cbd0,species,corbassonii,Salisburyodendron,,"(de Laub.) A.V.Bobrov & Melikyan","Q1174878,Q586232,Q5665769",2006,,"Komarovia 4: 63 2006",,,,6bedb88a-8fcd-11eb-924d-9cd76263cbd0,,77076247-1,wfo-0000810065,2685055,,
37b5c77e-8fcd-11eb-924d-9cd76263cbd0,species,lanceolata,Salisburyodendron,,"A.V.Bobrov & Melikyan","Q586232,Q5665769",2006,,"Komarovia 4: 63 2006",,,,,,77076252-1,wfo-0000810066,2685050,,
