id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9ea2468-8fd1-11eb-924d-9cd76263cbd0,genus,Samolus,,,L.,1753,"Sp. Pl. 1: 171. 1753. (1 May 1753)",,,,,30019967-2,wfo-4000033913,3169310,
8b59b6e8-8fcc-11eb-924d-9cd76263cbd0,species,africanus,Samolus,,Burm.f.,1768,"Fl. Indica Prodr. Fl. Cap.: 5 1768",,,,,702819-1,wfo-0000503464,4006274,
cb7e0e30-8fcd-11eb-924d-9cd76263cbd0,species,alyssoides,Samolus,,A.Heller,1895,"Contr. Herb. Frankl. & Marsh. Coll. 1: 74–75, pl. 3 1895",,,,,227237-2,wfo-0001105394,4006255,
8b5c0a92-8fcc-11eb-924d-9cd76263cbd0,species,ambiguus,Samolus,,R.Br.,1810,"Prodr. Fl. Nov. Holl. 429 1810",,,,,702821-1,wfo-0000503473,4006238,
cb8e4048-8fcd-11eb-924d-9cd76263cbd0,species,americanus,Samolus,,Spreng.,1825,"Syst. Veg. 1: 702 1825",,,,,,wfo-0001105545,4006227,
8b5b78e8-8fcc-11eb-924d-9cd76263cbd0,species,aquaticus,Samolus,,Lam.,1779,"Fl. Franç. 3: 329 1779",,,,,702823-1,wfo-0000503469,8281084,
8b5ab4ee-8fcc-11eb-924d-9cd76263cbd0,species,aquaticus,Samolus,,St.-Lag.,1889,"Étude Fl. ed. 8, 2: 578 1889",,,,,702824-1,wfo-0000503468,4006210,
8b5a2150-8fcc-11eb-924d-9cd76263cbd0,species,beccabungae-facie,Samolus,,Gilib.,1782,"Fl. Lit. Inch. 1: 60 1782",,,,,702825-1,wfo-0000503467,4006202,
8b59f842-8fcc-11eb-924d-9cd76263cbd0,species,bracteatus,Samolus,,Stokes,1812,"Bot. Mat. Med. 1: 344 1812",,,,,702826-1,wfo-0000503466,4006185,
8b59d90c-8fcc-11eb-924d-9cd76263cbd0,species,bracteolosus,Samolus,,Phil.,1891,"Anales Mus. Nac., Santiago de Chile 1: 51 1891",,,,,227238-2,wfo-0000503465,4006174,
8b5d740e-8fcc-11eb-924d-9cd76263cbd0,species,caespitosus,Samolus,,Keighery,1988,"Nordic J. Bot. 8: 329 1988",,,,,935408-1,wfo-0000503481,4006159,
8b5dadc0-8fcc-11eb-924d-9cd76263cbd0,species,campanuloides,Samolus,,R.Br.,1810,"Prodr. Fl. Nov. Holl. 429 1810",,,,,,wfo-0000503482,4006151,
cb8e2518-8fcd-11eb-924d-9cd76263cbd0,species,caulescens,Samolus,,"Willd. ex Roem. & Schult.",1819,"Syst. Veg. 5: 4 1819",,,,,702829-1,wfo-0001105544,4006143,
8b5de84e-8fcc-11eb-924d-9cd76263cbd0,species,cinerascens,Samolus,,"Pax & R.Knuth",1905,"Pflanzenr. IV, 237: 340 1905",,,,,227239-2,wfo-0000503484,4006115,
cb7e2bae-8fcd-11eb-924d-9cd76263cbd0,species,cuneatus,Samolus,,Small,1897,"Bull. Torrey Bot. Club 24(11): 491 1897",,,,,284589-2,wfo-0001105395,4006097,
8b5dcdaa-8fcc-11eb-924d-9cd76263cbd0,species,dichondrifolius,Samolus,,Channell,1958,"Rhodora 60: 2 1958",,,,,227241-2,wfo-0000503483,4006078,
