id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ea272a84-8fd1-11eb-924d-9cd76263cbd0,genus,Sciodaphyllum,,,P.Browne,1756,"Civ. Nat. Hist. Jamaica 190. 1756.",,,,,,wfo-4000034685,7314478,
0ae89cea-8fcc-11eb-924d-9cd76263cbd0,species,abyssinicum,Sciodaphyllum,,"(Hochst. ex A.Rich.) Miq.",1863,"Ann. Mus. Bot. Lugduno-Batavi 1: 26 1863",,,,,,wfo-0000307308,3038639,
0ae8bcd4-8fcc-11eb-924d-9cd76263cbd0,species,acuminatum,Sciodaphyllum,,"(Pav.) Poir.",1805,"Encycl. 6: 746 1805",,,,dff5eaaa-8fcc-11eb-924d-9cd76263cbd0,92486-1,wfo-0000307309,3038466,
0ae8d9da-8fcc-11eb-924d-9cd76263cbd0,species,angulatum,Sciodaphyllum,,"(Pav.) Poir.",1805,"Encycl. 6: 745 1805",,,,e117eb54-8fcc-11eb-924d-9cd76263cbd0,92487-1,wfo-0000307310,3037713,
0ae8f6c2-8fcc-11eb-924d-9cd76263cbd0,species,anomalum,Sciodaphyllum,,G.Don,1834,"Gen. Hist. 3: 391 1834",,,,,92488-1,wfo-0000307311,4924971,
0ae91878-8fcc-11eb-924d-9cd76263cbd0,species,arboreum,Sciodaphyllum,,"(L.) C.L.Hitchc.",1893,"Rep. (Annual) Missouri Bot. Gard. 4: 91 1893",,,,,,wfo-0000307312,3035101,
0ae934ca-8fcc-11eb-924d-9cd76263cbd0,species,assamicum,Sciodaphyllum,,K.Koch,1859,"Wochenschr. Gärtnerei Pflanzenk. 2: 364 1859",,,,,92490-1,wfo-0000307313,3038481,
0ae95086-8fcc-11eb-924d-9cd76263cbd0,species,avene,Sciodaphyllum,,"(Miq.) Korth. ex Miq.",1863,"Ann. Mus. Bot. Lugduno-Batavi 1: 19 1863",,,,11e359fe-8fcc-11eb-924d-9cd76263cbd0,92491-1,wfo-0000307314,3038267,
0ae96cec-8fcc-11eb-924d-9cd76263cbd0,species,baikiei,Sciodaphyllum,,"(Seem.) Seem.",1865,"J. Bot. 3: 267 1865",,,,02ae9340-8fcc-11eb-924d-9cd76263cbd0,92492-1,wfo-0000307315,3037863,
0ae98db2-8fcc-11eb-924d-9cd76263cbd0,species,barteri,Sciodaphyllum,,"(Seem.) Seem.",1865,"J. Bot. 3: 267 1865",,,,,92493-1,wfo-0000307316,3037869,
0ae9aae0-8fcc-11eb-924d-9cd76263cbd0,species,belangeri,Sciodaphyllum,,Marchal,1879,"Bull. Acad. Roy. Sci. Belgique II, 47: 92 1879",,,,,92494-1,wfo-0000307317,3038483,
0aea5aee-8fcc-11eb-924d-9cd76263cbd0,species,brownei,Sciodaphyllum,,Spreng.,1824,"Syst. Veg. 1: 953 1824",,,,,92495-1,wfo-0000307319,3037941,
0aea837a-8fcc-11eb-924d-9cd76263cbd0,species,burchellianum,Sciodaphyllum,,Baill.,1878,"Adansonia 12: 147 1878",,,,,92496-1,wfo-0000307320,3037744,
c2b2c5d4-8fcd-11eb-924d-9cd76263cbd0,species,capitatum,Sciodaphyllum,,Eggers,1889,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 1889: 17 1889",,,,,,wfo-0001086035,8264102,
0aeaa4ae-8fcc-11eb-924d-9cd76263cbd0,species,capitatum,Sciodaphyllum,,"(Jacq.) Griseb.",1860,"Fl. Brit. W. I. 306 1860",,,,,92497-1,wfo-0000307321,3036627,
0aeac2e0-8fcc-11eb-924d-9cd76263cbd0,species,chartaceum,Sciodaphyllum,,A.C.Sm.,,"Publ. Field Mus. Nat. Hist., Bot. Ser. 18: 1562 1938",,,,,92556-1,wfo-0000307322,3038214,
0aeae2e8-8fcc-11eb-924d-9cd76263cbd0,species,confusum,Sciodaphyllum,,Marchal,1878,"Fl. Bras. 11(1): 244 1878",,,,,92499-1,wfo-0000307323,3038774,
0aeb03f4-8fcc-11eb-924d-9cd76263cbd0,species,conicum,Sciodaphyllum,,"(Pav.) Poir.",1805,"Encycl. 6: 746 1805",,,,e2367f28-8fcc-11eb-924d-9cd76263cbd0,92500-1,wfo-0000307324,3038472,
0aeb22d0-8fcc-11eb-924d-9cd76263cbd0,species,coriaceum,Sciodaphyllum,,"Marchal ex Thurn",1886,"Timehri 5: 195 1886",,,,,,wfo-0000307325,3038552,
0aeb4080-8fcc-11eb-924d-9cd76263cbd0,species,decaphyllum,Sciodaphyllum,,Seem.,1865,"J. Bot. 3: 266 1865",,,,,92502-1,wfo-0000307326,3037790,
0aeb5cf0-8fcc-11eb-924d-9cd76263cbd0,species,digitatum,Sciodaphyllum,,"G.Don ex Loudon",1832,"Hort. Brit. ed. 2: 112 1832",,,,,,wfo-0000307327,3038835,
0aeb7a14-8fcc-11eb-924d-9cd76263cbd0,species,divaricatum,Sciodaphyllum,,"(Blume) Blume",1826,"Bijdr. 876 1826",,,,,92504-1,wfo-0000307328,3038572,
0aebbaf6-8fcc-11eb-924d-9cd76263cbd0,species,elatum,Sciodaphyllum,,"(Buch.-Ham.) Seem.",1865,"J. Bot. 3: 267 1865",,,,,92505-1,wfo-0000307330,3038109,
0aec19e2-8fcc-11eb-924d-9cd76263cbd0,species,ellipticum,Sciodaphyllum,,Blume,1826,"Bijdr. 878 1826",,,,,92506-1,wfo-0000307331,3038034,
0aec36e8-8fcc-11eb-924d-9cd76263cbd0,species,farinosum,Sciodaphyllum,,"(Blume) Blume",1826,"Bijdr. 875 1826",,,,e3e648ee-8fcc-11eb-924d-9cd76263cbd0,92507-1,wfo-0000307332,3038283,
0aec551a-8fcc-11eb-924d-9cd76263cbd0,species,ferrugineum,Sciodaphyllum,,"(Willd. ex Schult.) Decne. & Planch.",1854,"Rev. Hort. IV, 3: 107 1854",,,,,92508-1,wfo-0000307333,3038533,
0aec7126-8fcc-11eb-924d-9cd76263cbd0,species,goudotii,Sciodaphyllum,,"Planch. & Linden ex Seem.",1865,"J. Bot. 3: 266 1865",,,,,92510-1,wfo-0000307334,3038720,
0aecf2a4-8fcc-11eb-924d-9cd76263cbd0,species,heptaphyllum,Sciodaphyllum,,"(L.) C.L.Hitchc.",1893,"Rep. (Annual) Missouri Bot. Gard. 4: 91 1893",,,,b3607b22-8fcc-11eb-924d-9cd76263cbd0,,wfo-0000307335,3038336,
0aed1dba-8fcc-11eb-924d-9cd76263cbd0,species,heterotrichum,Sciodaphyllum,,Seem.,1865,"J. Bot. 3: 268 1865",,,,,,wfo-0000307336,3038061,
0aed3e30-8fcc-11eb-924d-9cd76263cbd0,species,humboldtianum,Sciodaphyllum,,"Decne. & Planch. ex Seem.",1865,"J. Bot. 3: 268 1865",,,,,92513-1,wfo-0000307337,3038911,
0aed5ec4-8fcc-11eb-924d-9cd76263cbd0,species,humile,Sciodaphyllum,,Blume,1826,"Bijdr. 875 1826",,,,,92514-1,wfo-0000307338,3038800,
0aed7a8a-8fcc-11eb-924d-9cd76263cbd0,species,jacquinii,Sciodaphyllum,,Griseb.,1861,"Mem. Amer. Acad. Arts n.s., 8: 190 1861",,,,,,wfo-0000307339,3035118,
0aedb95a-8fcc-11eb-924d-9cd76263cbd0,species,japurense,Sciodaphyllum,,"Mart. & Zucc. ex Marchal",1878,"Fl. Bras. 11(1): 244 1878",,,,,92516-1,wfo-0000307341,3038186,
