id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ea2761ca-8fd1-11eb-924d-9cd76263cbd0,genus,Scirpoides,,,Ség.,1754,"Pl. Veron. 3: 73. 1754.",,,,,14029-1,wfo-4000034693,2718197,
9cff8aa8-8fcc-11eb-924d-9cd76263cbd0,species,burkei,Scirpoides,,"(C.B.Clarke) Goetgh., Muasya & D.A.Simpson",2000,"Novon 10: 132 2000",,,,,1015490-1,wfo-0000533469,2718198,
9d01304c-8fcc-11eb-924d-9cd76263cbd0,species,dioeca,Scirpoides,,"(Kunth) Browning",1994,"S. African J. Bot. 60: 318 1994",,,,,980829-1,wfo-0000533480,6311823,
9d027da8-8fcc-11eb-924d-9cd76263cbd0,species,globifera,Scirpoides,,"(L.f.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 140: 127 1972",,,,,313111-1,wfo-0000533491,3583842,
9d03b7a4-8fcc-11eb-924d-9cd76263cbd0,species,holoschoenus,Scirpoides,,"(L.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 140: 127 1972",,,,a0714172-8fcc-11eb-924d-9cd76263cbd0,1214602-2,wfo-0000533499,2718201,
9d04c82e-8fcc-11eb-924d-9cd76263cbd0,subspecies,australis,Scirpoides,holoschoenus,"(L.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 141: 61 1972",,,,,879813-1,wfo-0000533509,2718241,
9d064c30-8fcc-11eb-924d-9cd76263cbd0,subspecies,globifera,Scirpoides,holoschoenus,"(L.f.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 141: 61 1972",,,,,879814-1,wfo-0000533518,,
9d090146-8fcc-11eb-924d-9cd76263cbd0,subspecies,panormitana,Scirpoides,holoschoenus,"(Parl.) Soják",1983,"Cas. Nár. Mus., Odd. Prír. 152: 21 1983",,,,,951941-1,wfo-0000533538,6311824,
9d0a96be-8fcc-11eb-924d-9cd76263cbd0,subspecies,thunbergii,Scirpoides,holoschoenus,"(Schrad.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 141: 61 1972",,,,6c306abe-8fcc-11eb-924d-9cd76263cbd0,879815-1,wfo-0000533548,2718204,
ddfa8724-8fd1-11eb-924d-9cd76263cbd0,species,nodosa,Scirpoides,,"(Rottb.) Soják",1972,"Čas. Nár. Mus., Odd. PYír. 141: 62 1972",,,,,,wfo-0001302169,7650419,
9d0c5396-8fcc-11eb-924d-9cd76263cbd0,species,nodosa,Scirpoides,,"(Rottb.) L.C.Br. ex R.T.F.Clifton",1996,"St. Helena: A Highly Critical Flora 81 1996",,,,,20009650-1,wfo-0000533559,3583831,
9d0e641a-8fcc-11eb-924d-9cd76263cbd0,species,romana,Scirpoides,,"(L.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 140: 127 1972",,,,,313113-1,wfo-0000533569,3583828,
9d1030d8-8fcc-11eb-924d-9cd76263cbd0,species,thunbergii,Scirpoides,,"(Schrad.) Soják",1972,"Cas. Nár. Mus., Odd. Prír. 140: 127 1972",,,,6c306abe-8fcc-11eb-924d-9cd76263cbd0,313114-1,wfo-0000533579,2718205,
762f5132-8fcd-11eb-924d-9cd76263cbd0,species,varius,Scirpoides,,Browning,2011,"S. African J. Bot. 77: 507 2011",,,,,77111623-1,wfo-0000922534,,
