id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a6e41830-9bad-11eb-a8a2-19ed5c03f8d3,genus,Scleromitrula,,,"S. Imai",,1941,,"J. Fac. agric., Hokkaido Univ. 55: 176 (1941)",,,,a6e41830-9bad-11eb-a8a2-19ed5c03f8d3,,,,,4935," "
c22de8ce-9bac-11eb-a8a2-19ed5c03f8d3,species,brassicae,Scleromitrula,,"(Hammarl.) S. Imai",,,,,,,,d5a0720a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,290793," "
54d28540-9bad-11eb-a8a2-19ed5c03f8d3,species,calthicola,Scleromitrula,,"(Whetzel) T. Schumach. & Holst-Jensen",,1997,,"Mycoscience 38(1): 64 (1997)",,,,3027f1e0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,436982," "
54d2b542-9bad-11eb-a8a2-19ed5c03f8d3,species,candolleana,Scleromitrula,,"(Lév.) T. Schumach. & Holst-Jensen",0,1997,,"Mycoscience 38(1): 65 (1997)",,,,7c4a32d6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,436983," "
54d30880-9bad-11eb-a8a2-19ed5c03f8d3,species,morchelloides,Scleromitrula,,"(Mains) T. Schumach. & Holst-Jensen",,1997,,"Mycoscience 38(1): 65 (1997)",,,,df366b8a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,436984," "
a988ddce-9bac-11eb-a8a2-19ed5c03f8d3,species,rubicola,Scleromitrula,,"T. Schumach. & Holst-Jensen",,1997,,"Mycoscience 38(1): 65 (1997)",,,,a988ddce-9bac-11eb-a8a2-19ed5c03f8d3,,,,,436985," "
c22e20dc-9bac-11eb-a8a2-19ed5c03f8d3,species,shiraiana,Scleromitrula,,"(Henn.) S. Imai",0,1941,,"J. Coll. agric., Hokkaido Imp. Univ. 45: 177 (1941)",,,,794f45ea-9bab-11eb-a8a2-19ed5c03f8d3,,,,,290794," shiraina"
6c46fba8-9bac-11eb-a8a2-19ed5c03f8d3,species,shiraina,Scleromitrula,,"(Henn.) S. Imai",0,,,,,,,794f45ea-9bab-11eb-a8a2-19ed5c03f8d3,,,,,281067," Scleromitrula shiraiana"
54d33d0a-9bad-11eb-a8a2-19ed5c03f8d3,species,spiraeicola,Scleromitrula,,"(Dennis) T. Schumach. & Holst-Jensen",,1997,,"Mycoscience 38(1): 67 (1997)",,,,0218627a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,436986," "
40c71e5e-9bac-11eb-a8a2-19ed5c03f8d3,species,ushuaiae,Scleromitrula,,"(Rehm) Gamundí",0,1977,,"Kew Bull. 31: 734 (1977)",,,,5165c436-9bac-11eb-a8a2-19ed5c03f8d3,,,,,323256," "
40c76ddc-9bac-11eb-a8a2-19ed5c03f8d3,species,viridis,Scleromitrula,,Gamundí,,1977,,"Kew Bull., Addit. Ser. 31(3): 737 (1977)",,,,40c76ddc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,323257," "
