id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ea2f72d4-8fd1-11eb-924d-9cd76263cbd0,genus,Scolymus,,,"Tourn. ex L.","Q312959,Q1043",,,,,,,,,10972-1,wfo-4000034797,3144210,,
eab78da4-8fb3-11eb-924d-9cd76263cbd0,species,aggregatus,Scolymus,,Ruch.,Q21607511,1818,,"Ruch., Fl. Lidi Veneti. 1818 198 1818",,,,,,,wfo-0000056874,6293649,,
8d7d1ce4-8fb3-11eb-924d-9cd76263cbd0,species,angiospermus,Scolymus,,Gaertn.,Q60226,1791,,"Fruct. Sem. Pl. ii. 355. t. 157 1791",,,,,,,wfo-0000050496,5703191,,
8df82e28-8fba-11eb-924d-9cd76263cbd0,species,annuus,Scolymus,,"Gérard ex Steud.","Q3262134,Q62821",1821,,"Nomencl. Bot. (Steudel) 753 1821",,,,,,243004-1,wfo-0000127580,8133689,,
e84b8746-8fb3-11eb-924d-9cd76263cbd0,species,annuus,Scolymus,,Gérard,Q3262134,1761,,"Gerard, Fl. Gallo-Prov.. 1761 175 1761",,,,,,,wfo-0000056710,,,
a2cce88c-8fb2-11eb-924d-9cd76263cbd0,species,clusii,Scolymus,,Bubani,Q684026,1899,,"Fl. Pyren. (Bubani) ii. 117. 1899",,,,,,,wfo-0000030392,5703187,,
ba9bab86-8fb4-11eb-924d-9cd76263cbd0,species,congestus,Scolymus,,Lam.,Q82122,1779,,"Fl. Fr. ii. 116. 1779",,,,,,,wfo-0000069062,5703185,,
5fc96904-8fb5-11eb-924d-9cd76263cbd0,species,giganteus,Scolymus,,Roem.,Q115659,,,"Hort. Turic. ex Steud. Nom. ed. II. ii. 544 (Quid ?).",,,,,,243007-1,wfo-0000077302,5703184,,
ee100410-8fb6-11eb-924d-9cd76263cbd0,species,grandiflorus,Scolymus,,Desf.,Q545953,1791,,"324 1791",,,,,,,wfo-0000094667,5403745,,
650bfe76-8fb6-11eb-924d-9cd76263cbd0,species,gymnospermus,Scolymus,,Gaertn.,Q60226,1791,,"Fruct. Sem. Pl. ii. 355 1791",,,,,,,wfo-0000088995,5703183,,
5fa84696-8fb2-11eb-924d-9cd76263cbd0,species,hispanicus,Scolymus,,L.,Q1043,1753,,"813 1753",,,,,,243010-1,wfo-0000022425,5403742,,
df1f2a38-8fb3-11eb-924d-9cd76263cbd0,variety,aggregatus,Scolymus,hispanicus,"(Ruch.) Vásquez","Q21607511,Q6110609",2000,,"Anales Jard. Bot. Madrid 58(1): 89",,Q96002487,,eab78da4-8fb3-11eb-924d-9cd76263cbd0,,1016421-1,wfo-0000056077,5703176,,
ba60f7f8-8fb8-11eb-924d-9cd76263cbd0,variety,aurantiacus,Scolymus,hispanicus,Maire,Q2661320,,,,,,,,,,wfo-0000112056,6293650,,
b911eb42-8fb7-11eb-924d-9cd76263cbd0,subspecies,grandiflorus,Scolymus,hispanicus,"(Desf.) P.Fourn.","Q545953,Q3372376",1940,,"P. Fourn.. 1940. 1027 1940",,,,,,,wfo-0000102497,6082642,,
a55debfa-9a07-11eb-a8a2-19ed5c03f8d3,subspecies,occidentalis,Scolymus,hispanicus,F.M.Vázquez,Q5866716,2000,,"Anales Jard. Bot. Madrid 58(1): 91",,Q96002487,,,,1016422-1,,,,
ac3eee20-8fb6-11eb-924d-9cd76263cbd0,species,maculatus,Scolymus,,L.,Q1043,1753,,"813 1753",,,,,,243011-1,wfo-0000091946,5403743,,
cb0ca8a0-8fb2-11eb-924d-9cd76263cbd0,species,paniculatus,Scolymus,,Ucria,Q4893867,1793,,"255 1793",,,,,,243013-1,wfo-0000034630,5403744,,
a82202b6-8fb4-11eb-924d-9cd76263cbd0,species,pectinatus,Scolymus,,Cass.,Q958431,1825,,"in Dict. Sc. Nat. xxxiv. 87. 1825",,,,,,,wfo-0000068067,5703170,,
4a9e9240-8fb3-11eb-924d-9cd76263cbd0,species,perennis,Scolymus,,"Gérard ex Steud.","Q3262134,Q62821",1821,,"Nomencl. Bot. (Steudel) 753 1821",,,,,,243015-1,wfo-0000045461,7876862,,
5b7b8de8-8fb3-11eb-924d-9cd76263cbd0,species,perennis,Scolymus,,Gérard,Q3262134,1761,,"Fl. Gallo-Prov. 175 (1761).",,,,,,,wfo-0000046699,,,
3cf0ef6c-8fb3-11eb-924d-9cd76263cbd0,species,theophrasti,Scolymus,,Bubani,Q684026,1899,,"Fl. Pyren. (Bubani) ii. 116. 1899",,,,,,,wfo-0000044485,5703167,,
53303360-8fb2-11eb-924d-9cd76263cbd0,species,vivax,Scolymus,,"Sauvages ex DC.","Q3084030,Q123057",1838,,"Prodr. (DC.) 7(1): 76 1838",,,,,,243018-1,wfo-0000020586,5703165,,
