id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a54c0ffa-9bad-11eb-a8a2-19ed5c03f8d3,genus,Scutiger,,,Paulet,0,1793,,"Icon. Champ. tab. 31, fig. 1-3 (1793)",,,,a54c0ffa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,18527," "
6c8a43c6-9bad-11eb-a8a2-19ed5c03f8d3,species,auriscalpium,Scutiger,,"(L.) Paulet",0,1812,,"Traité Champ., Atlas (1812)",,,,,,,,,473052," "
089a40dc-9bad-11eb-a8a2-19ed5c03f8d3,species,brasiliensis,Scutiger,,Singer,,1983,,"in Singer, Araujo & Ivory, Beih. Nova Hedwigia 77: 22 (1983)",,,,089a40dc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,110390," "
003f5b3a-9bac-11eb-a8a2-19ed5c03f8d3,species,caeruleoporus,Scutiger,,"(Peck) Murrill",0,1903,,"Bull. Torrey bot. Club 30(8): 429 (1903)",,,,5e99eaa6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,471582," "
008143c8-9bad-11eb-a8a2-19ed5c03f8d3,species,confluens,Scutiger,,"(Alb. & Schwein.) Bondartsev & Singer",0,1941,,"Annls mycol. 39(1): 47 (1941)",,,,0e49a9f6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305698," "
a6a5d1fc-9bac-11eb-a8a2-19ed5c03f8d3,form,confluens,Scutiger,confluens,"(Alb. & Schwein.) Bondartsev & Singer",0,1941,,"Annls mycol. 39(1): 47 (1941)",,,,a6a5d1fc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,426590," "
2bddf14c-9bad-11eb-a8a2-19ed5c03f8d3,form,politus,Scutiger,confluens,"(Fr.) Bondartsev",0,1953,,"The Bracket Fungi of the European Part of the U.S.S.R. and the Caucasus 599 (1953)",,,,96e9cc46-9bac-11eb-a8a2-19ed5c03f8d3,,,,,347603," "
3d68e124-9bad-11eb-a8a2-19ed5c03f8d3,species,cristatiformis,Scutiger,,Murrill,0,1943,,"Lloydia 6: 227 (1943)",,,,3d68e124-9bad-11eb-a8a2-19ed5c03f8d3,,,,,471583," "
00817852-9bad-11eb-a8a2-19ed5c03f8d3,species,cristatus,Scutiger,,"(Schaeff.) Bondartsev & Singer",0,1941,,"Annls mycol. 39(1): 47 (1941)",,,,,,,,,305699," "
3d7297e6-9bad-11eb-a8a2-19ed5c03f8d3,species,cryptopus,Scutiger,,"(Ellis & Barthol.) Murrill",0,1903,,"Bull. Torrey bot. Club 30(8): 428 (1903)",,,,7caa2930-9bab-11eb-a8a2-19ed5c03f8d3,,,,,471584," "
3da32fe6-9bad-11eb-a8a2-19ed5c03f8d3,species,decurrens,Scutiger,,"(Underw.) Murrill",0,1903,,"Bull. Torrey bot. Club 30(8): 428 (1903)",,,,74f8e53c-9bab-11eb-a8a2-19ed5c03f8d3,,,,,471585," "
3ebc6320-9bad-11eb-a8a2-19ed5c03f8d3,species,ellisii,Scutiger,,"(Berk.) Murrill",0,1903,,"Bull. Torrey bot. Club 30(8): 427 (1903)",,,,4a3453da-9bac-11eb-a8a2-19ed5c03f8d3,,,,,471586," "
190c7e5e-9bac-11eb-a8a2-19ed5c03f8d3,species,griseus,Scutiger,,"(Peck) Murrill",0,1903,,"Bull. Torrey bot. Club 30(8): 431 (1903)",,,,73586810-9bab-11eb-a8a2-19ed5c03f8d3,,,,,471587," "
