id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9df07cfa-9bad-11eb-a8a2-19ed5c03f8d3,genus,Selenosporium,,,Corda,Q624998,1837,,"Icon. fung. (Prague) 1: 7 (1837)",,,,9df07cfa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,9873," "
74518b8e-9bab-11eb-a8a2-19ed5c03f8d3,species,aquaeductuum,Selenosporium,,"Rabenh. & Radlk.","Q65090,Q62865",1861,,"Hedwigia 2: 73 (1861)",,,,74518b8e-9bab-11eb-a8a2-19ed5c03f8d3,,,,,187753," "
87e4ecbc-9bac-11eb-a8a2-19ed5c03f8d3,species,asperifoliorum,Selenosporium,,Westend.,,,,,,,,87e4ecbc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,187998," "
7b5e8300-9bab-11eb-a8a2-19ed5c03f8d3,species,aurantiacum,Selenosporium,,Bonord.,,,,,,,,7b5e8300-9bab-11eb-a8a2-19ed5c03f8d3,,,,,187646," "
102974ae-9bac-11eb-a8a2-19ed5c03f8d3,species,brassicae,Selenosporium,,Lib.,Q470036,,,,,,,102974ae-9bac-11eb-a8a2-19ed5c03f8d3,,,,,187734," "
87e2036c-9bac-11eb-a8a2-19ed5c03f8d3,species,bufonicola,Selenosporium,,Speg.,Q648013,,,,,,,87e2036c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,187970," "
87b526d0-9bac-11eb-a8a2-19ed5c03f8d3,species,caeruleum,Selenosporium,,Lib.,Q470036,,,,,,,87b526d0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,187618," "
443d5e04-9bac-11eb-a8a2-19ed5c03f8d3,species,coeruleum,Selenosporium,,Lib.,Q470036,,invalid,,,,,443d5e04-9bac-11eb-a8a2-19ed5c03f8d3,,,,,522093,"Nom. inval. cruleum"
ed565622-9bab-11eb-a8a2-19ed5c03f8d3,species,cuticola,Selenosporium,,"R. Blanch.",,,,,,,,ed565622-9bab-11eb-a8a2-19ed5c03f8d3,,,,,184407," "
85679b60-9bac-11eb-a8a2-19ed5c03f8d3,species,cydoniae,Selenosporium,,Schulzer,,,,,,,,85679b60-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184582," "
856a2dd0-9bac-11eb-a8a2-19ed5c03f8d3,species,equiseti,Selenosporium,,Corda,Q624998,1838,,"Icon. fung. (Prague) 2: 7 (1838)",,,,856a2dd0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184497," "
8597bc82-9bac-11eb-a8a2-19ed5c03f8d3,species,fuscum,Selenosporium,,Bonord.,,1851,,"Handb. Allgem. mykol. (Stuttgart) 135 (1851)",,,,8597bc82-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184748," "
8435a7c8-9bac-11eb-a8a2-19ed5c03f8d3,species,gloeosporioides,Selenosporium,,Speg.,Q648013,,,,,,,8435a7c8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184366," "
100b3e8a-9bac-11eb-a8a2-19ed5c03f8d3,species,herbarum,Selenosporium,,Corda,Q624998,1839,,"Icon. fung. (Prague) 3: 34 (1839)",,,,100b3e8a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184627," "
85712414-9bac-11eb-a8a2-19ed5c03f8d3,species,hippocastani,Selenosporium,,Corda,Q624998,1838,,"Icon. fung. (Prague) 2: 7 (1838)",,,,85712414-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184541," "
8590b8c4-9bac-11eb-a8a2-19ed5c03f8d3,species,lichenicola,Selenosporium,,Speg.,Q648013,,,,,,,8590b8c4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,184713," "
