id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ea49477c-8fd1-11eb-924d-9cd76263cbd0,genus,Septas,,,L.,,"Pl. Rar. Afr. 10. 1760. (1761)",,,,,,wfo-4000035089,3230692,
6730bbfe-8fcc-11eb-924d-9cd76263cbd0,species,alcicornis,Septas,,"(Schönland) P.V.Heath",,"Calyx 3: 106 1993",,,,,970747-1,wfo-0000441864,5688235,
67324bd6-8fcc-11eb-924d-9cd76263cbd0,species,capensis,Septas,,L.,,"Pl. Rar. Afr. 10 1760",,,,,276726-1,wfo-0000441876,7334068,
67310f50-8fcc-11eb-924d-9cd76263cbd0,species,dentata,Septas,,"(Thunb.) P.V.Heath",,"Calyx 3: 106 1993",,,,,970751-1,wfo-0000441867,5688213,
673149e8-8fcc-11eb-924d-9cd76263cbd0,species,globifera,Septas,,Sims,,"Bot. Mag. 36: t. 1472 1812",,,,,276728-1,wfo-0000441869,5688204,
67312cce-8fcc-11eb-924d-9cd76263cbd0,species,globifera,Septas,,"Eckl. & Zeyh. ex Harv.",,"Fl .Cap. 2: 357 1862",,,,,276727-1,wfo-0000441868,,
dccc355a-8fd1-11eb-924d-9cd76263cbd0,species,globulifera,Septas,,L.,,"Bot. Mag. t. 1473",,,,,,wfo-0001300378,7506303,
673166bc-8fcc-11eb-924d-9cd76263cbd0,species,nemorosa,Septas,,"(Eckl. & Zeyh.) P.V.Heath",,"Calyx 3: 106 1993",,,,,970752-1,wfo-0000441870,5688199,
67319f24-8fcc-11eb-924d-9cd76263cbd0,species,putativa,Septas,,P.V.Heath,,"Calyx 3: 106 1993",,,,,970753-1,wfo-0000441872,5688196,
d9fe4dd0-8fcd-11eb-924d-9cd76263cbd0,species,repens,Septas,,Lour.,,"Fl. Cochinch. 2: 392 1790",,,,,809635-1,wfo-0001137314,5561723,
6731c2ba-8fcc-11eb-924d-9cd76263cbd0,species,saxifraga,Septas,,"(Harv.) P.V.Heath",,"Calyx 3: 106 1993",,,,,970754-1,wfo-0000441873,5688194,
67320220-8fcc-11eb-924d-9cd76263cbd0,species,simulans,Septas,,"(Schönland) P.V.Heath",,"Calyx 3: 106 1993",,,,,970755-1,wfo-0000441874,5688191,
6734f9ee-8fcc-11eb-924d-9cd76263cbd0,species,trichotoma,Septas,,Lam.,,"Tabl. Encycl. 1: 409 1793",,,,,,wfo-0000441896,5688186,
673017bc-8fcc-11eb-924d-9cd76263cbd0,species,umbella,Septas,,Haw.,,"Syn. Pl. Succ. 62 1812",,,,,276730-1,wfo-0000441858,5688180,
67339a72-8fcc-11eb-924d-9cd76263cbd0,species,umbraticola,Septas,,"(N.E.Br.) P.V.Heath",,"Calyx 3: 106 1993",,,,,970756-1,wfo-0000441887,5688177,
