id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ea4a7980-8fd1-11eb-924d-9cd76263cbd0,genus,Sequoia,,,Endl.,,"Syn. Conif. 197. 1847.",,,,,331126-2,wfo-4000035099,2683908,
dc5e34c8-8fcd-11eb-924d-9cd76263cbd0,species,disticha,Sequoia,,Heer,,,,,,,,wfo-0001142116,7610760,
64d88dfa-8fcc-11eb-924d-9cd76263cbd0,species,gigantea,Sequoia,,Endl.,,"Syn. Conif. 198 1847",,,,,263737-1,wfo-0000437875,8116071,
8e04304e-8fcc-11eb-924d-9cd76263cbd0,species,gigantea,Sequoia,,"(Lindl.) Decne.",,"Bull. Soc. Bot. France 1: 70 1854",,,,,263736-1,wfo-0000507958,2683912,
156ab1ac-8fcd-11eb-924d-9cd76263cbd0,form,pendula,Sequoia,gigantea,"(Briolay-Goiffon ex Carrière) Beissn.",,"Handb. Nadelholzk. 165 1891",,,,,,wfo-0000737242,7614735,
73e8a3ba-8fcd-11eb-924d-9cd76263cbd0,variety,pendula,Sequoia,gigantea,"(Briolay-Goiffon ex Carrière) Lavallée",,"Énum. Arbres 271 1877",,,,,,wfo-0000918988,8172148,
871a6da2-8fcc-11eb-924d-9cd76263cbd0,species,glyptostroboides,Sequoia,,"(Hu & W.C.Cheng) Weide",,"Feddes Repert. Spec. Nov. Regni Veg. 66: 185 1962",,,,,828388-1,wfo-0000496713,2683891,
64da51bc-8fcc-11eb-924d-9cd76263cbd0,species,pyramidata,Sequoia,,Carrière,,"Traité Gén. Conif. ed. 2: 211 1867",,,,,263738-1,wfo-0000437888,3610685,
64da1a9e-8fcc-11eb-924d-9cd76263cbd0,species,rafinesquei,Sequoia,,Carrière,,"Traité Gén. Conif. ed. 2: 213 1867",,,,,263739-1,wfo-0000437886,2685798,
64d7ff2a-8fcc-11eb-924d-9cd76263cbd0,species,religiosa,Sequoia,,C.Presl,,"Epimel. Bot. 237 1851",,,,,263740-1,wfo-0000437870,2683913,
64d81be0-8fcc-11eb-924d-9cd76263cbd0,species,sempervirens,Sequoia,,"(D.Don) Endl.",,"Syn. Conif. 198 1847",,,,,263741-1,wfo-0000437871,2683909,
73e7be50-8fcd-11eb-924d-9cd76263cbd0,form,adpressa,Sequoia,sempervirens,"(Carrière) Beissn.",,"Handb. Conif. 21 1887",,,,,,wfo-0000918980,7674430,
73e7a262-8fcd-11eb-924d-9cd76263cbd0,variety,adpressa,Sequoia,sempervirens,Carrière,,"Traité Gén. Conif. ed. 2: 211 1867",,,,,,wfo-0000918979,7674430,
73e7dc46-8fcd-11eb-924d-9cd76263cbd0,variety,albospica,Sequoia,sempervirens,G.Nicholson,,"Ill. Dict. Gard. 3: 422 1887",,,,,,wfo-0000918981,8392354,
73e84ec4-8fcd-11eb-924d-9cd76263cbd0,form,glauca,Sequoia,sempervirens,"(R.Sm.) Rehder",,"Bibl. Cult. Trees 41 1949",,,,,,wfo-0000918985,8344382,
73e7f96a-8fcd-11eb-924d-9cd76263cbd0,variety,glauca,Sequoia,sempervirens,R.Sm.,,"Pl. Fir Tribe 41 1874",,,,,,wfo-0000918982,8344382,
156a5540-8fcd-11eb-924d-9cd76263cbd0,variety,nana-pendula,Sequoia,sempervirens,Hornibr.,,"Dwarf Conifers 156 1923",,,,,,wfo-0000737239,7988998,
73e88920-8fcd-11eb-924d-9cd76263cbd0,variety,pendula,Sequoia,sempervirens,"(Rovelli) C.K.Schneid.",,"Uns. Freil.-Nadelhölzer 272 1913",,,,,,wfo-0000918987,7514547,
73e869ea-8fcd-11eb-924d-9cd76263cbd0,form,pendula,Sequoia,sempervirens,"(Rovelli) Rehder",,"Bibl. Cult. Trees 41 1949",,,,,,wfo-0000918986,6712634,
64d838dc-8fcc-11eb-924d-9cd76263cbd0,species,taxifolia,Sequoia,,K.Koch,,"Dendrologie 2(2): 194 1873",,,,,263742-1,wfo-0000437872,3610734,
64d853bc-8fcc-11eb-924d-9cd76263cbd0,species,washingtoniana,Sequoia,,Sudw.,,"Bull. Div. Forest. U.S.D.A. 14: 61 1897",,,,,,wfo-0000437873,2684126,
64d9be00-8fcc-11eb-924d-9cd76263cbd0,species,wellingtonia,Sequoia,,Seem.,,"Bonplandia (Hannover) 3: 27 1855",,,,,30069209-2,wfo-0000437883,6420734,
156a7340-8fcd-11eb-924d-9cd76263cbd0,variety,pendula,Sequoia,wellingtonia,"(Briolay-Goiffon ex Carrière) A.H.Kent",,"Man. Conif. new ed.: 275 1900",,,,,,wfo-0000737240,8125077,
