id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ea69709c-8fd1-11eb-924d-9cd76263cbd0,genus,Sinoarundinaria,,,Ohwi,,1931,,"Fl. Austro-Higo. : 86 (1931)",,,,,,urn:lsid:ipni.org:names:19017-1,wfo-4000035439,4572091,,
ba879f16-8fd1-11eb-924d-9cd76263cbd0,species,edulis,Sinoarundinaria,,"(Carrière) Ohwi ex Mayeb.",0,1931,,"Fl. Austro-Higo. 86 1931",,,,c8bff348-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001243935,7553153,,
ba87c4b4-8fd1-11eb-924d-9cd76263cbd0,species,formosa,Sinoarundinaria,,"(Hayata) Ohwi ex Mayeb.",0,1931,,"Fl. Austro-Higo. 86 1931",,,,,,,wfo-0001243936,7523390,,
6370b20c-8fcd-11eb-924d-9cd76263cbd0,species,henonis,Sinoarundinaria,,"(Bean) Ohwi",0,1931,,"Fl. Austro-Higo. 86 1931",,,,4ba7ea3c-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000899902,,,
ba87e0e8-8fd1-11eb-924d-9cd76263cbd0,species,lithophila,Sinoarundinaria,,"(Hayata) Ohwi ex Mayeb.",0,1931,,"Fl. Austro-Higo. 86 1931",,,,,,,wfo-0001243937,8055271,,
ba88187e-8fd1-11eb-924d-9cd76263cbd0,species,nigra,Sinoarundinaria,,"(Lodd. ex Lindl.) Ohwi ex Mayeb.",0,1931,,"Fl. Austro-Higo. 86 1931",,,,4bb7c9d4-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001243939,7728557,,
636cc71e-8fcd-11eb-924d-9cd76263cbd0,variety,bicolor,Sinoarundinaria,pubescens,Nakai,0,1942,,"Tennenkinen-butsu-chosahakoku 19: 36 1942",,,,,,urn:lsid:ipni.org:names:50972226-1,wfo-0000899879,5941821,,
636c744e-8fcd-11eb-924d-9cd76263cbd0,form,nabeshimana,Sinoarundinaria,pubescens,Muroi,0,1941,,"Hyogo-ken J. Nat. Hist. 7: 362 1941",,,,,,urn:lsid:ipni.org:names:50957817-1,wfo-0000899877,5941803,,
ba8833ae-8fd1-11eb-924d-9cd76263cbd0,species,reticulata,Sinoarundinaria,,"Ohwi ex Mayeb.",0,1931,,"Fl. Austro-Higo. 70 1931",,,,,,,wfo-0001243940,7635495,,
db5b7e64-8fcd-11eb-924d-9cd76263cbd0,species,aquatica,Sinobacopa,,D.Y.Hong,0,1987,,"Acta Phytotax. Sin. 25: 295 (1987)",,,Q5656885,,,urn:lsid:ipni.org:names:933220-1,wfo-0001139975,3732320,,
