id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ea8331da-8fd1-11eb-924d-9cd76263cbd0,genus,Solms-laubachia,,,Muschl.,0,1912,,"Notes Roy. Bot. Gard. Edinburgh 5: 205 (1912)",,Q102419149,,,,urn:lsid:ipni.org:names:13055-1,wfo-4000035742,3044438,,
af295dde-8fcd-11eb-924d-9cd76263cbd0,species,albiflora,Solms-laubachia,,"(T.Anderson) D.A.German & Al-Shehbaz",0,2010,,"Nordic J. Bot. 28: 649 (2010)",,Q54616823,,,,urn:lsid:ipni.org:names:77109911-1,wfo-0001041836,8397098,,
d411268c-8fd1-11eb-924d-9cd76263cbd0,species,angustifolia,Solms-laubachia,,"J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 532 (2008)",,Q55791309,Q2530335,,,urn:lsid:ipni.org:names:77098714-1,wfo-0001285510,3044530,,
d411c6fa-8fd1-11eb-924d-9cd76263cbd0,species,baiogoinensis,Solms-laubachia,,"(K.C.Kuan & C.H.An) J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 532 (2008)",,Q55791309,Q2530335,,,urn:lsid:ipni.org:names:77098715-1,wfo-0001285511,3044445,,
d41211c8-8fd1-11eb-924d-9cd76263cbd0,species,calcicola,Solms-laubachia,,"J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 532 (2008)",,Q55791309,Q2530335,,,urn:lsid:ipni.org:names:77098716-1,wfo-0001285512,3044531,,
bdb64a8e-8fd1-11eb-924d-9cd76263cbd0,species,carnosifolia,Solms-laubachia,,C.H.An,0,1998,,"Fl. Xinjiangensis 2(1): 377 (1995)",,,,,,urn:lsid:ipni.org:names:995671-1,wfo-0001249783,3043090,,
acaf5154-8fd1-11eb-924d-9cd76263cbd0,species,ciliaris,Solms-laubachia,,"(Bureau & Franch.) Botsch.",0,1955,,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 17: 169 (1955)",,,Q5732625,acb4f942-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:289919-1,wfo-0001218523,3044527,,
ad7caa22-8fcd-11eb-924d-9cd76263cbd0,species,dolicocarpa,Solms-laubachia,,"Y.Z.Lan & T.Y.Cheo",0,1981,,"Acta Phytotax. Sin. 19: 477 (1981)",,,,,,urn:lsid:ipni.org:names:898778-1,wfo-0001037986,3044509,,
acad66fa-8fd1-11eb-924d-9cd76263cbd0,species,eurycarpa,Solms-laubachia,,"(Maxim.) Botsch.",0,1955,,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 17: 169 (1955)",,,Q5732625,acbba6ca-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:289920-1,wfo-0001218509,3044507,,
acadd31a-8fd1-11eb-924d-9cd76263cbd0,variety,brevistipes,Solms-laubachia,eurycarpa,"Y.Z.Lan & T.Y.Cheo",0,1981,,"Acta Phytotax. Sin. 19(4): 476. 1981 [18 Nov 1981]",,,,,,urn:lsid:ipni.org:names:916649-1,wfo-0001218511,3044512,,
ffcbcf8a-1d4c-11ec-82c2-f14daa6f2d93,variety,eurycarpa,Solms-laubachia,eurycarpa,,,,,,,,,,,,wfo-0001218510,,,
be45fc38-8fd1-11eb-924d-9cd76263cbd0,variety,lasiophylla,Solms-laubachia,eurycarpa,R.F.Huang,0,1997,,"Fl. Qinghaiica 1: 510 (1997).",,,,,,urn:lsid:ipni.org:names:1003923-1,wfo-0001250835,3691325,,
d4123aa4-8fd1-11eb-924d-9cd76263cbd0,species,flabellata,Solms-laubachia,,"(Regel) J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 533 (2008)",,Q55791309,Q2530335,acb99484-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77098717-1,wfo-0001285513,3044482,,
acad2884-8fd1-11eb-924d-9cd76263cbd0,species,floribunda,Solms-laubachia,,"Y.Z.Lan & T.Y.Cheo",0,1981,,"Acta Phytotax. Sin. 19: 475 (1981)",,,,,,urn:lsid:ipni.org:names:898779-1,wfo-0001218507,3044529,,
c30b1532-8fd1-11eb-924d-9cd76263cbd0,species,gamosepala,Solms-laubachia,,"Al-Shehbaz & G.Yang",0,2001,,"Harvard Pap. Bot. 5: 380 (2001)",,Q95389047,,,,urn:lsid:ipni.org:names:1020902-1,wfo-0001259778,3044508,,
acaf6c48-8fd1-11eb-924d-9cd76263cbd0,species,glabra,Solms-laubachia,,"Y.Z.Lan & T.Y.Cheo",0,,,,,,,,,,wfo-0001218524,7938073,,
d4125d86-8fd1-11eb-924d-9cd76263cbd0,species,grandiflora,Solms-laubachia,,"J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 533 (2008)",,Q55791309,Q2530335,,,urn:lsid:ipni.org:names:77098718-1,wfo-0001285514,3044448,,
d4128342-8fd1-11eb-924d-9cd76263cbd0,species,haranensis,Solms-laubachia,,"(Al-Shehbaz) J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 534 (2008)",,Q55791309,Q2530335,df4ac652-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77098719-1,wfo-0001285515,3044532,,
d412a7fa-8fd1-11eb-924d-9cd76263cbd0,species,himalayensis,Solms-laubachia,,"(Cambess.) J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 534 (2008)",,Q55791309,Q2530335,,,urn:lsid:ipni.org:names:77098720-1,wfo-0001285516,3044489,,
d412cf64-8fd1-11eb-924d-9cd76263cbd0,species,incana,Solms-laubachia,,"(Ovcz.) J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 534 (2008)",,Q55791309,Q2530335,c902ebf4-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77098721-1,wfo-0001285517,3044449,,
d412f1b0-8fd1-11eb-924d-9cd76263cbd0,species,jafrii,Solms-laubachia,,"(Al-Shehbaz) J.P.Yue, Al-Shehbaz & H.Sun",0,2008,,"Ann. Missouri Bot. Gard. 95: 534 (2008)",,Q55791309,Q2530335,c4646348-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77098722-1,wfo-0001285518,3044535,,
ae95bd86-8fcd-11eb-924d-9cd76263cbd0,species,kashgarica,Solms-laubachia,,"(Botsch.) D.A.German & Al-Shehbaz",0,2010,,"Nordic J. Bot. 28: 649 (2010)",,Q54616823,,acb44f9c-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77109912-1,wfo-0001040516,8384966,,
