id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ea865c52-8fd1-11eb-924d-9cd76263cbd0,genus,Sophiopsis,,,O.E.Schulz,Q2598714,1924,,"Pflanzenr. IV. 105(Heft 86): 346. 1924. (22 Jul 1924)",,,,,,,wfo-4000035776,3046623,,
ac6c83f6-8fd1-11eb-924d-9cd76263cbd0,species,annua,Sophiopsis,,"(Rupr.) O.E.Schulz","Q62887,Q2598714",1924,,"Pflanzenr. 86(IV. 105): 347 1924",,,,acac6002-8fd1-11eb-924d-9cd76263cbd0,,289970-1,wfo-0001218040,3045513,,
c4a2fbb2-8fd1-11eb-924d-9cd76263cbd0,variety,fontinalis,Sophiopsis,annua,O.E.Schulz,Q2598714,,,,,,,,,,wfo-0001262597,7368262,,
ad21ead8-8fcd-11eb-924d-9cd76263cbd0,species,flavissima,Sophiopsis,,"(Kar. & Kir.) O.E.Schulz","Q2386863,Q4221435,Q2598714",1924,,"Opred. Viss. Rast. Baskirsk. ASSR IV–105(86): 348 1924",,,,acbd122a-8fcd-11eb-924d-9cd76263cbd0,,289971-1,wfo-0001037175,3045595,,
60a3cd9e-8fcc-11eb-924d-9cd76263cbd0,species,micrantha,Sophiopsis,,"Botsch. & Vved.","Q2546434,Q2754924",1952,,"Bot. Mater. Gerb. Inst. Bot. Zool. Akad. Nauk Uzbeksk. S.S.R. 13: 9 1952",,,,,,289972-1,wfo-0000432121,3045587,,
ad2261de-8fcd-11eb-924d-9cd76263cbd0,species,mongolica,Sophiopsis,,"(Kom.) N.Busch","Q1319463,Q2001947",1939,,"Fl. Uzbekistan. 8: 87 1939",,,,,,,wfo-0001037179,3045590,,
ac6ca2c8-8fd1-11eb-924d-9cd76263cbd0,species,sisymbrioides,Sophiopsis,,"(Regel & Herder) O.E.Schulz","Q62989,Q1348727,Q2598714",1924,,"Pflanzenr. 86(IV. 105): 346 1924",,,,ac9dd046-8fd1-11eb-924d-9cd76263cbd0,,289974-1,wfo-0001218041,3045539,,
acaf880e-8fd1-11eb-924d-9cd76263cbd0,species,sisymbrium,Sophiopsis,,O.E.Schulz,Q2598714,1924,,"Pflanzenr. 86(4. 105): 346, f. 70 A–F 1924",,,,,,,wfo-0001218525,8150607,,
88e55b92-8fcc-11eb-924d-9cd76263cbd0,species,apophysata,Sophoclesia,,Griseb.,Q76351,1859,,"Fl. Brit. W. I. 143 1859",,,,,,858673-1,wfo-0000499609,4171216,,
88e576e0-8fcc-11eb-924d-9cd76263cbd0,species,cordifolia,Sophoclesia,,"(Benth.) Klotzsch","Q731808,Q67003",1851,,"Linnaea 24: 29 1851",,,,,,858674-1,wfo-0000499610,7328458,,
b44f2362-8fd1-11eb-924d-9cd76263cbd0,variety,muscicola,Sophoclesia,cordifolia,"(Hook.) Kuntze","Q472639,Q62853",1891,,"Revis. Gen. Pl. 2: 384 1891",,,,b1e50e2e-8fcd-11eb-924d-9cd76263cbd0,,240739-2,wfo-0001232438,4171201,,
b181ffa0-8fcd-11eb-924d-9cd76263cbd0,variety,normalis,Sophoclesia,cordifolia,Kuntze,Q62853,1891,,"Revis. Gen. Pl. 2: 384 1891",,,,,,240740-2,wfo-0001047121,4171194,,
b18219e0-8fcd-11eb-924d-9cd76263cbd0,variety,oophylla,Sophoclesia,cordifolia,Kuntze,Q62853,1891,,"Revis. Gen. Pl. 2: 384 1891",,,,,,240741-2,wfo-0001047122,4171186,,
b1823a74-8fcd-11eb-924d-9cd76263cbd0,species,domingensis,Sophoclesia,,"Urb. & Ekman","Q64845,Q541549",1927,,"Ark. Bot. 21A(5): 54 1927",,,,,,240742-2,wfo-0001047123,4171173,,
b1825d06-8fcd-11eb-924d-9cd76263cbd0,species,flaccida,Sophoclesia,,Seem.,Q64899,1854,,"Bot. Voy. Herald 164 1854",,,,,,333790-1,wfo-0001047124,4171166,,
b170c08c-8fcd-11eb-924d-9cd76263cbd0,species,grandifolia,Sophoclesia,,Hoerold,Q21340595,1909,,"Bot. Jahrb. Syst. 42: 333 1909",,,,,,240743-2,wfo-0001046967,4171156,,
88e70c44-8fcc-11eb-924d-9cd76263cbd0,species,klotzschiana,Sophoclesia,,Mansf.,Q1870718,1925,,"Notizbl. Bot. Gart. Berlin-Dahlem 9: 441 1925",,Q55777054,,,,240744-2,wfo-0000499623,4171145,,
88e743e4-8fcc-11eb-924d-9cd76263cbd0,species,major,Sophoclesia,,"(Griseb.) Benth. & Hook.f. ex B.D.Jacks.","Q76351,Q731808,Q157501,Q817450",1895,,"Index Kew. 2: 947 1895",,,,c297ca14-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000499625,7689321,,
88e75e38-8fcc-11eb-924d-9cd76263cbd0,species,mirandensis,Sophoclesia,,"S.F.Blake ex Knuth","Q2332170,Q90095",1927,,"Repert. Spec. Nov. Regni Veg. Beih. 43: 551 1927",,,,,,333793-1,wfo-0000499626,8500614,,
b44f3f64-8fd1-11eb-924d-9cd76263cbd0,species,muscicola,Sophoclesia,,"(Hook.) Hoerold","Q472639,Q21340595",1909,,"Bot. Jahrb. Syst. 42: 281 1909",,,,b1e50e2e-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001232439,7734617,,
88e77b02-8fcc-11eb-924d-9cd76263cbd0,species,nummulariifolia,Sophoclesia,,Klotzsch,Q67003,1851,,"Linnaea 24: 30 1851",,,,,,858676-1,wfo-0000499627,4171120,,
88e79484-8fcc-11eb-924d-9cd76263cbd0,species,ovata,Sophoclesia,,Klotzsch,Q67003,1851,,"Linnaea 24: 30 1851",,,,,,858677-1,wfo-0000499628,4171111,,
b182799e-8fcd-11eb-924d-9cd76263cbd0,species,robusta,Sophoclesia,,Rusby,Q2611285,1920,,"Descr. S. Amer. Pl. 77 1920",,,,,,240745-2,wfo-0001047126,4171100,,
b170dcd4-8fcd-11eb-924d-9cd76263cbd0,species,sodiroi,Sophoclesia,,Hoerold,Q21340595,1909,,"Bot. Jahrb. Syst. 42: 333 1909",,,,,,240746-2,wfo-0001046968,4171085,,
88e7aed8-8fcc-11eb-924d-9cd76263cbd0,species,subscandens,Sophoclesia,,Klotzsch,Q67003,1851,,"Linnaea 24: 30 1851",,,,,,858678-1,wfo-0000499629,4171077,,
b18296d6-8fcd-11eb-924d-9cd76263cbd0,species,trinitensis,Sophoclesia,,Britton,Q553714,1921,,"Bull. Torrey Bot. Club 48(12): 335 1921",,Q55767160,,,,240747-2,wfo-0001047127,4171065,,
b170f930-8fcd-11eb-924d-9cd76263cbd0,species,weberbauerii,Sophoclesia,,Hoerold,Q21340595,1909,,"Bot. Jahrb. Syst. 42: 334 1909",,,,,,240748-2,wfo-0001046969,,,
