id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ea893698-8fd1-11eb-924d-9cd76263cbd0,genus,Sorocephalus,,,R.Br.,1811,"Trans. Linn. Soc. London 10: 139. 1811[1810].",,,,,331973-2,wfo-4000035810,7287201,
cbfd611c-8fcd-11eb-924d-9cd76263cbd0,species,alopecurus,Sorocephalus,,Rourke,1969,"J. S. African Bot., Suppl. Vol. 7: 24 1969",,,,,706679-1,wfo-0001106526,3996137,
cbfd7d28-8fcd-11eb-924d-9cd76263cbd0,species,capitatus,Sorocephalus,,Rourke,1969,"J. S. African Bot. Suppl 40 (1969). 1969",,,,,706680-1,wfo-0001106527,3996131,
cbfd96be-8fcd-11eb-924d-9cd76263cbd0,species,claviger,Sorocephalus,,"(Knight) Hutch.",1912,"Fl. Cap. 5(1): 705 1912",,,,,706681-1,wfo-0001106528,3996122,
cbfdcb52-8fcd-11eb-924d-9cd76263cbd0,species,crassifolius,Sorocephalus,,Hutch.,,,,,,,,wfo-0001106530,3996118,
cc01d6e8-8fcd-11eb-924d-9cd76263cbd0,species,diversifolius,Sorocephalus,,R.Br.,1810,"Philos. Mag. J. x: 143 1810 1810",,,,,706683-1,wfo-0001106562,8365532,
8c3dbdc0-8fcc-11eb-924d-9cd76263cbd0,species,dregei,Sorocephalus,,"H.Buek ex Drège",1843,"Zwei Pflanzengeogr. Dokum. 117, 222 1843",,,,,,wfo-0000504794,8319466,
cbfe8fc4-8fcd-11eb-924d-9cd76263cbd0,species,imberbis,Sorocephalus,,R.Br.,1810,"Philos. Mag. J. x: 140 1810 1810",,,,,706687-1,wfo-0001106537,3996086,
cbfde9ca-8fcd-11eb-924d-9cd76263cbd0,species,imbricatus,Sorocephalus,,"(Thunb.) R.Br.",1810,"Trans. Linn. Soc. London 10: 139 1810",,,,90b85090-8fcc-11eb-924d-9cd76263cbd0,,wfo-0001106531,3996083,
8c3e1996-8fcc-11eb-924d-9cd76263cbd0,species,intermedius,Sorocephalus,,"H.Buek ex Meisn.",1856,"Prodr. 14: 305 1856",,,,,706689-1,wfo-0000504797,3996076,
cbfe0608-8fcd-11eb-924d-9cd76263cbd0,species,lanatus,Sorocephalus,,R.Br.,1810,"Philos. Mag. J. x: 142 1810 1810",,,,,706690-1,wfo-0001106532,3996071,
cbfeaa5e-8fcd-11eb-924d-9cd76263cbd0,species,longifolius,Sorocephalus,,Phillips,,,,,,,,wfo-0001106538,3996065,
8c3dddd2-8fcc-11eb-924d-9cd76263cbd0,species,nivalis,Sorocephalus,,"Mund ex Meisn.",1856,"Prodr. 14: 304 1856",,,,,706692-1,wfo-0000504795,3996060,
cbfe582e-8fcd-11eb-924d-9cd76263cbd0,species,palustris,Sorocephalus,,Rourke,1969,"J. S. African Bot. Suppl 31 (1969). 1969",,,,,706693-1,wfo-0001106535,3996055,
cbfe226e-8fcd-11eb-924d-9cd76263cbd0,species,phylicoides,Sorocephalus,,Meisn.,,,,,,,,wfo-0001106533,3996049,
cbfe734a-8fcd-11eb-924d-9cd76263cbd0,species,pinifolius,Sorocephalus,,Rourke,1969,"J. S. African Bot. Suppl 23 (1969). 1969",,,,,706695-1,wfo-0001106536,3996042,
cbfdb248-8fcd-11eb-924d-9cd76263cbd0,species,rupestris,Sorocephalus,,Phillips,,,,,,,,wfo-0001106529,3996036,
cc12a716-8fcd-11eb-924d-9cd76263cbd0,species,salsoloides,Sorocephalus,,R.Br.,1810,"Philos. Mag. J. x: 140 1810 1810",,,,,706697-1,wfo-0001106712,3996032,
cbfec462-8fcd-11eb-924d-9cd76263cbd0,species,scabridus,Sorocephalus,,Meisn.,,,,,,,,wfo-0001106539,3996027,
cbfe3c72-8fcd-11eb-924d-9cd76263cbd0,species,schlechteri,Sorocephalus,,Phillips,,,,,,,,wfo-0001106534,3996021,
8c47e660-8fcc-11eb-924d-9cd76263cbd0,species,setaceus,Sorocephalus,,R.Br.,1810,"Trans. Linn. Soc. London 10: 140 1810",,,,,706700-1,wfo-0000504865,3996014,
cc13301e-8fcd-11eb-924d-9cd76263cbd0,species,spatalloides,Sorocephalus,,R.Br.,1810,"Philos. Mag. J. x: 141 1810 1810",,,,,706701-1,wfo-0001106717,8170755,
8c47aa60-8fcc-11eb-924d-9cd76263cbd0,species,tenuifolius,Sorocephalus,,"(Knight) R.Br.",1810,"Trans. Linn. Soc. London 10: 141 1810",,,,,706703-1,wfo-0000504863,3995994,
cbfee12c-8fcd-11eb-924d-9cd76263cbd0,species,teretifolius,Sorocephalus,,Philllips,1911,"Bull. Misc. Inform. Kew 1911: 85–86 1911",,,,,,wfo-0001106540,3995989,
8c4761fe-8fcc-11eb-924d-9cd76263cbd0,species,tulbaghensis,Sorocephalus,,E.Phillips,1911,"Bull. Misc. Inform. Kew 1911: 86 1911",,,,,706705-1,wfo-0000504861,3995979,
8c482058-8fcc-11eb-924d-9cd76263cbd0,species,verticillatus,Sorocephalus,,"Roem. & Schult.",1818,"Syst. Veg. 3: 391 1818",,,,,706706-1,wfo-0000504867,3995974,
