id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a569a560-9bad-11eb-a8a2-19ed5c03f8d3,genus,Sorosphaera,,,"J. Schröt.",,1886,,"in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(18): 135 (1886)",,,,a569a560-9bad-11eb-a8a2-19ed5c03f8d3,,,,,12226," "
5c4e8ff8-9bad-11eb-a8a2-19ed5c03f8d3,species,graminis,Sorosphaera,,Schwartz,0,,,,,,,5c4e8ff8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,456018," "
8b8faea6-9bac-11eb-a8a2-19ed5c03f8d3,species,junci,Sorosphaera,,Schwartz,0,1910,,"Ann. Bot., Lond. 24: 512 (1910)",,,,8b8faea6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,194286," "
e27fd344-9bac-11eb-a8a2-19ed5c03f8d3,species,radicalis,Sorosphaera,,"Ivimey Cook & Schwartz",0,,,,,,,e27fd344-9bac-11eb-a8a2-19ed5c03f8d3,,,,,276025," "
0db21578-9bac-11eb-a8a2-19ed5c03f8d3,species,ulei,Sorosphaera,,"(J. Schröt.) Liro",0,,,,,,,182f3e54-9bac-11eb-a8a2-19ed5c03f8d3,,,,,280948," "
8eeadeb8-9bac-11eb-a8a2-19ed5c03f8d3,species,urticae,Sorosphaera,,Naumov,,,,,,,,8eeadeb8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,306009," "
5c4ed0f8-9bad-11eb-a8a2-19ed5c03f8d3,species,vasculorum,Sorosphaera,,"(Matz) M.T. Cook",,,invalid,,,,,75849014-9bab-11eb-a8a2-19ed5c03f8d3,,,,,456019,"Nom. inval., Art. 34.1(b) "
8ba9eca8-9bac-11eb-a8a2-19ed5c03f8d3,species,veronicae,Sorosphaera,,"J. Schröt.",,1886,,"in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(18): 135 (1886)",,,,8ba9eca8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,194441," "
d3c7bb32-9bac-11eb-a8a2-19ed5c03f8d3,species,verrucosa,Sorosphaera,,"(Maire & A. Tison) Jacz.",0,,,,,,,7b329ea6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255357," "
3d12a4f4-9bac-11eb-a8a2-19ed5c03f8d3,species,viticola,Sorosphaera,,"Kirchm., Neuh. & L. Huber",,2005,,"Sydowia 57(2): 225 (2005)",,,Q15816855,3d12a4f4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,357075," "
