id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a56fcbac-9bad-11eb-a8a2-19ed5c03f8d3,genus,Steccherinum,,,Gray,Q540667,1821,,"Nat. Arr. Brit. Pl. (London) 1: 597, 651 (1821)",,,,a56fcbac-9bad-11eb-a8a2-19ed5c03f8d3,,,,,18582," "
4bfcb388-9bac-11eb-a8a2-19ed5c03f8d3,species,adustulum,Steccherinum,,Banker,,1906,,"Mem. Torrey bot. Club 12: 133 (1906)",,,,4bfcb388-9bac-11eb-a8a2-19ed5c03f8d3,,,,,223369," "
2c8c6458-9bac-11eb-a8a2-19ed5c03f8d3,species,adustum,Steccherinum,,"(Schwein.) Z.S. Bi & G.Y. Zheng",Q1822110,1984,invalid,"in Wang, Bi, Zheng, Liang, Li, Li, Lian & Zheng, Tropical and Subtropical Forest Ecosystem, Guangzhou 2: 55 (1984)",,,,cb3a6e38-9bac-11eb-a8a2-19ed5c03f8d3,,,,,114175,"Nom. inval., Art. 33.3 "
ba05d6b6-9bac-11eb-a8a2-19ed5c03f8d3,species,agaricoides,Steccherinum,,"(Sw.) Banker",Q632088,1906,,"Mem. Torrey bot. Club 12: 130 (1906)",,,,cafa2404-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503749," "
39e9debe-9bac-11eb-a8a2-19ed5c03f8d3,species,aggregatum,Steccherinum,,"Hjortstam & Spooner",,1990,,"in Hjortstam, Spooner & Oldridge, Kew Bull. 45(2): 311 (1990)",,,,39e9debe-9bac-11eb-a8a2-19ed5c03f8d3,,,,,132795," "
2c53bdf6-9bac-11eb-a8a2-19ed5c03f8d3,species,alaskense,Steccherinum,,"Lindsey & Gilb.",Q16019060,,,"Mycologia 71(6): 1264 (1980)",,,,2c53bdf6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,113840," "
c727b620-9bac-11eb-a8a2-19ed5c03f8d3,species,albidum,Steccherinum,,"Legon & P. Roberts",,2002,,"Czech Mycol. 54(1-2): 7 (2002)",,,,c727b620-9bac-11eb-a8a2-19ed5c03f8d3,,,,,373455," "
ae18d910-9bad-11eb-a8a2-19ed5c03f8d3,species,albofibrillosum,Steccherinum,,"(Hjortstam & Ryvarden) Hallenb. & Hjortstam",Q4567813,1988,,"Mycotaxon 31(2): 443 (1988)",,,,3e00eeec-9bad-11eb-a8a2-19ed5c03f8d3,,,,,133859," "
c6a79742-9bac-11eb-a8a2-19ed5c03f8d3,species,aridum,Steccherinum,,Svrcek,,1973,,"Ceská Mykol. 27(4): 205 (1973)",,,,c6a79742-9bac-11eb-a8a2-19ed5c03f8d3,,,,,324022," "
c5cde934-9bac-11eb-a8a2-19ed5c03f8d3,species,ballouii,Steccherinum,,Banker,,1909,,"Bull. Torrey bot. Club 36: 341 (1909)",,,,c5cde934-9bac-11eb-a8a2-19ed5c03f8d3,,,,,223223," "
4bdb1228-9bac-11eb-a8a2-19ed5c03f8d3,species,basibadium,Steccherinum,,Banker,,1912,,"Mycologia 4(6): 314 (1912)",,,,4bdb1228-9bac-11eb-a8a2-19ed5c03f8d3,,,,,223138," "
3b15c974-9bac-11eb-a8a2-19ed5c03f8d3,species,bourdotii,Steccherinum,,"Saliba & A. David",,1988,,"Cryptog. Mycol. 9(2): 100 (1988)",,,,3b15c974-9bac-11eb-a8a2-19ed5c03f8d3,,,,,134058," "
3fa40dde-9bac-11eb-a8a2-19ed5c03f8d3,species,ciliolatum,Steccherinum,,"(Berk. & M.A. Curtis) Gilb. & Budington","Q662338,Q16019060",1970,,"J. Ariz. Acad. Sci. 6(2): 97 (1970)",,,,7f0155bc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,283706," "
2584ab38-9bad-11eb-a8a2-19ed5c03f8d3,species,cirrhatum,Steccherinum,,"(Pers.) Teng",Q346451,1963,,"Chung-kuo Ti Chen-chun, [Fungi of China] 763 (1963)",,,,30cab2b8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,339621," "
5436f7c4-9bad-11eb-a8a2-19ed5c03f8d3,species,collabens,Steccherinum,,"(Fr.) Vesterh.",Q15405,1996,,"in Knudsen & Hansen, Nordic Jl Bot. 16(2): 214 (1996)",,,,667ce516-9bac-11eb-a8a2-19ed5c03f8d3,,,,,436329," "
03da77b0-9bad-11eb-a8a2-19ed5c03f8d3,species,conchiforme,Steccherinum,,"(Sacc.) Hjortstam",Q707840,1990,,"Mycotaxon 39: 417 (1990)",,,,903ae6dc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,127329," "
c6a84a20-9bac-11eb-a8a2-19ed5c03f8d3,species,confragosum,Steccherinum,,"Maas Geest. & Lanq.",Q7377389,1975,,"Persoonia 8(2): 149 (1975)",,,,c6a84a20-9bac-11eb-a8a2-19ed5c03f8d3,,,,,324023," "
8297f67c-9bad-11eb-a8a2-19ed5c03f8d3,species,corneum,Steccherinum,,"(Pilát) Parmasto",,1968,,"Consp. System. Corticiac. (Tartu) 173 (1968)",,,,bc2749fc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,339622," "
a0e53d92-9bad-11eb-a8a2-19ed5c03f8d3,species,crassiusculum,Steccherinum,,"K.A. Harrison",,,,"Can. J. Bot. 42: 1207 (1964)",,,,a0e53d92-9bad-11eb-a8a2-19ed5c03f8d3,,,,,339623," "
6e7d37ca-9bac-11eb-a8a2-19ed5c03f8d3,species,cremeoalbum,Steccherinum,,Hjortstam,,1984,,"Mycotaxon 19: 507 (1984)",,,,6e7d37ca-9bac-11eb-a8a2-19ed5c03f8d3,,,,,107317," "
5f8ec2fa-9bad-11eb-a8a2-19ed5c03f8d3,species,diversum,Steccherinum,,"Hjortstam & Melo",Q11017279,1999,,"in Hjortstam, Kew Bull. 54(3): 756 (1999)",,,,5f8ec2fa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,460972," "
c6a8b546-9bac-11eb-a8a2-19ed5c03f8d3,species,ethiopicum,Steccherinum,,"Maas Geest.",Q7377389,1974,,"Persoonia 7(4): 508 (1974)",,,,c6a8b546-9bac-11eb-a8a2-19ed5c03f8d3,,,,,324024," "
010e7f5e-9bad-11eb-a8a2-19ed5c03f8d3,species,fimbriatum,Steccherinum,,"(Pers.) J. Erikss.",Q346451,1958,,"Symb. bot. upsal. 16(no. 1): 134 (1958)",,,,30f275d2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,306415," "
010ee778-9bad-11eb-a8a2-19ed5c03f8d3,species,fistulatum,Steccherinum,,"G. Cunn.",,1958,,"Trans. Roy. Soc. New Zealand 85(4): 598 (1958)",,,,010ee778-9bad-11eb-a8a2-19ed5c03f8d3,,,,,306416," "
c6a8fd80-9bac-11eb-a8a2-19ed5c03f8d3,species,fuscoatrum,Steccherinum,,"(Fr.) Gilb.","Q15405,Q16019060",1971,,"Evol. high. Basidiom. 294 (1971)",,,,782006d6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,324025," "
166581ae-9bad-11eb-a8a2-19ed5c03f8d3,species,galeritum,Steccherinum,,"Maas Geest.",Q7377389,1974,,"Persoonia 7(4): 510 (1974)",,,,166581ae-9bad-11eb-a8a2-19ed5c03f8d3,,,,,324026," "
384d9104-9bac-11eb-a8a2-19ed5c03f8d3,variety,consolidatum,Steccherinum,galeritum,Corner,Q4233315,1987,,"Beih. Nova Hedwigia 86: 254 (1987)",,,,384d9104-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131284," "
be02268e-9bac-11eb-a8a2-19ed5c03f8d3,variety,galeritum,Steccherinum,galeritum,"Maas Geest.",Q7377389,1974,,"Persoonia 7(4): 510 (1974)",,,,be02268e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,419089," "
384dd3c6-9bac-11eb-a8a2-19ed5c03f8d3,variety,hericioides,Steccherinum,galeritum,Corner,Q4233315,1987,,"Beih. Nova Hedwigia 86: 254 (1987)",,,,384dd3c6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131285," "
b15e4afc-9bac-11eb-a8a2-19ed5c03f8d3,species,gelatinosum,Steccherinum,,"(Scop.) Gray","Q84181,Q540667",1821,,"Nat. Arr. Brit. Pl. (London) 1: 651 (1821)",,,,55d58442-9bad-11eb-a8a2-19ed5c03f8d3,,,,,452029," "
1665b516-9bad-11eb-a8a2-19ed5c03f8d3,species,gilvum,Steccherinum,,"Maas Geest.",Q7377389,1974,,"Persoonia 7(4): 512 (1974)",,,,1665b516-9bad-11eb-a8a2-19ed5c03f8d3,,,,,324027," "
a0e9f9a4-9bad-11eb-a8a2-19ed5c03f8d3,species,gracile,Steccherinum,,"(Pilát) Parmasto",,1968,,"Consp. System. Corticiac. (Tartu) 173 (1968)",,,,14c0689c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,339624," "
2584e8fa-9bad-11eb-a8a2-19ed5c03f8d3,species,helvolum,Steccherinum,,"(Zipp. ex Lév.) S. Ito","Q2643365,Q1375120",1955,,"Mycol. Fl. Japan 2(4): 197 (1955)",,,,7c435f20-9bab-11eb-a8a2-19ed5c03f8d3,,,,,339625," "
16675d3a-9bad-11eb-a8a2-19ed5c03f8d3,species,hydneum,Steccherinum,,"Rick ex Maas Geest.",Q7377389,1974,,"Persoonia 7(4): 506 (1974)",,,,16675d3a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,324028," "
010f82aa-9bad-11eb-a8a2-19ed5c03f8d3,species,investiens,Steccherinum,,"(Berk.) Boedijn","Q662338,Q4098011",1951,,"Sydowia 5: 213 (1951)",,,,52ad670e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,306417," "
e7d76e38-9bac-11eb-a8a2-19ed5c03f8d3,species,kavinae,Steccherinum,,"(Pilát) M.P. Christ.",,1960,,"Dansk bot. Ark. 19(no. 2): 328 (1960)",,,,d2525d8e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,283282," "
1667f0d8-9bad-11eb-a8a2-19ed5c03f8d3,species,labeosum,Steccherinum,,"Maas Geest. & Lanq.",Q7377389,1975,,"Persoonia 8(2): 154 (1975)",,,,1667f0d8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,324029," "
5eb1d7be-9bad-11eb-a8a2-19ed5c03f8d3,species,lacteum,Steccherinum,,"(Fr.) Krieglst.",Q15405,1999,illegitimate,"Beitr. Kenntn. Pilze Mitteleur. 12: 45 (1999)",,,,ace3b066-9bac-11eb-a8a2-19ed5c03f8d3,,,,,460193,"Nom. illegit., Art. 52.1 "
