id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eac00768-8fd1-11eb-924d-9cd76263cbd0,genus,Stenanthium,,,"(A.Gray) Kunth",0,1843,,"Enum. Pl. 4: 189 (1843)",,,,,,urn:lsid:ipni.org:names:1154473-2,wfo-4000036464,2741729,,
15fe73b0-8fcd-11eb-924d-9cd76263cbd0,species,angustifolium,Stenanthium,,"(Pursh) Kunth",0,1843,,"Enum. Pl. 4: 190 (1843)",,,,,,urn:lsid:ipni.org:names:1220222-2,wfo-0000738465,2741749,,
16b102dc-8fcd-11eb-924d-9cd76263cbd0,species,densum,Stenanthium,,"(Desr.) Zomlefer & Judd",0,2002,,"Novon 12(2): 304. 2002",,Q55774836,,fcc32e86-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:20006979-1,wfo-0000739953,2741730,,
37d12d98-8fcd-11eb-924d-9cd76263cbd0,species,diffusum,Stenanthium,,Wofford,0,2006,,"Sida 22: 450 (2006)",,,,,,urn:lsid:ipni.org:names:60444380-2,wfo-0000810307,2741757,,
15fe39a4-8fcd-11eb-924d-9cd76263cbd0,species,frigidum,Stenanthium,,"(Schltdl. & Cham.) Kunth",0,1843,,"Enum. Pl. 4: 190 (1843)",,,,1c3e8058-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:1116348-2,wfo-0000738463,2741580,,
15f5f8ca-8fcd-11eb-924d-9cd76263cbd0,species,gramineum,Stenanthium,,Morong,0,1894,,"Mem. Torrey Bot. Club 5: 110 (1894)",,,,,,urn:lsid:ipni.org:names:542046-1,wfo-0000738397,2741746,,
aaf8db56-1d4c-11ec-82c2-f14daa6f2d93,variety,gramineum,Stenanthium,gramineum,,,,,,,,,,,,wfo-0001073184,,,
1d00b70e-8fcd-11eb-924d-9cd76263cbd0,variety,micranthum,Stenanthium,gramineum,Fernald,0,1946,,"Rhodora 48: 148 (1946)",,Q100409989,,,,urn:lsid:ipni.org:names:244542-2,wfo-0000753240,2741752,,
1d0099e0-8fcd-11eb-924d-9cd76263cbd0,variety,robustum,Stenanthium,gramineum,"(S.Watson) Fernald",0,1946,,"Rhodora 48: 148 (1946)",,Q100409989,,15f84e4a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:244544-2,wfo-0000753239,6310782,,
1d00d4a0-8fcd-11eb-924d-9cd76263cbd0,form,robustum,Stenanthium,gramineum,"(S.Watson) E.J.Palmer & Steyerm.",0,1935,,"Ann. Missouri Bot. Gard. 22: 500 (1935)",,Q55764665,Q2530335,15f84e4a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:244543-2,wfo-0000753241,2741748,,
6b61a526-1d4d-11ec-82c2-f14daa6f2d93,variety,typicum,Stenanthium,gramineum,Fernald,,1946,,"Rhodora 48: 151 (1946)",,,,,,urn:lsid:ipni.org:names:244545-2,wfo-0001378014,,,
16b0e770-8fcd-11eb-924d-9cd76263cbd0,species,leimanthoides,Stenanthium,,"(A.Gray) Zomlefer & Judd",0,2002,,"Novon 12(2): 304. 2002",,Q55774836,,2019108a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:20006980-1,wfo-0000739952,2741738,,
15f6205c-8fcd-11eb-924d-9cd76263cbd0,species,occidentale,Stenanthium,,A.Gray,0,1872,,"Proc. Amer. Acad. Arts 8: 405 (1872)",,,,,,urn:lsid:ipni.org:names:244546-2,wfo-0000738398,2741605,,
15f782f8-8fcd-11eb-924d-9cd76263cbd0,species,rhombipetalum,Stenanthium,,Suksd.,0,1923,,"Werdenda 1: 6 (1923)",,,,,,urn:lsid:ipni.org:names:244547-2,wfo-0000738408,2741604,,
15f84e4a-8fcd-11eb-924d-9cd76263cbd0,species,robustum,Stenanthium,,S.Watson,0,1879,,"Proc. Amer. Acad. Arts 14: 278 (1879)",,,,,,urn:lsid:ipni.org:names:542049-1,wfo-0000738415,2741753,,
15f9941c-8fcd-11eb-924d-9cd76263cbd0,species,sachalinense,Stenanthium,,F.Schmidt,0,1868,,"Reis. Amur-Land., Bot. : 188 (1868)",,,,,,urn:lsid:ipni.org:names:542050-1,wfo-0000738426,2741642,,
57246634-1d4d-11ec-82c2-f14daa6f2d93,species,sachalinensis,Stenanthium,,Schmidt,,,,,,,,,,urn:lsid:ipni.org:names:1170253-2,wfo-0001349888,,,
83687bfe-1d4d-11ec-82c2-f14daa6f2d93,species,texanum,Stenanthium,,"(Bush) Sorrie & Weakley",,2018,,"J. Bot. Res. Inst. Texas 12: 56 (2018)",,,,,,urn:lsid:ipni.org:names:77191660-1,wfo-0001427423,,,
b563e0da-8fd1-11eb-924d-9cd76263cbd0,species,heterophyllus,Stenanthus,,"Oerst. ex Hanst.",0,1853,,"Linnaea 26: 209 (1854)",,,,,,urn:lsid:ipni.org:names:382848-1,wfo-0001234432,5591587,,
872a3b42-8fcc-11eb-924d-9cd76263cbd0,species,sanguinolentus,Stenanthus,,"Klotzsch ex Oerst.",0,1858,,"Centralamer. Gesner. 49. 1858",,,,,,urn:lsid:ipni.org:names:244551-2,wfo-0000496823,5591580,,
87293878-8fcc-11eb-924d-9cd76263cbd0,species,serratus,Stenanthus,,Oerst.,0,1858,,"Centralamer. Gesner. 49. 1858",,,,,,urn:lsid:ipni.org:names:244552-2,wfo-0000496814,5591573,,
b93b783e-8fcd-11eb-924d-9cd76263cbd0,species,squarrosus,Stenanthus,,"Klotzsch ex Oerst.",0,1858,,"Centralamer. Gesner. : 49 (1858)",,,,,,urn:lsid:ipni.org:names:382851-1,wfo-0001064664,5591570,,
