id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eac520cc-8fd1-11eb-924d-9cd76263cbd0,genus,Stenomesson,,,Herb.,,1821,,"Appendix 40. 1821.",,,,,,330467-2,wfo-4000036519,2859400,,
15b19662-8fcd-11eb-924d-9cd76263cbd0,species,acaule,Stenomesson,,Kraenzl.,,1908,,"Bot. Jahrb. Syst. 40: 237 1908",,,,,,244726-2,wfo-0000737861,2855006,,
15afd55c-8fcd-11eb-924d-9cd76263cbd0,species,acutum,Stenomesson,,"(Herb.) Baker",,1871,,"Refug. Bot. 5: t. 308 1871",,,,,,,wfo-0000737846,2855015,,
15ae8544-8fcd-11eb-924d-9cd76263cbd0,species,aurantiacum,Stenomesson,,"(Kunth) Herb.",,1821,,"Appendix 40 1821",,,,10eb56ea-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000737834,2859401,,
15b04816-8fcd-11eb-924d-9cd76263cbd0,species,breviflorum,Stenomesson,,Herb.,,1837,,"Amaryllidaceae 199 1837",,,,,,,wfo-0000737850,2859419,,
15b06418-8fcd-11eb-924d-9cd76263cbd0,species,callacallense,Stenomesson,,Ravenna,,1974,,"Pl. Life 30: 76 1974",,,,,,320771-2,wfo-0000737851,2854995,,
16481d76-8fcd-11eb-924d-9cd76263cbd0,species,campanulatum,Stenomesson,,Meerow,,1985,,"Brittonia 37: 307 1985",,Q55769251,,,,907804-1,wfo-0000739070,2859428,,
15b07e58-8fcd-11eb-924d-9cd76263cbd0,species,campodense,Stenomesson,,Ravenna,,1971,,"Pl. Life 27: 75 1971",,,,,,244727-2,wfo-0000737852,2854931,,
15b09b90-8fcd-11eb-924d-9cd76263cbd0,species,caracense,Stenomesson,,Ravenna,,1974,,"Pl. Life 30: 76 1974",,,,,,320772-2,wfo-0000737853,2854954,,
16487280-8fcd-11eb-924d-9cd76263cbd0,species,chihuanhuayu,Stenomesson,,"(Cárdenas) Ravenna",,1981,,"Pl. Life 37: 75 1981",,,,e657cefe-8fcc-11eb-924d-9cd76263cbd0,,909719-1,wfo-0000739073,2854933,,
15b0ba62-8fcd-11eb-924d-9cd76263cbd0,species,chilense,Stenomesson,,Ravenna,,1974,,"Pl. Life 30: 75 1974",,,,,,66831-1,wfo-0000737854,2859411,,
25999b7e-8fcd-11eb-924d-9cd76263cbd0,species,chloranthum,Stenomesson,,"Meerow & van der Werff",,2004,,"Syst. Bot. 29: 515 2004",,Q56523065,,,,77062951-1,wfo-0000770871,2859443,,
15b0d5a6-8fcd-11eb-924d-9cd76263cbd0,species,coccineum,Stenomesson,,"(Ruiz & Pav.) Herb.",,1821,,"Appendix 40 1821",,,,10f11bde-8fcd-11eb-924d-9cd76263cbd0,,1213635-2,wfo-0000737855,2854963,,
