id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a06107c6-1d4d-11ec-82c2-f14daa6f2d93,genus,Sulettaria,,,"A.D.Poulsen & Mathisen",,2018,,"Taxon 67:733. (2018)",,,,,,,wfo-4000049050,,,
82bb39f8-1d4d-11ec-82c2-f14daa6f2d93,species,anomala,Sulettaria,,"(R.M.Sm.) A.D.Poulsen & Lofthus",,2018,,"Taxon 67:734. (2018)",,,,,,,wfo-0001426420,,,
82bb6324-1d4d-11ec-82c2-f14daa6f2d93,species,brachycalyx,Sulettaria,,"(S.Sakai & Nagam.) A.D.Poulsen & M.F.Newman",,2018,,"Taxon 67:734. (2018)",,,,,,,wfo-0001426421,,,
82bb898a-1d4d-11ec-82c2-f14daa6f2d93,species,burttii,Sulettaria,,"(R.M.Sm.) A.D.Poulsen & M.F.Newman",,2018,,"Taxon 67:734. (2018)",,,,,,,wfo-0001426422,,,
82bbb41e-1d4d-11ec-82c2-f14daa6f2d93,species,kandariensis,Sulettaria,,"(K.Schum.) A.D.Poulsen & Ardiyani",,2018,,"Taxon 67:734. (2018)",,,,,,,wfo-0001426423,,,
82bbe2a4-1d4d-11ec-82c2-f14daa6f2d93,species,kapitensis,Sulettaria,,"(S.Sakai & Nagam.) A.D.Poulsen & Bjorå",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426424,,,
82bc12c4-1d4d-11ec-82c2-f14daa6f2d93,species,lambirensis,Sulettaria,,"(R.M.Sm.) A.D.Poulsen & M.F.Newman",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426425,,,
82bca108-1d4d-11ec-82c2-f14daa6f2d93,species,ligulata,Sulettaria,,"(R.M.Sm.) A.D.Poulsen & M.F.Newman",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426426,,,
82bcccdc-1d4d-11ec-82c2-f14daa6f2d93,species,linearicrista,Sulettaria,,"(S.Sakai & Nagam.) A.D.Poulsen & Bjorå",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426427,,,
82bcf612-1d4d-11ec-82c2-f14daa6f2d93,species,longipilosa,Sulettaria,,"(S.Sakai & Nagam.) A.D.Poulsen & Lofthus",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426428,,,
82bd1c6e-1d4d-11ec-82c2-f14daa6f2d93,species,longituba,Sulettaria,,"(Ridl.) A.D.Poulsen & Mathisen",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426429,,,
82bd431a-1d4d-11ec-82c2-f14daa6f2d93,species,multiflora,Sulettaria,,"(Ridl.) A.D.Poulsen & Ardiyani",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426430,,,
82bd6958-1d4d-11ec-82c2-f14daa6f2d93,species,polycarpa,Sulettaria,,"(K.Schum.) A.D.Poulsen & M.F.Newman",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426431,,,
82bd91d0-1d4d-11ec-82c2-f14daa6f2d93,species,rubida,Sulettaria,,"(R.M.Sm.) A.D.Poulsen & Mathisen",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426432,,,
82bdc7f4-1d4d-11ec-82c2-f14daa6f2d93,species,stoloniflora,Sulettaria,,"(K.Schum.) A.D.Poulsen & Mathisen",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426433,,,
82bdf06c-1d4d-11ec-82c2-f14daa6f2d93,species,surculosa,Sulettaria,,"(K.Schum.) A.D.Poulsen & Mathisen",,2018,,"Taxon 67:735. (2018)",,,,,,,wfo-0001426434,,,
