id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9ac5f718-1d4d-11ec-82c2-f14daa6f2d93,genus,Taligalea,,,Aubl.,,1775,,"Hist. Pl. Guiane 2: 625, t. 252. 1775. (Jun-Dec 1775)",,,,,,urn:lsid:ipni.org:names:30029423-2,wfo-4000037478,,,
13c203ec-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Taligalea,,"(Mart. & Schauer) Kuntze",0,1891,,"Revis. Gen. Pl. 2: 509 (1891)",,,Q7318442,87abd804-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:249136-2,wfo-0000320713,3900000,,
13c22ed0-8fcc-11eb-924d-9cd76263cbd0,species,calycina,Taligalea,,Kuntze,0,1891,,"Revis. Gen. Pl. 2: 509 (1891)",,,Q7318442,87ae4576-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:249137-2,wfo-0000320714,3899983,,
13c2a69e-8fcc-11eb-924d-9cd76263cbd0,species,campestris,Taligalea,,Aubl.,0,1775,,"Hist. Pl. Guiane 2: 625 (1775)",,,,,,urn:lsid:ipni.org:names:864894-1,wfo-0000320715,7308891,,
13c2daba-8fcc-11eb-924d-9cd76263cbd0,variety,punicea,Taligalea,campestris,Briq.,0,1895,,"Nat. Pflanzenfam. [Engler & Prantl] 4, Abt. 3a: 157. 1895",,,,,,urn:lsid:ipni.org:names:249139-2,wfo-0000320716,3899958,,
5ca3841e-1d4d-11ec-82c2-f14daa6f2d93,species,canescens,Taligalea,,"Poit. ex Moldenke",,1939,,"Repert. Spec. Nov. Regni Veg. 46: 210, in syn. 1939",,,Q6105814,,,urn:lsid:ipni.org:names:864895-1,wfo-0001357267,,,
5ca3af2a-1d4d-11ec-82c2-f14daa6f2d93,species,guianensis,Taligalea,,"Aubl. ex Moldenke",,1939,,"Repert. Spec. Nov. Regni Veg. 46: 210, in syn. 1939",,,Q6105814,,,urn:lsid:ipni.org:names:864896-1,wfo-0001357268,,,
13c301a2-8fcc-11eb-924d-9cd76263cbd0,species,hirta,Taligalea,,Kuntze,0,1891,,"Revis. Gen. Pl. 2: 509 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:249140-2,wfo-0000320717,3899921,,
13c3bc0a-8fcc-11eb-924d-9cd76263cbd0,species,punicea,Taligalea,,Poir.,0,1806,,"Encycl. 7: 556 (1806)",,,,,,urn:lsid:ipni.org:names:864899-1,wfo-0000320719,3899896,,
13c41e84-8fcc-11eb-924d-9cd76263cbd0,species,umbellata,Taligalea,,Blanco,0,1845,,"Fl. Filip., ed. 2 [F.M. Blanco] 337. 1845",,,,,,urn:lsid:ipni.org:names:864900-1,wfo-0000320720,3899889,,
13c44364-8fcc-11eb-924d-9cd76263cbd0,species,velutina,Taligalea,,"(Schauer) Kuntze",0,1891,,"Revis. Gen. Pl. 2: 509 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:249141-2,wfo-0000320721,3899877,,
6e46a02a-8fcc-11eb-924d-9cd76263cbd0,species,coahuilensis,Talinaria,,"(S.Watson) P.Wilson",0,1932,,"N. Amer. Fl. 21(4): 290. 1932 [29 Dec 1932]",,,,,,urn:lsid:ipni.org:names:699461-1,wfo-0000454326,4022835,,
6e467b68-8fcc-11eb-924d-9cd76263cbd0,species,palmeri,Talinaria,,Brandegee,0,1907,,"Zoe 5: 231 (1907)",,,,,,urn:lsid:ipni.org:names:249143-2,wfo-0000454325,4022824,,
