id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eb18835c-8fd1-11eb-924d-9cd76263cbd0,genus,Tanacetum,,,L.,Q1043,,,,,,,,,30005379-2,wfo-4000037526,3118160,,
d9f1e2b8-8fb2-11eb-924d-9cd76263cbd0,species,abrotanifolium,Tanacetum,,"(L.) Druce","Q1043,Q601969",1914,,"425 1914",,,,,,252207-1,wfo-0000036011,3118302,,
daabd982-8fb9-11eb-924d-9cd76263cbd0,species,abrotanoides,Tanacetum,,"K.Bremer & Humphries","Q2207077,Q2843087",1993,,"in Bull. Nat. Hist. Mus. (London), Bot., 23(2): 101 (1993), nom. nov.:.",,,,,,975079-1,wfo-0000121945,3118495,,
cf8d27be-8fb3-11eb-924d-9cd76263cbd0,species,absinthium,Tanacetum,,L.,Q1043,,,,,,,,,,wfo-0000054987,3118584,,
f31fa162-8fb2-11eb-924d-9cd76263cbd0,species,achillea,Tanacetum,,Sch.Bip.,Q65685,,,,,,,,,,wfo-0000038180,3118347,,
fe5b6422-8fb1-11eb-924d-9cd76263cbd0,species,achilleifolium,Tanacetum,,"(M.Bieb.) Sch.Bip.","Q66612,Q65685",1844,,"47 1844",,,,ee37e176-8fb4-11eb-924d-9cd76263cbd0,,252209-1,wfo-0000001529,3118488,,
03c6393c-8fb2-11eb-924d-9cd76263cbd0,species,achilleoides,Tanacetum,,"(Turcz.) DC.","Q2640364,Q123057",,,"Prodr. (DC.) 6: 130",,,,f1ace68c-8fb2-11eb-924d-9cd76263cbd0,,,wfo-0000004796,3112236,,
9c22c290-8fb2-11eb-924d-9cd76263cbd0,species,acutilobum,Tanacetum,,DC.,Q123057,1838,,"Prodr. (DC.) 6: 132 1838",,,,,,252211-1,wfo-0000029633,3097006,,
37ade9cc-8fb5-11eb-924d-9cd76263cbd0,species,adenanthum,Tanacetum,,Diels,Q77123,1912,,"Notes Roy. Bot. Gard. Edinburgh 5: 197 1912",,,,,,,wfo-0000075354,3112224,,
46b7c3ca-8fb5-11eb-924d-9cd76263cbd0,species,aegyptiacum,Tanacetum,,"Juss. ex Jacq.","Q223963,Q84497",,,46,,,,,,,wfo-0000076093,3130172,,
244890f2-8fb6-11eb-924d-9cd76263cbd0,species,affine,Tanacetum,,Simonk.,Q649954,1886,,"Enum. Fl. Transsilv. (1886) 313.",,,,,,,wfo-0000086140,4234830,,
0c64a252-8fb9-11eb-924d-9cd76263cbd0,species,afghanicum,Tanacetum,,"(Gilli) Podlech","Q8194912,Q3027529",1986,,"in Fl. Iran., 158: 127 (1986):.",,,,,,942804-1,wfo-0000114938,3118168,,
3180d754-8fb9-11eb-924d-9cd76263cbd0,species,akinfiewii,Tanacetum,,"(Alex.) Tzvelev","Q12077656,Q4503394",1961,,"357 1961",,,,,,,wfo-0000116231,3118426,,
15a64462-8fb2-11eb-924d-9cd76263cbd0,species,alashanense,Tanacetum,,Ling,,1934,,"Contr. Inst. Bot. Natl. Acad. Peiping 2: 502 1934",,,,,,252216-1,wfo-0000010421,3090014,,
9e3e1836-8fb2-11eb-924d-9cd76263cbd0,species,alatavicum,Tanacetum,,Herder,Q1348727,1867,,"in Bull. Soc. Nat. Mosc. xl. (1867) II. 129",,,,,,252217-1,wfo-0000029876,3118589,,
608b9214-8fb4-11eb-924d-9cd76263cbd0,species,alaunicum,Tanacetum,,Koso-Pol.,Q2910988,1930,,"in Del. Sem. Hort. Bot. Univ. Voroneg. ii. 30 (1930); cf. Tzvelev in Komarov,Fl. URSS, xxvi. 377 (1961).",,,,,,252218-1,wfo-0000064138,4234817,,
811af500-8fba-11eb-924d-9cd76263cbd0,species,albidum,Tanacetum,,DC.,Q123057,1838,,"Prodr. (DC.) 6: 132 1838",,,,,,252219-1,wfo-0000127175,3121754,,
4e36673a-8fb2-11eb-924d-9cd76263cbd0,species,albipannosum,Tanacetum,,"Hub.-Mor. & Grierson","Q5706975,Q5675313",1974,,"259 1974",,Q102418658,,,,252220-1,wfo-0000019810,4234811,,
8d5dae3c-8fb2-11eb-924d-9cd76263cbd0,species,alpestre,Tanacetum,,"Pall. ex Ledeb.","Q155914,Q64544",,,"Fl. Ross. ii. 602.",,,,,,252221-1,wfo-0000027900,4234808,,
0c2e03de-8fb2-11eb-924d-9cd76263cbd0,species,alpinum,Tanacetum,,"(L.) Sch.Bip.","Q1043,Q65685",1844,,"61 1844",,,,,,252222-1,wfo-0000007670,3122042,,
137c82aa-8fbc-11eb-924d-9cd76263cbd0,species,alpinum,Tanacetum,,Simonk.,Q649954,1886,,"Enum. Fl. Transsilv. (1886) 313.",,,,,,,wfo-0000138695,7593093,,
c7c8cf84-8fb7-11eb-924d-9cd76263cbd0,subspecies,cuneatum,Tanacetum,alpinum,"(Pau) Heywood","Q2328400,Q444382",1954,,"Heywood in Anales Inst. Bot. Cavanilles 12(2). 1954. 369 1954",,,,75625bac-8fb7-11eb-924d-9cd76263cbd0,,,wfo-0000103077,6077342,,
00c78074-8fb2-11eb-924d-9cd76263cbd0,species,alyssifolium,Tanacetum,,"(Bornm.) Grierson","Q68637,Q5675313",1975,,"434 1975",,Q102418646,,f4b2396c-8fb8-11eb-924d-9cd76263cbd0,,252224-1,wfo-0000003402,3118605,,
7b87eeca-8fb2-11eb-924d-9cd76263cbd0,species,angulatum,Tanacetum,,Willd.,Q76353,1811,,"Sp. Pl. iii. 1811.",,,,,,252225-1,wfo-0000025796,3120286,,
00bfb952-8fb2-11eb-924d-9cd76263cbd0,species,annuum,Tanacetum,,L.,Q1043,1753,,1753,,,,,,,wfo-0000003383,3118596,,
15cc8a14-8fb2-11eb-924d-9cd76263cbd0,species,apbanassievii,Tanacetum,,Krasch.,Q5898435,1946,,"in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, ix. 168 (1946).",,,,,,252227-1,wfo-0000010462,4234790,,
e0b18d76-8fb5-11eb-924d-9cd76263cbd0,species,archibadii,Tanacetum,,Podlech,Q3027529,1986,,"in Fl. Iran., 158: 105 (1986)",,,,,,929862-1,wfo-0000083195,3118167,,
