id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eb1bf6b8-8fd1-11eb-924d-9cd76263cbd0,genus,Tapura,,,Aubl.,0,1775,,"Hist. Pl. Guiane : 126 (1775)",,,,,,urn:lsid:ipni.org:names:6743-1,wfo-4000037576,7309868,,
b0f34e9a-8fcd-11eb-924d-9cd76263cbd0,species,acreana,Tapura,,"(Ule) Rizzini",0,1952,,"Revista Brasil. Biol. 12: 107 (1952)",,,,c046d574-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:249408-2,wfo-0001045786,4195955,,
4d23e998-8fcc-11eb-924d-9cd76263cbd0,species,africana,Tapura,,Oliv.,0,1868,,"Fl. Trop. Afr. 1: 344 (1868)",,,,,,urn:lsid:ipni.org:names:163300-1,wfo-0000407031,7843622,,
4d247048-8fcc-11eb-924d-9cd76263cbd0,species,amazonica,Tapura,,"Poepp. & Endl.",0,1843,,"Nov. Gen. Sp. Pl. 3: 41 (1843)",,,,,,urn:lsid:ipni.org:names:163302-1,wfo-0000407035,7309881,,
979f7254-1d4c-11ec-82c2-f14daa6f2d93,variety,amazonica,Tapura,amazonica,,,,,,,,,,,,wfo-0001045781,,,
b0f2a620-8fcd-11eb-924d-9cd76263cbd0,variety,ciliata,Tapura,amazonica,Baill.,0,1886,,"Fl. Bras. 12(1): 375 (1886)",,,,,,urn:lsid:ipni.org:names:249409-2,wfo-0001045780,4195905,,
b0f253e6-8fcd-11eb-924d-9cd76263cbd0,variety,cuspidata,Tapura,amazonica,Baill.,0,1886,,"Fl. Bras. 12(1): 375 (1886)",,,,,,urn:lsid:ipni.org:names:249410-2,wfo-0001045777,4195895,,
b0f26f7a-8fcd-11eb-924d-9cd76263cbd0,variety,dasyphylla,Tapura,amazonica,Baill.,0,1886,,"Fl. Bras. 12(1): 375 (1886)",,,,,,urn:lsid:ipni.org:names:249411-2,wfo-0001045778,4195884,,
40746844-1d4d-11ec-82c2-f14daa6f2d93,variety,manausensis,Tapura,amazonica,Prance,,,,"Fl. Neotrop. Monogr. 10: 59 (1972)",,,,,,urn:lsid:ipni.org:names:249412-2,wfo-0001319524,,,
b0f28960-8fcd-11eb-924d-9cd76263cbd0,variety,sublanceolata,Tapura,amazonica,Baill.,0,1886,,"Fl. Bras. 12(1): 375 (1886)",,,,,,urn:lsid:ipni.org:names:249413-2,wfo-0001045779,4195852,,
7a35b8c6-1d4d-11ec-82c2-f14daa6f2d93,variety,typica,Tapura,amazonica,Baill.,,,,"Fl. Bras. (Martius) 12(1): 375. 1886 [1 Apr 1886]",,,,,,urn:lsid:ipni.org:names:249414-2,wfo-0001397371,,,
b0f429f0-8fcd-11eb-924d-9cd76263cbd0,species,angulata,Tapura,,Little,0,1969,,"Phytologia 18: 412 (1969)",,,,,,urn:lsid:ipni.org:names:249415-2,wfo-0001045794,4195821,,
bc8d083c-8fd1-11eb-924d-9cd76263cbd0,species,antillana,Tapura,,Gleason,0,1924,,"N. Amer. Fl. 25: 382 (1924)",,,,,,urn:lsid:ipni.org:names:249416-2,wfo-0001247658,4195799,,
4dced056-8fcc-11eb-924d-9cd76263cbd0,species,arachnoidea,Tapura,,Breteler,0,1994,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia 16: 321 (1994 publ. 1995)",,,,,,urn:lsid:ipni.org:names:982118-1,wfo-0000407863,4195788,,
ad8a9318-8fd1-11eb-924d-9cd76263cbd0,species,arachnoides,Tapura,,Breteler,0,,,,,,,,,,wfo-0001220093,8044047,,
4dcef414-8fcc-11eb-924d-9cd76263cbd0,species,bouquetiana,Tapura,,"N.Hallé & Heine",0,1967,,"Adansonia , n.s., 7: 45 (1967)",,Q58837644,,,,urn:lsid:ipni.org:names:316404-1,wfo-0000407864,4195779,,
b0ef557e-8fcd-11eb-924d-9cd76263cbd0,species,bullata,Tapura,,Standl.,0,1940,,"Publ. Field Columb. Mus., Bot. Ser. 22: 86 (1940)",,,,,,urn:lsid:ipni.org:names:249417-2,wfo-0001045747,4195758,,
4d248e0c-8fcc-11eb-924d-9cd76263cbd0,species,capitulifera,Tapura,,Baill.,0,1873,,"Adansonia 11: 112 (1873)",,,,,,urn:lsid:ipni.org:names:163303-1,wfo-0000407036,4195737,,
c3375660-8fd1-11eb-924d-9cd76263cbd0,species,carinata,Tapura,,Breteler,0,1986,,"Agric. Univ. Wageningen Pap. 86(3): 53 (1986)",,,,,,urn:lsid:ipni.org:names:930796-1,wfo-0001260111,4195729,,
b0f236f4-8fcd-11eb-924d-9cd76263cbd0,species,ciliata,Tapura,,Gardner,0,1842,,"Hooker's Icon. Pl. 5: t. 466 (1842)",,,,,,urn:lsid:ipni.org:names:163304-1,wfo-0001045776,4195709,,
b0ef6f8c-8fcd-11eb-924d-9cd76263cbd0,species,colombiana,Tapura,,Cuatrec.,0,1948,,"Lloydia 11: 220 (1949)",,,,,,urn:lsid:ipni.org:names:249420-2,wfo-0001045748,4195685,,
b0ef89b8-8fcd-11eb-924d-9cd76263cbd0,species,coriacea,Tapura,,J.F.Macbr.,0,1931,,"Publ. Field Columb. Mus., Bot. Ser. 11: 68 (1931)",,,,,,urn:lsid:ipni.org:names:249421-2,wfo-0001045749,4195662,,
b0efa556-8fcd-11eb-924d-9cd76263cbd0,species,costata,Tapura,,Cuatrec.,0,1948,,"Lloydia 11: 221 (1949)",,,,,,urn:lsid:ipni.org:names:249422-2,wfo-0001045750,4195648,,
b0efbfdc-8fcd-11eb-924d-9cd76263cbd0,species,crassifolia,Tapura,,Pierre,0,,,,,,,,,,wfo-0001045751,8240025,,
b0f0803e-8fcd-11eb-924d-9cd76263cbd0,species,cubensis,Tapura,,Griseb.,0,1866,,"Cat. Pl. Cub. : 56 (1866)",,,,c655aac2-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:163305-1,wfo-0001045758,7309899,,
142dcfbe-1d4d-11ec-82c2-f14daa6f2d93,subspecies,cubensis,Tapura,cubensis,,,,,,,,,,,,wfo-0001247657,,,
7a35e29c-1d4d-11ec-82c2-f14daa6f2d93,variety,typica,Tapura,cubensis,Baill.,,,,"Fl. Bras. (Martius) 12(1): 375. 1886 [1 Apr 1886]",,,,,,urn:lsid:ipni.org:names:249424-2,wfo-0001397372,,,
bc8cb45e-8fd1-11eb-924d-9cd76263cbd0,variety,wrightiana,Tapura,cubensis,Baill.,0,1886,,"Fl. Bras. 12(1): 375 (1886)",,,,,,urn:lsid:ipni.org:names:249425-2,wfo-0001247655,4196102,,
b0f2fd5a-8fcd-11eb-924d-9cd76263cbd0,species,cucullata,Tapura,,Benth.,0,1853,,"Hooker's J. Bot. Kew Gard. Misc. 5: 292 (1853)",,,,,,urn:lsid:ipni.org:names:163306-1,wfo-0001045783,7774194,,
b0f385fe-8fcd-11eb-924d-9cd76263cbd0,species,ferreyrae,Tapura,,Prance,0,1983,,"Bull. Torrey Bot. Club 110: 70 (1983)",,Q55773371,,,,urn:lsid:ipni.org:names:249427-2,wfo-0001045788,4196059,,
4d2450fe-8fcc-11eb-924d-9cd76263cbd0,species,fischeri,Tapura,,Engl.,0,1895,,"Pflanzenw. Ost-Afrikas , C: 423 (1895)",,,,,,urn:lsid:ipni.org:names:163308-1,wfo-0000407034,4196047,,
c5ac3e1a-8fd1-11eb-924d-9cd76263cbd0,species,follii,Tapura,,Prance,0,1997,,"BioLlania, Ed. Espec. 6: 492. 1997 ; J.J. Wurdack Festschr.",,,,,,urn:lsid:ipni.org:names:997712-1,wfo-0001264503,4196025,,
4d22716c-8fcc-11eb-924d-9cd76263cbd0,species,guianensis,Tapura,,Aubl.,0,1775,,"Hist. Pl. Guiane : 126 (1775)",,,,,,urn:lsid:ipni.org:names:163309-1,wfo-0000407024,4196016,,
bc8c9690-8fd1-11eb-924d-9cd76263cbd0,species,haitiensis,Tapura,,"Urb. & Ekman",0,1926,,"Ark. Bot. 20A(15): 44 (1926)",,,,,,urn:lsid:ipni.org:names:249428-2,wfo-0001247654,4195994,,
4dcf1a2a-8fcc-11eb-924d-9cd76263cbd0,species,ivorensis,Tapura,,Bretel.,0,1970,,"Acta Bot. Neerl. 19: 12 (1970)",,,,,,urn:lsid:ipni.org:names:316410-1,wfo-0000407865,4195986,,
536d7bca-8fcc-11eb-924d-9cd76263cbd0,species,juliana,Tapura,,J.F.Macbr.,0,1950,,"Publ. Field Columb. Mus., Bot. Ser. 13(3): 961 (1950)",,,,,,urn:lsid:ipni.org:names:249429-2,wfo-0000415040,4195975,,
b0efda1c-8fcd-11eb-924d-9cd76263cbd0,species,juliani,Tapura,,J.F.Macbr.,0,1950,,"Publ. Field Columbian Mus., Bot. Ser. xiii. III. 961 (1950).",,,,,,urn:lsid:ipni.org:names:316411-1,wfo-0001045752,,,
b0f369a2-8fcd-11eb-924d-9cd76263cbd0,species,juruana,Tapura,,"(Ule) Rizzini",0,1952,,"Revista Brasil. Biol. 12: 106 (1952)",,,,,,urn:lsid:ipni.org:names:249430-2,wfo-0001045787,4195950,,
bc8d614c-8fd1-11eb-924d-9cd76263cbd0,species,lanceolata,Tapura,,"(Ducke) Rizzini",0,1952,,"Revista Brasil. Biol. 12: 105 (1952)",,,,,,urn:lsid:ipni.org:names:249431-2,wfo-0001247661,4195929,,
b0f047b8-8fcd-11eb-924d-9cd76263cbd0,species,latifolia,Tapura,,Benth.,0,1853,,"Hooker's J. Bot. Kew Gard. Misc. 5: 291 (1853)",,,,,,urn:lsid:ipni.org:names:163310-1,wfo-0001045756,4195919,,
b0f1ab6c-8fcd-11eb-924d-9cd76263cbd0,species,le-testui,Tapura,,"N.Halle & Heine",0,,,,,,,,,,wfo-0001045771,7417786,,
4dcd943e-8fcc-11eb-924d-9cd76263cbd0,species,letestui,Tapura,,Pellegr.,0,1922,,"Bull. Mus. Natl. Hist. Nat. 28: 91 (1922)",,,,,,urn:lsid:ipni.org:names:316414-1,wfo-0000407858,,,
b0eff6a0-8fcd-11eb-924d-9cd76263cbd0,species,leucantha,Tapura,,K.Krause,0,1931,,"Notizbl. Bot. Gart. Berlin-Dahlem 11: 136. 1931",,Q55777251,,,,urn:lsid:ipni.org:names:316415-1,wfo-0001045753,4195890,,
4dce5cb6-8fcc-11eb-924d-9cd76263cbd0,species,lujai,Tapura,,"De Wild.",0,1915,,"Bull. Jard. Bot. État Bruxelles 5: 101 (1915)",,Q55775560,,,,urn:lsid:ipni.org:names:316416-1,wfo-0000407860,8287013,,
b0f3f336-8fcd-11eb-924d-9cd76263cbd0,species,magnifolia,Tapura,,Prance,0,1988,,"Brittonia 40: 445 (1988)",,Q55771814,,,,urn:lsid:ipni.org:names:936085-1,wfo-0001045792,4195869,,
55d2575a-1d4d-11ec-82c2-f14daa6f2d93,species,martiniae,Tapura,,"Amorim & D.S.Lisboa",,,,"Syst. Bot. 41: 748 (2016)",,,,,,urn:lsid:ipni.org:names:77160806-1,wfo-0001348099,,,
be5cd5d4-8fd1-11eb-924d-9cd76263cbd0,species,mexicana,Tapura,,Prance,0,1976,,"Bull. Torrey Bot. Club 103: 21 (1976)",,Q55767836,,,,urn:lsid:ipni.org:names:249433-2,wfo-0001251007,4195845,,
b0f1c7b4-8fcd-11eb-924d-9cd76263cbd0,species,neglecta,Tapura,,"N.Hallé & Heine",0,1967,,"Adansonia , n.s., 7: 47 (1967)",,Q58837644,,,,urn:lsid:ipni.org:names:316418-1,wfo-0001045772,4195832,,
b0f31984-8fcd-11eb-924d-9cd76263cbd0,species,negrensis,Tapura,,Suess.,0,1942,,"Repert. Spec. Nov. Regni Veg. 51: 199 (1942)",,Q55754644,,,,urn:lsid:ipni.org:names:249434-2,wfo-0001045784,4195815,,
bc8ccf84-8fd1-11eb-924d-9cd76263cbd0,species,obovata,Tapura,,"Britton & P.Wilson",0,1916,,"Bull. Torrey Bot. Club 43: 465 (1916)",,,,,,urn:lsid:ipni.org:names:249435-2,wfo-0001247656,7876808,,
bc8c7cb4-8fd1-11eb-924d-9cd76263cbd0,species,orbicularis,Tapura,,"Ekman ex Urb.",0,1924,,"Repert. Spec. Nov. Regni Veg. 20: 305 (1924)",,Q55753366,,,,urn:lsid:ipni.org:names:249438-2,wfo-0001247653,4195732,,
b0f09b78-8fcd-11eb-924d-9cd76263cbd0,species,panamensis,Tapura,,Prance,0,1983,,"Brittonia 35: 50 (1983)",,Q55769134,,,,urn:lsid:ipni.org:names:249440-2,wfo-0001045759,4195714,,
b0f012c0-8fcd-11eb-924d-9cd76263cbd0,species,peruviana,Tapura,,K.Krause,0,1931,,"Notizbl. Bot. Gart. Berlin-Dahlem 11: 135. 1931",,Q55777251,,,,urn:lsid:ipni.org:names:316423-1,wfo-0001045754,7309870,,
979e8a60-1d4c-11ec-82c2-f14daa6f2d93,variety,peruviana,Tapura,peruviana,,,,,,,,,,,,wfo-0001045775,,,
bc8c5f36-8fd1-11eb-924d-9cd76263cbd0,species,singularis,Tapura,,Ducke,0,1947,,"Trop. Woods 90: 21 (1947)",,,,,,urn:lsid:ipni.org:names:249442-2,wfo-0001247652,4195657,,
c76d6954-8fd1-11eb-924d-9cd76263cbd0,species,tchoutoi,Tapura,,Breteler,0,2002,,"Adansonia , sér. 3, 24: 267 (2002)",,,,,,urn:lsid:ipni.org:names:20010536-1,wfo-0001267686,4196177,,
b0f2e0b8-8fcd-11eb-924d-9cd76263cbd0,species,tessmannii,Tapura,,"(K.Krause) Prance",0,1972,,"Fl. Neotrop. Monogr. 10: 68 (1972)",,,,,,urn:lsid:ipni.org:names:249444-2,wfo-0001045782,4196145,,
b7edd7e8-8fd1-11eb-924d-9cd76263cbd0,species,wurdackiana,Tapura,,Prance,0,1997,,"BioLlania, Ed. Espec. 6: 492. 1997 ; J.J. Wurdack Festschr.",,,,,,urn:lsid:ipni.org:names:997711-1,wfo-0001239176,4196122,,
3f19005e-1d4d-11ec-82c2-f14daa6f2d93,species,zei-limae,Tapura,,"Amorim & Fiaschi",,,,"Syst. Bot. 41: 752 (2016)",,,,,,urn:lsid:ipni.org:names:77160807-1,wfo-0001317467,,,
