id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eb26edca-8fd1-11eb-924d-9cd76263cbd0,genus,Teline,,,,,,,,,,,,,,wfo-4000037716,7395551,,
53466d32-8fcc-11eb-924d-9cd76263cbd0,species,atleyana,Teline,,K.Koch,,1853,,"Hort. Dendrol. 254 1853",,,,,,,wfo-0000414823,3968988,,
5346a324-8fcc-11eb-924d-9cd76263cbd0,species,benehoavensis,Teline,,"(Bolle ex Svent.) A.Santos",,1975,,"Vieraea 5: 96 1975",,,,,,520250-1,wfo-0000414824,3968986,,
5346caac-8fcc-11eb-924d-9cd76263cbd0,species,bracteolata,Teline,,K.Koch,,1853,,"Hort. Dendrol. 254 1853",,,,,,,wfo-0000414825,3968982,,
f96478d4-8fc3-11eb-924d-9cd76263cbd0,species,canariensis,Teline,,"(L.) Webb & Berthel.",,,,,,,,,,,wfo-0000185659,2940268,,
533c11a2-8fcc-11eb-924d-9cd76263cbd0,species,candicans,Teline,,Medik.,,1789,,"Philos. Bot. 1: 203 1789",,,,,,520253-1,wfo-0000414779,3968974,,
b63d0634-8fcd-11eb-924d-9cd76263cbd0,species,candidum,Teline,,Steud.,,1841,,"Nomencl. Bot. (ed. 2) 2(12–13): 665 1841",,,,,,520254-1,wfo-0001057834,3968970,,
1dcf00c2-8fc4-11eb-924d-9cd76263cbd0,species,congesta,Teline,,"Webb & Berthel.",,,,,,,,,,,wfo-0000186445,2940171,,
b718a702-8fcd-11eb-924d-9cd76263cbd0,species,eriocarpa,Teline,,K.Koch,,1853,,"Hort. Dendrol. 254, No. 2 1853",,,,,,,wfo-0001059808,7975166,,
533c640e-8fcc-11eb-924d-9cd76263cbd0,species,eriooarpa,Teline,,K.Koch,,1853,,"Hort. Dendrol. 254 1853",,,,,,,wfo-0000414781,3968966,,
1ec242aa-8fc4-11eb-924d-9cd76263cbd0,species,gomerae,Teline,,"(P.E.Gibbs & Dingwall) Kunkel",,,,,,,,,,,wfo-0000186468,2940082,,
533c8ad8-8fcc-11eb-924d-9cd76263cbd0,species,hillebrandii,Teline,,"(Christ) G.Kunkel",,1974,,"Cuad. Bot. Canaria 22: 24 1974",,,,,,520258-1,wfo-0000414782,3968962,,
84a4b652-8fc9-11eb-924d-9cd76263cbd0,species,linifolia,Teline,,"(L.) Webb & Berthel.",,,,,,,,,,,wfo-0000213335,2940075,,
f8b4d5be-8fc3-11eb-924d-9cd76263cbd0,subspecies,pallida,Teline,linifolia,"(Poir.) P.E.Gibbs & Dingwall",,,,,,,,,,,wfo-0000185644,2940079,,
f8da38b8-8fc3-11eb-924d-9cd76263cbd0,subspecies,rosmarinifolia,Teline,linifolia,"(Webb & Berthel.) P.E.Gibbs & D",,,,,,,,f8e6d960-8fc3-11eb-924d-9cd76263cbd0,,,wfo-0000185647,2940084,,
f3052ace-8fc3-11eb-924d-9cd76263cbd0,species,maderensis,Teline,,"Webb & Berthel.",,,,,,,,,,,wfo-0000185522,2940272,,
533d8c8a-8fcc-11eb-924d-9cd76263cbd0,species,medicagioides,Teline,,Medik.,,1787,,"Vorles. Churpfälz. Phys.-Okon. Ges. 2: 342 1787",,,,,,520261-1,wfo-0000414784,3968942,,
f3286b92-8fc3-11eb-924d-9cd76263cbd0,species,microphylla,Teline,,"(DC.) P.E.Gibbs & Dingwall",,,,,,,,,,,wfo-0000185525,2940172,,
1fe640d2-8fc4-11eb-924d-9cd76263cbd0,species,monospessulana,Teline,,"(L.) K.Koch",,,,,,,,,,,wfo-0000186493,2940300,,
27c8916a-8fc4-11eb-924d-9cd76263cbd0,species,monspessulana,Teline,,"(L.) K.Koch",,,,,,,,,,,wfo-0000186666,2940296,,
533abd98-8fcc-11eb-924d-9cd76263cbd0,species,nervosa,Teline,,"(Esteve) A.Hansen & Sunding",,1979,,"Fl. Macaronesia ed. 2, 2: IV 1979",,,,4c53407c-8fcc-11eb-924d-9cd76263cbd0,,520264-1,wfo-0000414773,3968933,,
533ae6e2-8fcc-11eb-924d-9cd76263cbd0,species,orientalis,Teline,,"(Loisel.) Talavera & P.E.Gibbs",,1999,,"Anales Jard. Bot. Madrid 57: 210 1999",,,,f1c0a134-8fc3-11eb-924d-9cd76263cbd0,,1008877-1,wfo-0000414774,3968930,,
859f4fea-8fc9-11eb-924d-9cd76263cbd0,species,osmariensis,Teline,,"(Coss.) P.E.Gibbs & Dingwall",,,,,,,,8583494e-8fc9-11eb-924d-9cd76263cbd0,,,wfo-0000213353,2940303,,
b8070942-8fcd-11eb-924d-9cd76263cbd0,species,osyrioides,Teline,,"Gibbs & Dingwall",,,,,,,,,,,wfo-0001061927,7301873,,
f8f2ced2-8fc3-11eb-924d-9cd76263cbd0,species,osyroides,Teline,,"(Svent.) P.E.Gibbs & Dingwall",,,,,,,,f8ff47ca-8fc3-11eb-924d-9cd76263cbd0,,,wfo-0000185649,2942998,,
