id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9ae41ad6-1d4d-11ec-82c2-f14daa6f2d93,genus,Temnocydia,,,,,,,,,,,,,urn:lsid:ipni.org:names:30280168-2,wfo-4000037743,,,
29c20678-8fcd-11eb-924d-9cd76263cbd0,species,aequinoctialis,Temnocydia,,Mart.,0,1845,,"Prodr. [A. P. de Candolle] 9: 155. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111346-1,wfo-0000780031,,,
29c2e34a-8fcd-11eb-924d-9cd76263cbd0,species,carajura,Temnocydia,,Mart.,0,1845,,"Prodr. [A. P. de Candolle] 9: 185. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111347-1,wfo-0000780039,7580013,,
29c2fe16-8fcd-11eb-924d-9cd76263cbd0,species,densiflora,Temnocydia,,Mart.,0,1845,,"Prodr. [A. P. de Candolle] 9: 181. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111348-1,wfo-0000780040,7455308,,
5677bc0e-1d4d-11ec-82c2-f14daa6f2d93,species,elliptica,Temnocydia,,Mart.,,1845,,"Prodr. [A. P. de Candolle] 9: 156. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111349-1,wfo-0001349019,,,
5677e2a6-1d4d-11ec-82c2-f14daa6f2d93,species,flavida,Temnocydia,,Mart.,,1845,,"Prodr. [A. P. de Candolle] 9: 168. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111350-1,wfo-0001349020,,,
56782e14-1d4d-11ec-82c2-f14daa6f2d93,species,laserpitiifolia,Temnocydia,,Mart.,,1845,,"Prodr. [A. P. de Candolle] 9: 168. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111351-1,wfo-0001349022,,,
7e988cfe-1d4d-11ec-82c2-f14daa6f2d93,species,lenta,Temnocydia,,"Mart. ex DC.",,1845,,"Prodr. [A. P. de Candolle] 9: 159. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111352-1,wfo-0001418068,,,
29c333f4-8fcd-11eb-924d-9cd76263cbd0,species,spectabilis,Temnocydia,,Mart.,0,1845,,"Prodr. [A. P. de Candolle] 9: 155. 1845 [1 Jan 1845]",,,Q2712448,,,urn:lsid:ipni.org:names:111353-1,wfo-0000780042,7681283,,
1e9cdebe-8fb7-11eb-924d-9cd76263cbd0,species,scrophulariaefolia,Temnolepis,,Baker,0,1887,,"J. Linn. Soc., Bot. 22: 495 (1887)",,Q54800858,Q5946734,,,urn:lsid:ipni.org:names:255195-1,wfo-0000096563,3105224,,
d660acae-8fcd-11eb-924d-9cd76263cbd0,species,scrophulariifolia,Temnolepis,,Baker,0,1886,,"J. Linn. Soc., Bot. 22: 495 (1887)",,,Q5946734,,,urn:lsid:ipni.org:names:255195-1,wfo-0001129147,4219007,,
