id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eb328e1e-8fd1-11eb-924d-9cd76263cbd0,genus,Tetradenia,,,Benth.,Q731808,,,"Edwards's Bot. Reg. 15: no. 1300. 1830.",,,,,,21261-1,wfo-4000037883,3233614,,
bc899796-8fcd-11eb-924d-9cd76263cbd0,species,acuminata,Tetradenia,,Teschner,Q5891949,1923,,"Bot. Jahrb. Syst. 58: 392 1923",,,,,,,wfo-0001072301,5685267,,
bc5f4018-8fcd-11eb-924d-9cd76263cbd0,species,acuminatissima,Tetradenia,,Hayata,Q702874,1913,,"Icon. Pl. Formosan. 3: 166 1913",,,,,,468695-1,wfo-0001071924,5685265,,
bc8961ae-8fcd-11eb-924d-9cd76263cbd0,species,acuta,Tetradenia,,Teschner,Q5891949,1923,,"Bot. Jahrb. Syst. 58: 391 1923",,,,,,,wfo-0001072299,5685262,,
aff79272-8fd1-11eb-924d-9cd76263cbd0,species,acutivena,Tetradenia,,"(Hayata) Nemoto ex Makino & Nemoto","Q702874,Q9018133,Q729955",1931,,"Fl. Japan (ed. 2) 373 1931",,,,bbce2100-8fcd-11eb-924d-9cd76263cbd0,,468697-1,wfo-0001224454,5685261,,
524c1d78-8fcc-11eb-924d-9cd76263cbd0,species,acutotrinervia,Tetradenia,,Hayata,Q702874,1913,,"Icon. Pl. Formosan. 3: 166 1913",,,,,,468698-1,wfo-0000413595,7675648,,
bc8c272c-8fcd-11eb-924d-9cd76263cbd0,species,akoensis,Tetradenia,,"(Hayata) Nemoto ex Makino & Nemoto","Q702874,Q9018133,Q729955",1931,,"Fl. Japan 273 1931",,,,,,,wfo-0001072323,5685255,,
bc83c654-8fcd-11eb-924d-9cd76263cbd0,species,aurata,Tetradenia,,"(Hayata) Hayata",Q702874,1913,,"Icon. Pl. Formosan. 3: 167 1913",,,,bbce59b8-8fcd-11eb-924d-9cd76263cbd0,,468700-1,wfo-0001072247,5685251,,
443fc260-8fcd-11eb-924d-9cd76263cbd0,species,bainesii,Tetradenia,,"(N.E.Br.) Phillipson & C.F.Steyn","Q721850,Q18719879,Q26713470",2008,,"Adansonia III, 30: 181 2008",,,,54f5cc24-8fca-11eb-924d-9cd76263cbd0,,77090902-1,wfo-0000837095,5609470,,
145eb28c-8fcc-11eb-924d-9cd76263cbd0,species,barberae,Tetradenia,,"(N.E.Br.) Codd","Q721850,Q6530784",1983,,"Bothalia 14: 178 1983",,Q55792344,,5503812a-8fca-11eb-924d-9cd76263cbd0,,913406-1,wfo-0000321559,5609469,,
