id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9e0b0a34-9bad-11eb-a8a2-19ed5c03f8d3,genus,Tettigomyces,,,Thaxt.,,1915,,"Proc. Amer. Acad. Arts & Sci. 51: 20 (1915)",,,,9e0b0a34-9bad-11eb-a8a2-19ed5c03f8d3,,,,,5385," "
ba45129e-9bad-11eb-a8a2-19ed5c03f8d3,species,acuminatus,Tettigomyces,,Thaxt.,,,,,,,,ba45129e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,239061," "
83c7c172-9bac-11eb-a8a2-19ed5c03f8d3,species,africanus,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 538 (1926)",,,,83c7c172-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256009," "
d4a39436-9bac-11eb-a8a2-19ed5c03f8d3,species,americanus,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 539 (1926)",,,,d4a39436-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256651," "
f90f5dd2-9bac-11eb-a8a2-19ed5c03f8d3,species,brevis,Tettigomyces,,Thaxt.,,,,,,,,f90f5dd2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,239536," "
cc2e1236-9bac-11eb-a8a2-19ed5c03f8d3,species,chaetophilus,Tettigomyces,,Thaxt.,,,,,,,,cc2e1236-9bac-11eb-a8a2-19ed5c03f8d3,,,,,239230," "
cc532f80-9bac-11eb-a8a2-19ed5c03f8d3,species,confusus,Tettigomyces,,Thaxt.,,,,,,,,cc532f80-9bac-11eb-a8a2-19ed5c03f8d3,,,,,239621," "
32884e70-9bad-11eb-a8a2-19ed5c03f8d3,species,filiformis,Tettigomyces,,"D.H. Ye",,1992,,"Acta Mycol. Sin. 11(4): 286 (1992)",,,,32884e70-9bad-11eb-a8a2-19ed5c03f8d3,,,,,358021," "
f758a8d6-9bac-11eb-a8a2-19ed5c03f8d3,species,galeatus,Tettigomyces,,Thaxt.,,,,,,,,f758a8d6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,238983," "
db2a1b04-9bac-11eb-a8a2-19ed5c03f8d3,species,gracilis,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 541 (1926)",,,,db2a1b04-9bac-11eb-a8a2-19ed5c03f8d3,,,,,266330," "
4d5e6a5a-9bac-11eb-a8a2-19ed5c03f8d3,species,gryllotalpae,Tettigomyces,,Thaxt.,,,,,,,,4d5e6a5a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,239375," "
dc51da26-9bac-11eb-a8a2-19ed5c03f8d3,species,indeterminatus,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 542 (1926)",,,,dc51da26-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267821," "
cc35d89a-9bac-11eb-a8a2-19ed5c03f8d3,species,indicus,Tettigomyces,,Thaxt.,,,,,,,,cc35d89a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,239306," "
dc820e26-9bac-11eb-a8a2-19ed5c03f8d3,species,intermedius,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 543 (1926)",,,,dc820e26-9bac-11eb-a8a2-19ed5c03f8d3,,,,,268056," "
cc64cc72-9bac-11eb-a8a2-19ed5c03f8d3,species,plerophilus,Tettigomyces,,Thaxt.,,,,,,,,cc64cc72-9bac-11eb-a8a2-19ed5c03f8d3,,,,,239737," "
e6b0f2e0-9bac-11eb-a8a2-19ed5c03f8d3,species,varicus,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 544 (1926)",,,,e6b0f2e0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,281388," "
0ca2024c-9bac-11eb-a8a2-19ed5c03f8d3,species,vulgaris,Tettigomyces,,Thaxt.,,1926,,"Mem. Amer. Acad. Arts 15: 544 (1926)",,,,0ca2024c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,282009," "
