id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
eb405c38-8fd1-11eb-924d-9cd76263cbd0,genus,Thamnea,,,"Sol. ex Brongn.","Q39789,Q73990",1826,,"Ann. Sci. Nat. (Paris) 8: 386. 1826.",,,,,,332009-2,wfo-4000038059,,,
4d99b114-8fcc-11eb-924d-9cd76263cbd0,species,depressa,Thamnea,,Oliv.,Q1161960,1867,,"J. Linn. Soc., Bot. 9: 332 1867",,Q55758835,,,,126526-1,wfo-0000407625,4012861,,
4d9c61e8-8fcc-11eb-924d-9cd76263cbd0,species,diosmoides,Thamnea,,Oliv.,Q1161960,,,"Hooker's Icon. Pl. 24: t. 2314 1894",,,,,,126527-1,wfo-0000407636,4012852,,
4d9c3d44-8fcc-11eb-924d-9cd76263cbd0,species,gracilis,Thamnea,,Oliv.,Q1161960,1867,,"J. Linn. Soc., Bot. 9: 332 1867",,Q55758835,,,,126528-1,wfo-0000407635,4012844,,
4d97cb7e-8fcc-11eb-924d-9cd76263cbd0,species,hirtella,Thamnea,,Oliv.,Q1161960,1867,,"J. Linn. Soc., Bot. 9: 332 1867",,Q55758835,,,,126529-1,wfo-0000407618,4012832,,
4d987e02-8fcc-11eb-924d-9cd76263cbd0,species,laxa,Thamnea,,"(Thunb.) Baill.","Q39658,Q461931",1871,,"Hist. Pl. 3: 388 1871",,,,,,126530-1,wfo-0000407619,4012820,,
4d98ca2e-8fcc-11eb-924d-9cd76263cbd0,species,massoniana,Thamnea,,Dummer,,1912,,"J. Bot. 50(Suppl. 2): 19 1912",,,,,,,wfo-0000407620,4012811,,
1b80d5a8-8fcd-11eb-924d-9cd76263cbd0,species,matroosbergensis,Thamnea,,A.V.Hall,Q18985257,2010,,"Bothalia 40: 96 2010",,Q55797540,,,,77109058-1,wfo-0000750254,8245915,,
1b7e82bc-8fcd-11eb-924d-9cd76263cbd0,species,teres,Thamnea,,"(Oliv.) Class.-Bockh. & E.G.H.Oliv.","Q1161960,Q26712855,Q533701",,,"Taxon 60: 1146 2011",,,,b601e974-8fcc-11eb-924d-9cd76263cbd0,,77114342-1,wfo-0000750233,7649110,,
4d98f224-8fcc-11eb-924d-9cd76263cbd0,species,thesioides,Thamnea,,Dummer,,1912,,"J. Bot. 50(Suppl. 2): 18 1912",,,,,,,wfo-0000407621,4012800,,
4d9921fe-8fcc-11eb-924d-9cd76263cbd0,species,uniflora,Thamnea,,"(L.) Sol. ex Brongn.","Q1043,Q39789,Q73990",1826,,"Ann. Sci. Nat. (Paris) 8: 386 1826",,,,,,126533-1,wfo-0000407622,,,
1b7e5e5e-8fcd-11eb-924d-9cd76263cbd0,species,ustulata,Thamnea,,"(Thunb.) A.V.Hall","Q39658,Q18985257",,,"Taxon 60: 1146 2011",,,,,,77114343-1,wfo-0000750232,8293534,,
6625b4a2-8fcd-11eb-924d-9cd76263cbd0,species,swartzii,Thamnia,,Hitchc.,Q2063155,1893,,"Rep. (Annual) Missouri Bot. Gard. 4: 59 1893",,,,,,250903-2,wfo-0000901559,3878360,,
65957324-8fcd-11eb-924d-9cd76263cbd0,species,ternstroemioides,Thamnia,,"(Griseb.) M.Gómez","Q76351,Q3286846",1914,,"Bol. Secr. Agric. Comerc. Trab., Cuba 22: 69 1914",,,,5da606c4-8fcd-11eb-924d-9cd76263cbd0,,366009-1,wfo-0000901230,3878348,,
