id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a5d189b4-9bad-11eb-a8a2-19ed5c03f8d3,genus,Therrya,,,Sacc.,,1882,,"Michelia 2(no. 8): 604 (1882)",,,,a5d189b4-9bad-11eb-a8a2-19ed5c03f8d3,,,,,5449," "
225fa3fa-9bac-11eb-a8a2-19ed5c03f8d3,species,abieticola,Therrya,,"C.L. Hou & M. Piepenbr.",,2007,,"Mycotaxon 102: 168 (2007)",,,,225fa3fa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,511067," "
765144c2-9bad-11eb-a8a2-19ed5c03f8d3,species,cembrae,Therrya,,"(Rehm) E.K. Cash",,1956,,"Monogr. Biol. Soc. Pakistan 1: 35 (1956)",,,,8a50e67c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,306807," "
5573090c-9bad-11eb-a8a2-19ed5c03f8d3,species,eucalypti,Therrya,,"Z.Q. Yuan",,1997,,"in Yuan & Mohammed, Mycotaxon 64: 174 (1997)",,,,5573090c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,437808," "
7651ec42-9bad-11eb-a8a2-19ed5c03f8d3,species,fuckelii,Therrya,,"(Rehm) Kujala",,1950,,"Communicationes Instituti Forestalis Fenniae 38(4): 48 (1950)",,,,51210d72-9bad-11eb-a8a2-19ed5c03f8d3,,,,,306808," "
17db0ece-9bac-11eb-a8a2-19ed5c03f8d3,species,gallica,Therrya,,"Sacc. & Penz.",,1882,,"Michelia 2(no. 8): 604 (1882)",,,,17db0ece-9bac-11eb-a8a2-19ed5c03f8d3,,,,,240401," "
2c1f3a22-9bac-11eb-a8a2-19ed5c03f8d3,species,piceae,Therrya,,"A. Funk",,,,"Can. J. Bot. 58(11): 1292 (1980)",,,,2c1f3a22-9bac-11eb-a8a2-19ed5c03f8d3,,,,,113458," "
e8121876-9bac-11eb-a8a2-19ed5c03f8d3,species,pini,Therrya,,"(Alb. & Schwein.) Höhn.",,1917,,"Ber. dt. bot. Ges. 35: 422 (1917)",,,,1d974486-9bac-11eb-a8a2-19ed5c03f8d3,,,,,283720," "
2be26d26-9bad-11eb-a8a2-19ed5c03f8d3,variety,mughicola,Therrya,pini,Svrcek,,1958,,"Ceská Mykol. 12: 230 (1958)",,,,2be26d26-9bad-11eb-a8a2-19ed5c03f8d3,,,,,347635," "
a6ab46f0-9bac-11eb-a8a2-19ed5c03f8d3,variety,pini,Therrya,pini,"(Alb. & Schwein.) Höhn.",,1917,,"Ber. dt. bot. Ges. 35: 422 (1917)",,,,a6ab46f0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,426613," "
2c1af304-9bac-11eb-a8a2-19ed5c03f8d3,species,pseudotsugae,Therrya,,"A. Funk",,,,"Can. J. Bot. 58(11): 1291 (1980)",,,,2c1af304-9bac-11eb-a8a2-19ed5c03f8d3,,,,,113427," "
2b08612c-9bac-11eb-a8a2-19ed5c03f8d3,species,tsugae,Therrya,,"A. Funk",,,,"Can. J. Bot. 58(11): 1291 (1980)",,,,2b08612c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,113712," "
