id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a5ed2700-9bad-11eb-a8a2-19ed5c03f8d3,genus,Triblidium,,,Rebent.,Q20016529,1804,,"Prodr. fl. neomarch. (1804)",,,,a5ed2700-9bad-11eb-a8a2-19ed5c03f8d3,,,,,5624," "
76581650-9bab-11eb-a8a2-19ed5c03f8d3,species,abietinum,Triblidium,,Wallr.,Q71374,,,,,,,76581650-9bab-11eb-a8a2-19ed5c03f8d3,,,,,228478," Tryblidium"
4d9f65b4-9bac-11eb-a8a2-19ed5c03f8d3,species,abietis,Triblidium,,Richon,,,,,,,,4d9f65b4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,225989," Tryblidium"
ac58ad72-9bac-11eb-a8a2-19ed5c03f8d3,species,alpinum,Triblidium,,"(Hazsl.) Rehm","Q1034588,Q4393082",,,,,,,10cf83a8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,454175," "
4daeef70-9bac-11eb-a8a2-19ed5c03f8d3,species,arcticum,Triblidium,,Ehrenb.,Q76549,,,,,,,4daeef70-9bac-11eb-a8a2-19ed5c03f8d3,,,,,226127," Tryblidium"
66c7b8ba-9bad-11eb-a8a2-19ed5c03f8d3,species,argentinense,Triblidium,,Speg.,Q648013,1909,,"Anal. Mus. nac. B. Aires, Ser. 3 19(12): 437 (1909)",,,,66c7b8ba-9bad-11eb-a8a2-19ed5c03f8d3,,,,,225826," Tryblidium"
4a3a3c0a-9bac-11eb-a8a2-19ed5c03f8d3,species,caespitosum,Triblidium,,"Cooke & Massee","Q2351239,Q4284198",1887,,"Grevillea 16(no. 77): 4 (1887)",,,,4a3a3c0a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,219982," Tryblidium"
30279ad8-9bac-11eb-a8a2-19ed5c03f8d3,species,caliciforme,Triblidium,,Rebent.,Q20016529,1805,,"Prodr. fl. neomarch. 388 (1805)",,,,30279ad8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,118794," Tryblidium caliciiforme"
7a00d4f8-9bac-11eb-a8a2-19ed5c03f8d3,form,caliciforme,Triblidium,caliciforme,Rebent.,Q20016529,1805,,"Prodr. fl. neomarch. 388 (1805)",,,,7a00d4f8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,534460," "
7a010c52-9bac-11eb-a8a2-19ed5c03f8d3,subspecies,caliciforme,Triblidium,caliciforme,Rebent.,Q20016529,1805,,"Prodr. fl. neomarch. 388 (1805)",,,,7a010c52-9bac-11eb-a8a2-19ed5c03f8d3,,,,,534462," "
7a014406-9bac-11eb-a8a2-19ed5c03f8d3,subspecies,pinicola,Triblidium,caliciforme,"(Allesch.) Magnes",,1997,,"Biblthca Mycol. 165: 40 (1997)",,,,9bcac41c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,534463," "
9bcac41c-9bad-11eb-a8a2-19ed5c03f8d3,form,pinicola,Triblidium,caliciforme,Allesch.,,,,,,,,9bcac41c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,534461," "
e2ebb5dc-9bac-11eb-a8a2-19ed5c03f8d3,species,caliciiforme,Triblidium,,Rebent.,Q20016529,,,,,,,e2ebb5dc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,286185," Triblidium caliciforme"
b09a1cea-9bac-11eb-a8a2-19ed5c03f8d3,subspecies,caliciiforme,Triblidium,caliciiforme,Rebent.,Q20016529,,,,,,,b09a1cea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,449920," Triblidium caliciforme subsp. caliciforme"
bed48908-9bac-11eb-a8a2-19ed5c03f8d3,form,caliciiforme,Triblidium,caliciiforme,Rebent.,Q20016529,,,,,,,bed48908-9bac-11eb-a8a2-19ed5c03f8d3,,,,,452562," Triblidium caliciforme f. caliciforme"
ad73f95a-9bac-11eb-a8a2-19ed5c03f8d3,subspecies,pinicola,Triblidium,caliciiforme,"(Allesch.) Magnes",,,,,,,,9bcac41c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,443009," Triblidium caliciforme subsp. pinicola"
b0c20dfe-9bac-11eb-a8a2-19ed5c03f8d3,form,pinicola,Triblidium,caliciiforme,Allesch.,,,,,,,,9bcac41c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,451202," Triblidium caliciforme f. pinicola"
7fcb7d92-9bad-11eb-a8a2-19ed5c03f8d3,species,carestiae,Triblidium,,"(De Not.) Rehm","Q3014085,Q4393082",1888,,"in Rabenhorst, Rabenh. Krypt.-Fl. (Leipzig) 1(3): 197 (1888)",,,,0b8848a8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,120104," Tryblidium"
f8c098f0-9bac-11eb-a8a2-19ed5c03f8d3,species,clavaesporum,Triblidium,,Peck,Q1064899,,,,,,,f8c098f0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,216559," Tryblidium"
1d3e45ac-9bac-11eb-a8a2-19ed5c03f8d3,species,colletiae,Triblidium,,Speg.,Q648013,1899,,"Anal. Mus. nac. B. Aires, Ser. 2 6: 300 (1899)",,,,1d3e45ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,219938," Tryblidium"
26fb0d86-9bad-11eb-a8a2-19ed5c03f8d3,species,confluens,Triblidium,,"(Kunze) De Not.","Q65400,Q3014085",,,,,,,,,,,,223785," Tryblidium"
ef521830-9bab-11eb-a8a2-19ed5c03f8d3,species,craraense,Triblidium,,Wilberf.,,1992,,"Mycol. Res. 96(6): 507 (1992)",,,,ef521830-9bab-11eb-a8a2-19ed5c03f8d3,,,,,334055," crarense"
18fef536-9bac-11eb-a8a2-19ed5c03f8d3,species,crarense,Triblidium,,Wilberf.,,,,,,,,18fef536-9bac-11eb-a8a2-19ed5c03f8d3,,,,,358920," Triblidium craraense"
b1bce1f2-9bac-11eb-a8a2-19ed5c03f8d3,species,crispum,Triblidium,,Pers.,Q346451,1822,,"Mycol. eur. (Erlanga) 1: 332 (1822)",,,,b1bce1f2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,453108," "
ad3933e2-9bac-11eb-a8a2-19ed5c03f8d3,variety,crispum,Triblidium,crispum,Pers.,Q346451,1822,,"Mycol. eur. (Erlanga) 1: 332 (1822)",,,,ad3933e2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,520831," "
fbf1d17e-9bac-11eb-a8a2-19ed5c03f8d3,variety,elatinum,Triblidium,crispum,"(Ach.) Pers.","Q365923,Q346451",1822,,"Mycol. eur. (Erlanga) 1: 332 (1822)",,,,4698df42-9bad-11eb-a8a2-19ed5c03f8d3,,,,,499065," "
c560859c-9bac-11eb-a8a2-19ed5c03f8d3,species,cruentatum,Triblidium,,"(Mont.) Sherwood",Q1029228,1977,,"Mycotaxon 5(1): 169 (1977)",,,,9d69afc8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,325069," Tryblidium"
4c1bf5d6-9bac-11eb-a8a2-19ed5c03f8d3,species,cucurbitaria,Triblidium,,Rehm,Q4393082,,,,,,,4c1bf5d6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,223882," Tryblidium"
4a69856e-9bac-11eb-a8a2-19ed5c03f8d3,species,dealbatum,Triblidium,,"W.R. Gerard",,,,,,,,4a69856e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,220289," Tryblidium"
30e5aec4-9bac-11eb-a8a2-19ed5c03f8d3,species,elasticae,Triblidium,,Koord.,Q4232763,1907,,"Botanische Untersuchungen Java 13(4): 162 (1907)",,,,30e5aec4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,120380," Tryblidium"
d932ec2c-9bac-11eb-a8a2-19ed5c03f8d3,species,elatinum,Triblidium,,"(Ach.) Petr.","Q365923,Q4360385",,,,,,,4698df42-9bad-11eb-a8a2-19ed5c03f8d3,,,,,263839," Tryblidium"
d9d7c68e-9bac-11eb-a8a2-19ed5c03f8d3,species,fatiscens,Triblidium,,Kauffman,,1930,,"Pap. Mich. Acad. Sci. 11: 157 (1930)",,,,d9d7c68e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,264698," Tryblidium"
ac590af6-9bac-11eb-a8a2-19ed5c03f8d3,species,fenestratum,Triblidium,,"(Cooke & Peck) Kuntze","Q2351239,Q1064899,Q62853",1891,,"Revis. gen. pl. (Leipzig) 2: (1891)",,,,4bc34fa8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,454176," "
ac24671a-9bac-11eb-a8a2-19ed5c03f8d3,species,fuscum,Triblidium,,"Ellis & Everh.",Q6206643,1892,,"N. Amer. Pyren. (Newfield) 691 (1892)",,,,ac24671a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,452887," "
028fb078-9bad-11eb-a8a2-19ed5c03f8d3,species,garryae,Triblidium,,Earle,Q2547765,,,,,,,028fb078-9bad-11eb-a8a2-19ed5c03f8d3,,,,,229821," Tryblidium"
75c2f9bc-9bab-11eb-a8a2-19ed5c03f8d3,species,goyazense,Triblidium,,Henn.,Q4497246,1895,,"Hedwigia 34: 112 (1895)",,,,75c2f9bc-9bab-11eb-a8a2-19ed5c03f8d3,,,,,216783," Tryblidium"
9c2ec13e-9bac-11eb-a8a2-19ed5c03f8d3,species,guaraniticum,Triblidium,,Speg.,Q648013,1885,,"Anal. Soc. cient. argent. 19(6): 260 (1885)",,,,9c2ec13e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,216659," Tryblidium"
17d89c2e-9bad-11eb-a8a2-19ed5c03f8d3,variety,guaraniticum,Triblidium,guaraniticum,Speg.,Q648013,1885,,"Anal. Soc. cient. argent. 19(6): 260 (1885)",,,,17d89c2e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,419922," "
43f26e9e-9bac-11eb-a8a2-19ed5c03f8d3,variety,majus,Triblidium,guaraniticum,Speg.,Q648013,1908,,"Anal. Mus. nac. B. Aires, Ser. 3 17(10): 131 (1908)",,,,43f26e9e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,137682," Tryblidium"
ad74a490-9bac-11eb-a8a2-19ed5c03f8d3,species,hafellneri,Triblidium,,Magnes,,1997,,"Biblthca Mycol. 165: 49 (1997)",,,,ad74a490-9bac-11eb-a8a2-19ed5c03f8d3,,,,,443010," "
4aea8060-9bac-11eb-a8a2-19ed5c03f8d3,species,hiascens,Triblidium,,"(Berk. & M.A. Curtis) Cooke","Q662338,Q2351239",1876,,"Grevillea 4(no. 32): 182 (1876)",,,,4d886512-9bac-11eb-a8a2-19ed5c03f8d3,,,,,221365," Tryblidium"
