id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
eb85a342-8fd1-11eb-924d-9cd76263cbd0,genus,Trichocentrum,,,"Poepp. & Endl.",,"Nov. Gen. Sp. Pl. 2: 11, pl. 115. 1838[1836]. (20-26 Nov 1836)",,,,,30021659-2,wfo-4000038958,2846368,
17b18270-8fcc-11eb-924d-9cd76263cbd0,species,aguirrei,Trichocentrum,,"(Königer) M.W.Chase & N.H.Williams",,"Lindleyana 16: 218 2001",,,,,20002192-1,wfo-0000327422,2846616,
17b19f76-8fcc-11eb-924d-9cd76263cbd0,species,alatum,Trichocentrum,,Rolfe,,"Bull. Misc. Inform. Kew 1898: 197 (1898",,,,,257036-2,wfo-0000327423,2836101,
17b1bb8c-8fcc-11eb-924d-9cd76263cbd0,species,albiflorum,Trichocentrum,,Rolfe,,"Bull. Misc. Inform. Kew 1893: 336 1893",,,,,257037-2,wfo-0000327424,2846393,
17b1daf4-8fcc-11eb-924d-9cd76263cbd0,species,albococcineum,Trichocentrum,,Linden,,"Ann. Hort. Belge Étrangère 15: 103 1865",,,,,660446-1,wfo-0000327425,2846473,
17b1f8fe-8fcc-11eb-924d-9cd76263cbd0,species,albopurpureum,Trichocentrum,,"Rchb.f. ex Barb.Rodr.",,"Gen. Spec. Orchid. 2: 238 1882",,,,,660447-1,wfo-0000327426,2846475,
33804670-8fcd-11eb-924d-9cd76263cbd0,variety,striatum,Trichocentrum,albopurpureum,"L.Linden & Rodigas",,"Lindenia 2: 77 1886",,,,,257038-2,wfo-0000801194,2846474,
17b21410-8fcc-11eb-924d-9cd76263cbd0,species,amazonicum,Trichocentrum,,Barb.Rodr.,,"Gen. Spec. Orchid. 1: 140 1877",,,,,660448-1,wfo-0000327427,2846476,
c187d92a-8fcc-11eb-924d-9cd76263cbd0,species,andreanum,Trichocentrum,,"(Cogn.) R.Jiménez & Carnevali",,"Icon. Orchid. 5-6: t. 697 2002 publ. 2003",,,,,60426751-2,wfo-0000591574,2846567,
c18a0c72-8fcc-11eb-924d-9cd76263cbd0,species,andrewsiae,Trichocentrum,,"(R.Jiménez & Carnevali) R.Jiménez & Carnevali",,"Icon. Orchid. 5-6: ix 2002 publ. 2003",,,,,60426480-2,wfo-0000591585,2846523,
17b2306c-8fcc-11eb-924d-9cd76263cbd0,species,ascendens,Trichocentrum,,"(Lindl.) M.W.Chase & N.H.Williams",,"Lindleyana 16: 137 2001",,,,,1021259-1,wfo-0000327428,2846599,
17b24d90-8fcc-11eb-924d-9cd76263cbd0,species,atropurpureum,Trichocentrum,,"Linden & Rchb.f.",,"Gard. Chron. 1866: 219 1866",,,,,660449-1,wfo-0000327429,2846477,
17b267da-8fcc-11eb-924d-9cd76263cbd0,species,aurisasinorum,Trichocentrum,,"(Standl. & L.O.Williams) M.W.Chase & N.H.Williams",,"Lindleyana 16: 137 2001",,,,,1021260-1,wfo-0000327430,2846509,
