id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ebbc3dc6-8fd1-11eb-924d-9cd76263cbd0,genus,Tydaea,,,Decne.,1848,"Rev. Hort., sér. 3, 2: 468. 1848.",,,,,,wfo-4000039636,6365034,
52a48a1c-8fcc-11eb-924d-9cd76263cbd0,species,amabilis,Tydaea,,"Planch. & Linden",1855,"Cat. Gén. 10: 4 1855",,,,,,wfo-0000414036,3817562,
b9600956-8fcd-11eb-924d-9cd76263cbd0,species,ceciliae,Tydaea,,André,1876,"Ill. Hort. 23: 178, t. 260 1876",,,,,383282-1,wfo-0001064983,3825604,
b5a7cf20-8fd1-11eb-924d-9cd76263cbd0,species,decaisneana,Tydaea,,Regel,,,,,,,,wfo-0001234903,8281706,
52a4ce8c-8fcc-11eb-924d-9cd76263cbd0,species,elegans,Tydaea,,"Planch. & Linden",1855,"Cat. Gén. 10: 4 1855",,,,,383283-1,wfo-0000414038,3825591,
b5a78768-8fd1-11eb-924d-9cd76263cbd0,species,gigantea,Tydaea,,Planch.,,,,,,,259218-2,wfo-0001234900,3825566,
b5a9a1e2-8fd1-11eb-924d-9cd76263cbd0,species,hansteinii,Tydaea,,Ortgies,,,,,,,,wfo-0001234917,8403028,
52a4494e-8fcc-11eb-924d-9cd76263cbd0,species,hillii,Tydaea,,Regel,1854,"Gartenflora 3: 73 1854",,,,,383286-1,wfo-0000414034,3825532,
b5a9d8f6-8fd1-11eb-924d-9cd76263cbd0,species,hillii,Tydaea,,Regel,,,,,,,259219-2,wfo-0001234919,3825532,
52a55820-8fcc-11eb-924d-9cd76263cbd0,species,karsteniana,Tydaea,,Hanst.,1865,"Linnaea 34: 439 1865",,,,,383287-1,wfo-0000414041,3825519,
b5af7432-8fd1-11eb-924d-9cd76263cbd0,species,lenneana,Tydaea,,Ortgies,,,,,,,,wfo-0001234958,3825508,
b5b0265c-8fd1-11eb-924d-9cd76263cbd0,species,lindeniana,Tydaea,,Regel,1868,"Gartenflora 17: 257, pl. 589 1868",,,,,259220-2,wfo-0001234961,3825473,
52a57eea-8fcc-11eb-924d-9cd76263cbd0,species,lindenii,Tydaea,,André,1873,"Ill. Hort. 20: 183, t. 147 1873",,,,,383289-1,wfo-0000414042,,
b965984e-8fcd-11eb-924d-9cd76263cbd0,species,magnifica,Tydaea,,"(Planch. & Linden) Hanst.",1865,"Linnaea 34: 440 1865",,,,b9657c42-8fcd-11eb-924d-9cd76263cbd0,383291-1,wfo-0001065035,3825449,
b930538c-8fcd-11eb-924d-9cd76263cbd0,species,melaagrina,Tydaea,,"Sessé & Moc.",,,,,,,,wfo-0001064565,7456571,
b5b1bfee-8fd1-11eb-924d-9cd76263cbd0,species,meyendorfii,Tydaea,,Regel,,,,,,,,wfo-0001234975,7412323,
b96546c8-8fcd-11eb-924d-9cd76263cbd0,species,ocellata,Tydaea,,"(Hook.) Regel",1854,"Gartenflora 3: 74 1854",,,,92da5616-8fcc-11eb-924d-9cd76263cbd0,383292-1,wfo-0001065032,6365898,
b5af22fc-8fd1-11eb-924d-9cd76263cbd0,variety,confluens,Tydaea,ocellata,Regel,,,,,,,,wfo-0001234956,3825418,
b9656194-8fcd-11eb-924d-9cd76263cbd0,variety,formosa,Tydaea,ocellata,Regel,1855,"Gartenflora 4: 181, t. 120 1855",,,,,259222-2,wfo-0001065033,3825408,
b5af03d0-8fd1-11eb-924d-9cd76263cbd0,variety,picta,Tydaea,ocellata,Regel,1854,"Gartenflora 3: 73–75, pl. 79 1854",,,,,301175-2,wfo-0001234955,3825394,
b5b18042-8fd1-11eb-924d-9cd76263cbd0,species,ortgiesii,Tydaea,,"hort. ex Planch.",,,,,,,,wfo-0001234973,,
b9602526-8fcd-11eb-924d-9cd76263cbd0,species,pardina,Tydaea,,"Linden & André",1873,"Ill. Hort. 20: 212, t. 152 1873",,,,,383294-1,wfo-0001064984,3825374,
b5a677ce-8fd1-11eb-924d-9cd76263cbd0,species,picta,Tydaea,,"(Benth. ex Hook.) Decne.",,,,,,b92b5ed6-8fcd-11eb-924d-9cd76263cbd0,,wfo-0001234894,3825365,
b5c13c80-8fd1-11eb-924d-9cd76263cbd0,species,pulchra,Tydaea,,Heer,,,,,,,,wfo-0001235088,3825353,
5291321e-8fcc-11eb-924d-9cd76263cbd0,species,pyramidalis,Tydaea,,Regel,1861,"Gartenflora 10: 193 1861",,,,,383297-1,wfo-0000413918,3825342,
b5c38c1a-8fd1-11eb-924d-9cd76263cbd0,species,pyramidalis,Tydaea,,Regel,,,,,,,,wfo-0001235107,3825342,
5291609a-8fcc-11eb-924d-9cd76263cbd0,species,regelii,Tydaea,,Heer,1856,"Gartenflora 5: 97 1856",,,,,383298-1,wfo-0000413919,8374845,
b5c1df6e-8fd1-11eb-924d-9cd76263cbd0,species,rossiana,Tydaea,,Ortgies,,,,,,,,wfo-0001235091,3825320,
b9603eda-8fcd-11eb-924d-9cd76263cbd0,species,venosa,Tydaea,,"hort. ex Lesc.",1861,"L'Hortic. Franc. Ser. III 2: 248, t. 20 1861",,,,,,wfo-0001064985,8468574,
b9605c12-8fcd-11eb-924d-9cd76263cbd0,species,warscewiczii,Tydaea,,Regel,1854,"Gartenflora 3: 73, 74 1854",,,,,383301-1,wfo-0001064986,3825297,
