id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ebbcca48-8fd1-11eb-924d-9cd76263cbd0,genus,Tyleria,,,Gleason,0,1931,,"Bull. Torrey Bot. Club 58: 391 (1931)",,Q54803375,Q13548538,,,urn:lsid:ipni.org:names:289084-2,wfo-4000039642,3231147,,
6f4dd01a-8fcc-11eb-924d-9cd76263cbd0,species,apiculata,Tyleria,,Sastre,0,1986,,"Phytologia 59: 313 (-314). 1986",,,,,,urn:lsid:ipni.org:names:286505-2,wfo-0000456166,5552989,,
6f4da914-8fcc-11eb-924d-9cd76263cbd0,species,aristata,Tyleria,,"Maguire & Wurdack",0,1961,,"Mem. New York Bot. Gard. 10(4): 13 (1961)",,,,,,urn:lsid:ipni.org:names:259224-2,wfo-0000456165,5552988,,
6f4d700c-8fcc-11eb-924d-9cd76263cbd0,species,bicarpellata,Tyleria,,"(Maguire, Steyerm. & Wurdack) M.C.E.Amaral",0,1991,,"Bot. Jahrb. Syst. 113: 182 (1991)",,,Q5732642,9517ed62-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:962873-1,wfo-0000456163,5552987,,
6f4b243c-8fcc-11eb-924d-9cd76263cbd0,species,breweriana,Tyleria,,Steyerm.,0,1984,,"Ann. Missouri Bot. Gard. 71: 322 (1984)",,Q55765009,Q2530335,,,urn:lsid:ipni.org:names:286506-2,wfo-0000456151,5552985,,
6f4d348e-8fcc-11eb-924d-9cd76263cbd0,species,floribunda,Tyleria,,Gleason,0,1931,,"Bull. Torrey Bot. Club 58: 392 (1931)",,Q54803375,Q13548538,,,urn:lsid:ipni.org:names:259225-2,wfo-0000456161,5552983,,
6f4e5fb2-8fcc-11eb-924d-9cd76263cbd0,species,grandiflora,Tyleria,,Gleason,0,1931,,"Bull. Torrey Bot. Club 58: 393 (1931)",,Q54803375,Q13548538,,,urn:lsid:ipni.org:names:259226-2,wfo-0000456168,5552981,,
6f4d171a-8fcc-11eb-924d-9cd76263cbd0,species,linearis,Tyleria,,Gleason,0,1931,,"Bull. Torrey Bot. Club 58: 393 (1931)",,Q54803375,Q13548538,,,urn:lsid:ipni.org:names:259227-2,wfo-0000456160,5552979,,
6f4cf9d8-8fcc-11eb-924d-9cd76263cbd0,species,pendula,Tyleria,,"Maguire & Wurdack",0,1961,,"Mem. New York Bot. Gard. 10(4): 11 (1961)",,,,,,urn:lsid:ipni.org:names:259228-2,wfo-0000456159,5552976,,
6f4cdc1e-8fcc-11eb-924d-9cd76263cbd0,species,phelpsiana,Tyleria,,"Maguire & Steyerm.",0,1972,,"Mem. New York Bot. Gard. 23: 866 (1972)",,,,,,urn:lsid:ipni.org:names:607546-1,wfo-0000456158,5552973,,
6f4cbd60-8fcc-11eb-924d-9cd76263cbd0,species,silvana,Tyleria,,Maguire,0,1972,,"Mem. New York Bot. Gard. 23: 868 (1972)",,,,,,urn:lsid:ipni.org:names:259230-2,wfo-0000456157,5552969,,
6f4c9bfa-8fcc-11eb-924d-9cd76263cbd0,species,spathulata,Tyleria,,Gleason,0,1931,,"Bull. Torrey Bot. Club 58: 394 (1931)",,Q54803375,Q13548538,,,urn:lsid:ipni.org:names:259231-2,wfo-0000456156,5552963,,
6f4c75f8-8fcc-11eb-924d-9cd76263cbd0,species,spectabilis,Tyleria,,"Maguire & Wurdack",0,1961,,"Mem. New York Bot. Gard. 10(4): 11 (1961)",,,,,,urn:lsid:ipni.org:names:259232-2,wfo-0000456155,5552958,,
6f4b709a-8fcc-11eb-924d-9cd76263cbd0,species,terrae-humilis,Tyleria,,Sastre,0,1998,,"Novon 8(3): 303. 1998",,Q55774422,,,,urn:lsid:ipni.org:names:1003834-1,wfo-0000456153,5552951,,
6f4fc834-8fcc-11eb-924d-9cd76263cbd0,species,tremuloidea,Tyleria,,"Maguire & Wurdack",0,1961,,"Mem. New York Bot. Gard. 10(4): 14 (1961)",,,,,,urn:lsid:ipni.org:names:259233-2,wfo-0000456177,5552943,,
