id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
ebc80fe8-8fd1-11eb-924d-9cd76263cbd0,genus,Ungernia,,,Bunge,0,1875,,"Bull. Soc. Imp. Naturalistes Moscou 49(II): 271 (1875)",,,,,,urn:lsid:ipni.org:names:1664-1,wfo-4000039764,2858127,,
1be47fcc-8fcd-11eb-924d-9cd76263cbd0,species,badghysi,Ungernia,,Botsch.,0,,,"Bot. Zhurn. (Moscow & Leningrad) 70: 1545 (1985)",,,,,,urn:lsid:ipni.org:names:907231-1,wfo-0000751110,2858136,,
1be82122-8fcd-11eb-924d-9cd76263cbd0,species,ferganica,Ungernia,,"Vved. ex Artjush.",0,1970,,"Amarillis. SSSR : 30 (1970)",,,,,,urn:lsid:ipni.org:names:66973-1,wfo-0000751137,2858128,,
1be843aa-8fcd-11eb-924d-9cd76263cbd0,species,flava,Ungernia,,"Boiss. & Hausskn. ex Boiss.",0,1882,,"Fl. Orient. 5: 149 (1882)",,,,,,urn:lsid:ipni.org:names:66974-1,wfo-0000751138,2858138,,
1be4630c-8fcd-11eb-924d-9cd76263cbd0,species,minor,Ungernia,,Vved.,0,1935,,"Fl. URSS 4: 484 (1935)",,,,,,urn:lsid:ipni.org:names:66975-1,wfo-0000751109,2858130,,
1be8a20a-8fcd-11eb-924d-9cd76263cbd0,species,oldhamii,Ungernia,,Maxim.,0,1885,,"Bot. Jahrb. Syst. 6: 76 (1884)",,,,,,urn:lsid:ipni.org:names:66976-1,wfo-0000751141,2855080,,
1be7c6f0-8fcd-11eb-924d-9cd76263cbd0,species,oligostroma,Ungernia,,"Popov & Vved.",0,1936,,"Rast. Zapovedn. Guralash i Zaaminsk. Lesnich. : 6 (1936)",,,,,,urn:lsid:ipni.org:names:66977-1,wfo-0000751134,2858129,,
1be8bcd6-8fcd-11eb-924d-9cd76263cbd0,species,sewerzowi,Ungernia,,B.Fedtsch.,0,1915,,"Rastitel'n. Turkestana : 256 (1915)",,,,,,urn:lsid:ipni.org:names:66978-1,wfo-0000751142,2858133,,
25eae344-8fcd-11eb-924d-9cd76263cbd0,species,spiralis,Ungernia,,Proskor.,0,1949,,"Izv. Turkmensk. Fil. Akad. Nauk S.S.S.R. 1: 31 (1949)",,,,,,urn:lsid:ipni.org:names:77177212-1,wfo-0000771592,2858131,,
1be8d7c0-8fcd-11eb-924d-9cd76263cbd0,species,tadschicorum,Ungernia,,"Vved. ex Artjush.",0,1970,,"Amarillis. SSSR : 31 (1970)",,,,,,urn:lsid:ipni.org:names:66979-1,wfo-0000751143,2858139,,
b1619cce-8fcd-11eb-924d-9cd76263cbd0,species,tadshicorum,Ungernia,,"Vved. ex Artjushenko",0,,,,,,,,,,wfo-0001046823,7423106,,
1be911d6-8fcd-11eb-924d-9cd76263cbd0,species,trisphaera,Ungernia,,Bunge,0,1875,,"Bull. Soc. Imp. Naturalistes Moscou 49(II): 273 (1875)",,,,,,urn:lsid:ipni.org:names:66981-1,wfo-0000751145,2858132,,
1be94a3e-8fcd-11eb-924d-9cd76263cbd0,species,victoris,Ungernia,,"Vved. ex Artjush.",0,1970,,"Amarillis. SSSR : 31 (1970)",,,,,,urn:lsid:ipni.org:names:66983-1,wfo-0000751147,2858137,,
25eafece-8fcd-11eb-924d-9cd76263cbd0,species,vvedenskyi,Ungernia,,Khamidch.,0,1979,,"Dokl. Akad. Nauk Tadzhiksk. S.S.R. 5: 54 (1979)",,,,,,urn:lsid:ipni.org:names:77176753-1,wfo-0000771593,2858135,,
