id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
04984e76-9bac-11eb-a8a2-19ed5c03f8d3,genus,Urceolaria,,,Bonord.,,1851,,"Handb. Allgem. mykol. (Stuttgart) 203, 311 (1851)",,,,04984e76-9bac-11eb-a8a2-19ed5c03f8d3,,,,,5681," "
4c4c0626-9bad-11eb-a8a2-19ed5c03f8d3,species,acharii,Urceolaria,,"(Ach.) Ach.",0,,,,,,,8ad5010e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,408181," "
030e09ce-9bac-11eb-a8a2-19ed5c03f8d3,variety,acharii,Urceolaria,acharii,"(Ach.) Ach.",0,,,,,,,8ad5010e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,448720," "
31dbf44a-9bad-11eb-a8a2-19ed5c03f8d3,variety,argentata,Urceolaria,acharii,Ach.,0,1810,,"Lich. univ. 393 (1810)",,,,31dbf44a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,355660," "
abe4e270-9bac-11eb-a8a2-19ed5c03f8d3,variety,rhodopis,Urceolaria,acharii,anon.,,,,,,,,abe4e270-9bac-11eb-a8a2-19ed5c03f8d3,,,,,448721," "
4e9a14ae-9bad-11eb-a8a2-19ed5c03f8d3,variety,rhodopsis,Urceolaria,acharii,anon.,,,,,,,,4e9a14ae-9bad-11eb-a8a2-19ed5c03f8d3,,,,,477472," "
4c4c3db2-9bad-11eb-a8a2-19ed5c03f8d3,species,actinostoma,Urceolaria,,Pers.,0,,,,,,,4c4c3db2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,408182," "
b8e5b33c-9bac-11eb-a8a2-19ed5c03f8d3,variety,actinostoma,Urceolaria,actinostoma,Pers.,0,,,,,,,b8e5b33c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,431106," "
0cc5c17c-9bad-11eb-a8a2-19ed5c03f8d3,variety,aenea,Urceolaria,actinostoma,"Müll. Arg.",,,,,,,,0cc5c17c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,374768," "
4e03a500-9bad-11eb-a8a2-19ed5c03f8d3,variety,caesioplumbea,Urceolaria,actinostoma,Nyl.,0,1872,,"Bull. Soc. linn. Normandie, sér. 2 6: 264 (1872)",,,,4e03a500-9bad-11eb-a8a2-19ed5c03f8d3,,,,,463158," "
