id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ebcd8572-8fd1-11eb-924d-9cd76263cbd0,genus,Urobotrya,,,Stapf,,"J. Linn. Soc., Bot. 37: 89. 1905. (1 Jul 1905)",,,,,28304-1,wfo-4000039839,7321360,
55612b0c-8fcc-11eb-924d-9cd76263cbd0,species,afzelii,Urobotrya,,"(Engl.) Stapf ex Hutch. & Dalziel",,"Fl. W. Trop. Afr. 1: 463 1928",,,,,608533-1,wfo-0000417623,3658913,
5560d10c-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Urobotrya,,Stapf,,"J. Linn. Soc., Bot. 37: 89 1905",,,,,608534-1,wfo-0000417622,3658902,
555f1934-8fcc-11eb-924d-9cd76263cbd0,species,congolana,Urobotrya,,"(Baill.) Hiepko",,"Ber. Deutsch. Bot. Ges. 84: 662 1971 publ. 1972",,,,,614515-1,wfo-0000417618,7321368,
555ef634-8fcc-11eb-924d-9cd76263cbd0,subspecies,afzelii,Urobotrya,congolana,"(Engl.) Hiepko",,"Bot. Jahrb. Syst. 107: 144 1985",,,,,924634-1,wfo-0000417617,3658879,
555eceb6-8fcc-11eb-924d-9cd76263cbd0,species,floresensis,Urobotrya,,Hiepko,,"Willdenowia 9: 32 1979",,,,,614516-1,wfo-0000417616,3658867,
5560a7fe-8fcc-11eb-924d-9cd76263cbd0,species,latifolia,Urobotrya,,Stapf,,"J. Linn. Soc., Bot. 37: 89 1905",,,,,608535-1,wfo-0000417621,3658860,
555ea06c-8fcc-11eb-924d-9cd76263cbd0,species,latisquama,Urobotrya,,"(Gagnep.) Hiepko",,"Ber. Deutsch. Bot. Ges. 84: 662 1971 publ. 1972",,,,,614517-1,wfo-0000417615,3658842,
555e795c-8fcc-11eb-924d-9cd76263cbd0,species,longipes,Urobotrya,,"(Gagnep.) Hiepko",,"Ber. Deutsch. Bot. Ges. 84: 663 1971 publ. 1972",,,,,614518-1,wfo-0000417614,3658975,
555f683a-8fcc-11eb-924d-9cd76263cbd0,species,minutiflora,Urobotrya,,Stapf,,"J. Linn. Soc., Bot. 37: 90 1905",,,,,608536-1,wfo-0000417620,3658932,
555e3122-8fcc-11eb-924d-9cd76263cbd0,species,parviflora,Urobotrya,,Hiepko,,"Willdenowia 6: 474 1972",,,,,614519-1,wfo-0000417613,3658952,
555e10de-8fcc-11eb-924d-9cd76263cbd0,species,siamensis,Urobotrya,,Hiepko,,"Willdenowia 6: 471 1972",,,,,614520-1,wfo-0000417612,3658956,
556596ec-8fcc-11eb-924d-9cd76263cbd0,species,sparsiflora,Urobotrya,,"(Engl.) Hiepko",,"Ber. Deutsch. Bot. Ges. 84: 662 1971 publ. 1972",,,,,614521-1,wfo-0000417654,7321374,
5561602c-8fcc-11eb-924d-9cd76263cbd0,subspecies,bruneelii,Urobotrya,sparsiflora,"(De Wild.) Hiepko",,"Bot. Jahrb. Syst. 107: 149 1985",,,,,924635-1,wfo-0000417624,3658920,
14bf9826-8fcd-11eb-924d-9cd76263cbd0,species,stapfiana,Urobotrya,,"Hutch. & Dalziel",,"Fl. W. Trop. Afr. 1: 463 1928",,,,,,wfo-0000735810,7720126,
5563333e-8fcc-11eb-924d-9cd76263cbd0,species,trinervia,Urobotrya,,Stapf,,"Liberia 2: 587 1906",,,,,614522-1,wfo-0000417638,3658910,
5565da9e-8fcc-11eb-924d-9cd76263cbd0,species,stapfiana,Urobotyra,,"Hutch. & Dalziel",,"Fl. W. Trop. Afr. 1: 463 1928",,,,,614523-1,wfo-0000417656,3658899,
