id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
ebf77ada-8fd1-11eb-924d-9cd76263cbd0,genus,Vitis-idaea,,,Ség.,,"Pl. Veron. 3: 291. 1754.",,,,,,wfo-4000040379,7514424,
b1d19218-8fcd-11eb-924d-9cd76263cbd0,species,vitis-idaea,,,Avrorin,,,,,,,,wfo-0001047834,,
5b7f1d50-8fcc-11eb-924d-9cd76263cbd0,species,alba,Vitis-idaea,,Moench,,"Methodus 47 1794",,,,,30327045-2,wfo-0000425470,4166322,
5b7ecea4-8fcc-11eb-924d-9cd76263cbd0,species,kablikiana,Vitis-idaea,,Opiz,,"Seznam 104 1852",,,,,859188-1,wfo-0000425469,4166316,
5b7e5b18-8fcc-11eb-924d-9cd76263cbd0,species,myrtillus,Vitis-idaea,,"(L.) Moench",,"Methodus 47 1794",,,,,1202146-2,wfo-0000425468,4166303,
5b7de98a-8fcc-11eb-924d-9cd76263cbd0,species,punctata,Vitis-idaea,,Moench,,"Methodus 47 1794",,,,,30445326-2,wfo-0000425467,7623230,
5f88a740-8fcc-11eb-924d-9cd76263cbd0,variety,minor,Vitis-idaea,punctata,"(Lodd., G.Lodd. & W.Lodd.) Moldenke",,"Phytologia 5: 342 1956",,,,,266202-2,wfo-0000430748,4166273,
5b7d6ab4-8fcc-11eb-924d-9cd76263cbd0,species,punctifolia,Vitis-idaea,,Gray,,"Nat. Arr. Brit. Pl. 2: 406 1821",,,,,859191-1,wfo-0000425465,7982750,
5b7d3c7e-8fcc-11eb-924d-9cd76263cbd0,species,vitis-idaea,Vitis-idaea,,Britton,,"Man. Fl. N. States 708 1901",,,,,266203-2,wfo-0000425464,4166252,
c311dc72-8fcd-11eb-924d-9cd76263cbd0,species,viscosa,Vitmania,,"(Cav.) Turra ex Steud.",,"Nom. Bot. Hort. 140 1821",,,,,605247-1,wfo-0001086841,3701106,
